Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
GTPase HRas-like [Branchiostoma floridae],Branchiostoma floridae,290,290,89%,6e-99,87.65,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672300.1?report=genbank&log$=prottop&blast_rank=1&RID=VKHUGUU1013"",""XP_035672300.1"")"
GTPase HRas [Branchiostoma floridae],Branchiostoma floridae,289,289,99%,2e-98,80.32,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696597.1?report=genbank&log$=prottop&blast_rank=2&RID=VKHUGUU1013"",""XP_035696597.1"")"
PREDICTED: GTPase HRas isoform X1 [Octopus bimaculoides],Octopus bimaculoides,286,286,86%,1e-97,88.41,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774293.1?report=genbank&log$=prottop&blast_rank=3&RID=VKHUGUU1013"",""XP_014774293.1"")"
hypothetical protein OCBIM_22019558mg [Octopus bimaculoides],Octopus bimaculoides,286,286,80%,1e-97,87.58,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF85932.1?report=genbank&log$=prottop&blast_rank=4&RID=VKHUGUU1013"",""KOF85932.1"")"
PREDICTED: GTPase HRas isoform X2 [Octopus bimaculoides],Octopus bimaculoides,285,285,86%,8e-97,87.80,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774294.1?report=genbank&log$=prottop&blast_rank=5&RID=VKHUGUU1013"",""XP_014774294.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,285,285,94%,8e-97,84.27,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848609.1?report=genbank&log$=prottop&blast_rank=6&RID=VKHUGUU1013"",""XP_030848609.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,284,284,89%,2e-96,87.06,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848582.1?report=genbank&log$=prottop&blast_rank=7&RID=VKHUGUU1013"",""XP_030848582.1"")"
RAS protein [Branchiostoma lanceolatum],Branchiostoma lanceolatum,282,282,97%,1e-95,80.00,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABU49827.1?report=genbank&log$=prottop&blast_rank=8&RID=VKHUGUU1013"",""ABU49827.1"")"
LOW QUALITY PROTEIN: GTPase HRas [Acropora millepora],Acropora millepora,280,280,87%,4e-95,88.48,183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029181346.1?report=genbank&log$=prottop&blast_rank=9&RID=VKHUGUU1013"",""XP_029181346.1"")"
ras protein [Caenorhabditis elegans],Caenorhabditis elegans,274,274,95%,1e-92,76.80,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA28103.1?report=genbank&log$=prottop&blast_rank=10&RID=VKHUGUU1013"",""AAA28103.1"")"
