Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
5'-AMP-activated protein kinase subunit gamma-2-like isoform X1 [Asterias rubens],Asterias rubens,368,368,88%,3e-124,52.84,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640025.1?report=genbank&log$=prottop&blast_rank=1&RID=082H3Z5T016"",""XP_033640025.1"")"
5'-AMP-activated protein kinase subunit gamma-2 isoform X8 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,365,365,79%,2e-123,57.62,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846353.1?report=genbank&log$=prottop&blast_rank=2&RID=082H3Z5T016"",""XP_030846353.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,371,371,93%,3e-123,51.99,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006824096.1?report=genbank&log$=prottop&blast_rank=3&RID=082H3Z5T016"",""XP_006824096.1"")"
5'-AMP-activated protein kinase subunit gamma-1 isoform X7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,364,364,79%,3e-122,57.62,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846352.1?report=genbank&log$=prottop&blast_rank=4&RID=082H3Z5T016"",""XP_030846352.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,364,364,79%,3e-122,57.62,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836271.1?report=genbank&log$=prottop&blast_rank=5&RID=082H3Z5T016"",""XP_030836271.1"")"
5'-AMP-activated protein kinase subunit gamma-2-like isoform X2 [Asterias rubens],Asterias rubens,362,362,80%,8e-122,55.56,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640026.1?report=genbank&log$=prottop&blast_rank=6&RID=082H3Z5T016"",""XP_033640026.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,365,365,79%,4e-121,57.43,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836262.1?report=genbank&log$=prottop&blast_rank=7&RID=082H3Z5T016"",""XP_030836262.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,365,365,79%,4e-121,57.43,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836248.1?report=genbank&log$=prottop&blast_rank=8&RID=082H3Z5T016"",""XP_030836248.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,365,365,79%,5e-121,57.43,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836246.1?report=genbank&log$=prottop&blast_rank=9&RID=082H3Z5T016"",""XP_030836246.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,365,365,79%,7e-121,57.43,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836255.1?report=genbank&log$=prottop&blast_rank=10&RID=082H3Z5T016"",""XP_030836255.1"")"
5'-AMP-activated protein kinase subunit gamma-1 isoform X5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,365,365,79%,2e-120,57.43,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846350.1?report=genbank&log$=prottop&blast_rank=11&RID=082H3Z5T016"",""XP_030846350.1"")"
5'-AMP-activated protein kinase subunit gamma-1 isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,363,363,79%,9e-120,57.43,534,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846349.1?report=genbank&log$=prottop&blast_rank=12&RID=082H3Z5T016"",""XP_030846349.1"")"
5'-AMP-activated protein kinase subunit gamma-1 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,363,363,79%,1e-119,57.43,542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846347.1?report=genbank&log$=prottop&blast_rank=13&RID=082H3Z5T016"",""XP_030846347.1"")"
5'-AMP-activated protein kinase subunit gamma-1 isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,363,363,79%,1e-119,57.43,540,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846348.1?report=genbank&log$=prottop&blast_rank=14&RID=082H3Z5T016"",""XP_030846348.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like isoform X6 [Octopus bimaculoides],Octopus bimaculoides,355,355,80%,1e-119,53.95,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770239.1?report=genbank&log$=prottop&blast_rank=15&RID=082H3Z5T016"",""XP_014770239.1"")"
