Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: calcipressin-2-like [Octopus bimaculoides],Octopus bimaculoides,121,121,40%,7e-30,52.59,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776659.1?report=genbank&log$=prottop&blast_rank=1&RID=0811KVPM016"",""XP_014776659.1"")"
PREDICTED: calcipressin-1-like [Priapulus caudatus],Priapulus caudatus,116,116,48%,8e-29,43.15,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014676715.1?report=genbank&log$=prottop&blast_rank=2&RID=0811KVPM016"",""XP_014676715.1"")"
calcipressin-1-like [Asterias rubens],Asterias rubens,114,114,50%,1e-27,40.41,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033635765.1?report=genbank&log$=prottop&blast_rank=3&RID=0811KVPM016"",""XP_033635765.1"")"
calcipressin-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,109,109,40%,3e-26,48.72,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035686625.1?report=genbank&log$=prottop&blast_rank=4&RID=0811KVPM016"",""XP_035686625.1"")"
RCAN2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,109,109,40%,4e-26,48.72,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1226532.1?report=genbank&log$=prottop&blast_rank=5&RID=0811KVPM016"",""CAH1226532.1"")"
Calcipressin-like protein [Caenorhabditis elegans],Caenorhabditis elegans,106,106,41%,3e-25,44.26,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_498223.2?report=genbank&log$=prottop&blast_rank=6&RID=0811KVPM016"",""NP_498223.2"")"
calcipressin-1-like [Acropora millepora],Acropora millepora,102,102,38%,1e-23,46.55,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029183592.2?report=genbank&log$=prottop&blast_rank=7&RID=0811KVPM016"",""XP_029183592.2"")"
calcipressin-3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,100,100,42%,5e-23,43.20,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030850531.1?report=genbank&log$=prottop&blast_rank=8&RID=0811KVPM016"",""XP_030850531.1"")"
calcipressin-1-like [Ciona intestinalis],Ciona intestinalis,96.7,96.7,34%,1e-21,43.56,191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002131413.1?report=genbank&log$=prottop&blast_rank=9&RID=0811KVPM016"",""XP_002131413.1"")"
PREDICTED: calcipressin-1-like [Hydra vulgaris],Hydra vulgaris,93.6,93.6,40%,2e-20,43.48,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002168620.3?report=genbank&log$=prottop&blast_rank=10&RID=0811KVPM016"",""XP_002168620.3"")"
PREDICTED: calcipressin-1-like [Amphimedon queenslandica],Amphimedon queenslandica,84.0,84.0,40%,5e-17,41.74,191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011404173.1?report=genbank&log$=prottop&blast_rank=11&RID=0811KVPM016"",""XP_011404173.1"")"
PREDICTED: protein sarah-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,68.9,68.9,16%,3e-12,66.67,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825325.1?report=genbank&log$=prottop&blast_rank=12&RID=0811KVPM016"",""XP_006825325.1"")"
hypothetical protein OCBIM_22025240mg [Octopus bimaculoides],Octopus bimaculoides,64.3,64.3,16%,2e-10,63.83,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF82490.1?report=genbank&log$=prottop&blast_rank=13&RID=0811KVPM016"",""KOF82490.1"")"
hypothetical protein OCBIM_22025241mg [Octopus bimaculoides],Octopus bimaculoides,65.9,65.9,20%,3e-10,47.46,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF82491.1?report=genbank&log$=prottop&blast_rank=14&RID=0811KVPM016"",""KOF82491.1"")"
uncharacterized protein PTSG_02964 [Salpingoeca rosetta],Salpingoeca rosetta,58.5,58.5,23%,6e-08,42.03,164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004996479.1?report=genbank&log$=prottop&blast_rank=15&RID=0811KVPM016"",""XP_004996479.1"")"
uncharacterized protein MONBRDRAFT_3061 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,53.5,53.5,16%,4e-07,53.19,53,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001745353.1?report=genbank&log$=prottop&blast_rank=16&RID=0811KVPM016"",""XP_001745353.1"")"



		


