Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
adenylate cyclase type 5-like [Asterias rubens],Asterias rubens,1185,1185,95%,0.0,49.57,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033639896.1?report=genbank&log$=prottop&blast_rank=1&RID=0CP2UEXV016"",""XP_033639896.1"")"
adenylate cyclase type 5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1152,1152,82%,0.0,55.25,1208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846084.1?report=genbank&log$=prottop&blast_rank=2&RID=0CP2UEXV016"",""XP_030846084.1"")"
adenylate cyclase type 5-like [Branchiostoma floridae],Branchiostoma floridae,1061,1061,72%,0.0,57.30,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035689810.1?report=genbank&log$=prottop&blast_rank=3&RID=0CP2UEXV016"",""XP_035689810.1"")"
adenylate cyclase type 6 [Ciona intestinalis],Ciona intestinalis,936,936,83%,0.0,47.83,1222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026693427.1?report=genbank&log$=prottop&blast_rank=4&RID=0CP2UEXV016"",""XP_026693427.1"")"
PREDICTED: adenylate cyclase type 5-like [Hydra vulgaris],Hydra vulgaris,845,845,82%,0.0,43.96,1104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012556398.1?report=genbank&log$=prottop&blast_rank=5&RID=0CP2UEXV016"",""XP_012556398.1"")"
adenylate cyclase type 5-like [Acropora millepora],Acropora millepora,783,783,65%,0.0,47.88,789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044166329.1?report=genbank&log$=prottop&blast_rank=6&RID=0CP2UEXV016"",""XP_044166329.1"")"
adenylate cyclase type 8-like [Branchiostoma floridae],Branchiostoma floridae,773,773,85%,0.0,38.82,1753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660331.1?report=genbank&log$=prottop&blast_rank=7&RID=0CP2UEXV016"",""XP_035660331.1"")"
ADCY8 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,764,764,85%,0.0,38.23,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248161.1?report=genbank&log$=prottop&blast_rank=8&RID=0CP2UEXV016"",""CAH1248161.1"")"
PREDICTED: uncharacterized protein LOC106868905 [Octopus bimaculoides],Octopus bimaculoides,747,747,70%,0.0,44.41,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014769851.1?report=genbank&log$=prottop&blast_rank=9&RID=0CP2UEXV016"",""XP_014769851.1"")"
PREDICTED: adenylate cyclase type 8-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,743,743,82%,0.0,39.75,1554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006820732.1?report=genbank&log$=prottop&blast_rank=10&RID=0CP2UEXV016"",""XP_006820732.1"")"
adenylate cyclase type 2-like isoform X1 [Asterias rubens],Asterias rubens,691,691,82%,0.0,37.51,1164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626705.1?report=genbank&log$=prottop&blast_rank=11&RID=0CP2UEXV016"",""XP_033626705.1"")"
adenylate cyclase type 2-like isoform X2 [Asterias rubens],Asterias rubens,689,689,82%,0.0,37.51,1121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626706.1?report=genbank&log$=prottop&blast_rank=12&RID=0CP2UEXV016"",""XP_033626706.1"")"
ADCY2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,666,752,82%,0.0,37.42,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268842.1?report=genbank&log$=prottop&blast_rank=13&RID=0CP2UEXV016"",""CAH1268842.1"")"
ADCY2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,664,664,82%,0.0,37.42,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268866.1?report=genbank&log$=prottop&blast_rank=14&RID=0CP2UEXV016"",""CAH1268866.1"")"
adenylate cyclase type 2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,657,657,73%,0.0,39.37,976,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035678763.1?report=genbank&log$=prottop&blast_rank=15&RID=0CP2UEXV016"",""XP_035678763.1"")"
adenylate cyclase type 2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,656,656,82%,0.0,36.63,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831599.1?report=genbank&log$=prottop&blast_rank=16&RID=0CP2UEXV016"",""XP_030831599.1"")"
PREDICTED: adenylate cyclase type 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,647,647,82%,0.0,37.01,1045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825139.1?report=genbank&log$=prottop&blast_rank=17&RID=0CP2UEXV016"",""XP_006825139.1"")"
PREDICTED: adenylate cyclase type 5-like [Priapulus caudatus],Priapulus caudatus,647,1079,80%,0.0,45.98,1113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014676369.1?report=genbank&log$=prottop&blast_rank=18&RID=0CP2UEXV016"",""XP_014676369.1"")"
adenylate cyclase type 2 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,644,644,82%,0.0,35.93,1165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831597.1?report=genbank&log$=prottop&blast_rank=19&RID=0CP2UEXV016"",""XP_030831597.1"")"
PREDICTED: LOW QUALITY PROTEIN: adenylate cyclase type 5-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,643,1070,66%,0.0,53.36,1880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819097.1?report=genbank&log$=prottop&blast_rank=20&RID=0CP2UEXV016"",""XP_006819097.1"")"
PREDICTED: adenylate cyclase type 6-like [Octopus bimaculoides],Octopus bimaculoides,642,642,62%,0.0,44.40,713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014789025.1?report=genbank&log$=prottop&blast_rank=21&RID=0CP2UEXV016"",""XP_014789025.1"")"
adenylate cyclase type 3-like [Asterias rubens],Asterias rubens,642,642,82%,0.0,36.84,1073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640430.1?report=genbank&log$=prottop&blast_rank=22&RID=0CP2UEXV016"",""XP_033640430.1"")"
adenylate cyclase type 3-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,639,639,82%,0.0,35.99,1087,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829913.1?report=genbank&log$=prottop&blast_rank=23&RID=0CP2UEXV016"",""XP_030829913.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,638,638,83%,0.0,36.56,1073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671439.1?report=genbank&log$=prottop&blast_rank=24&RID=0CP2UEXV016"",""XP_014671439.1"")"
adenylate cyclase type 3-like [Branchiostoma floridae],Branchiostoma floridae,637,637,85%,0.0,35.61,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035659644.1?report=genbank&log$=prottop&blast_rank=25&RID=0CP2UEXV016"",""XP_035659644.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,636,636,82%,0.0,36.73,1113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671436.1?report=genbank&log$=prottop&blast_rank=26&RID=0CP2UEXV016"",""XP_014671436.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,635,635,82%,0.0,36.73,1085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671437.1?report=genbank&log$=prottop&blast_rank=27&RID=0CP2UEXV016"",""XP_014671437.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,633,633,81%,0.0,36.88,1056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671440.1?report=genbank&log$=prottop&blast_rank=28&RID=0CP2UEXV016"",""XP_014671440.1"")"
PREDICTED: adenylate cyclase type 2-like [Amphimedon queenslandica],Amphimedon queenslandica,630,630,74%,0.0,38.04,1178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019850469.1?report=genbank&log$=prottop&blast_rank=29&RID=0CP2UEXV016"",""XP_019850469.1"")"
ADCY3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,629,629,85%,0.0,35.48,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248162.1?report=genbank&log$=prottop&blast_rank=30&RID=0CP2UEXV016"",""CAH1248162.1"")"
PREDICTED: adenylate cyclase type 3 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,627,627,82%,0.0,35.49,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734095.1?report=genbank&log$=prottop&blast_rank=31&RID=0CP2UEXV016"",""XP_002734095.1"")"
adenylate cyclase type 2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,622,622,68%,0.0,39.41,903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035678764.1?report=genbank&log$=prottop&blast_rank=32&RID=0CP2UEXV016"",""XP_035678764.1"")"
adenylate cyclase type 3-like [Acropora millepora],Acropora millepora,613,613,82%,0.0,36.15,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044181646.1?report=genbank&log$=prottop&blast_rank=33&RID=0CP2UEXV016"",""XP_044181646.1"")"
PREDICTED: adenylate cyclase type 2-like [Priapulus caudatus],Priapulus caudatus,553,645,64%,3e-174,37.83,1094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014665401.1?report=genbank&log$=prottop&blast_rank=34&RID=0CP2UEXV016"",""XP_014665401.1"")"
PREDICTED: adenylate cyclase type 1-like [Priapulus caudatus],Priapulus caudatus,490,944,83%,7e-146,41.57,1703,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014661660.1?report=genbank&log$=prottop&blast_rank=35&RID=0CP2UEXV016"",""XP_014661660.1"")"
adenylate cyclase [Ciona intestinalis],Ciona intestinalis,450,450,34%,7e-144,53.30,439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAP91729.1?report=genbank&log$=prottop&blast_rank=36&RID=0CP2UEXV016"",""AAP91729.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X2 [Amphimedon queenslandica],Amphimedon queenslandica,469,575,70%,2e-143,33.12,1048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019855357.1?report=genbank&log$=prottop&blast_rank=37&RID=0CP2UEXV016"",""XP_019855357.1"")"
PREDICTED: adenylate cyclase type 2-like [Hydra vulgaris],Hydra vulgaris,459,459,63%,7e-143,35.11,771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004206359.2?report=genbank&log$=prottop&blast_rank=38&RID=0CP2UEXV016"",""XP_004206359.2"")"
