Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
MAP2K5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,557,557,99%,0.0,61.49,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253386.1?report=genbank&log$=prottop&blast_rank=1&RID=6MSU55R1013"",""CAH1253386.1"")"
dual specificity mitogen-activated protein kinase kinase 5-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,556,556,99%,0.0,61.49,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666864.1?report=genbank&log$=prottop&blast_rank=2&RID=6MSU55R1013"",""XP_035666864.1"")"
MAP2K5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,556,556,99%,0.0,61.49,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253387.1?report=genbank&log$=prottop&blast_rank=3&RID=6MSU55R1013"",""CAH1253387.1"")"
dual specificity mitogen-activated protein kinase kinase 5-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,550,550,99%,0.0,60.40,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666865.1?report=genbank&log$=prottop&blast_rank=4&RID=6MSU55R1013"",""XP_035666865.1"")"
MAP2K5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,550,550,99%,0.0,60.40,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253385.1?report=genbank&log$=prottop&blast_rank=5&RID=6MSU55R1013"",""CAH1253385.1"")"
dual specificity mitogen-activated protein kinase kinase 5-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,550,550,99%,0.0,60.40,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666863.1?report=genbank&log$=prottop&blast_rank=6&RID=6MSU55R1013"",""XP_035666863.1"")"
MAP2K5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,549,549,99%,0.0,60.40,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253388.1?report=genbank&log$=prottop&blast_rank=7&RID=6MSU55R1013"",""CAH1253388.1"")"
dual specificity mitogen-activated protein kinase kinase 5-like isoform X1 [Asterias rubens],Asterias rubens,535,535,98%,0.0,59.00,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033634118.1?report=genbank&log$=prottop&blast_rank=8&RID=6MSU55R1013"",""XP_033634118.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,518,518,100%,1e-180,56.98,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030832379.1?report=genbank&log$=prottop&blast_rank=9&RID=6MSU55R1013"",""XP_030832379.1"")"
dual specificity mitogen-activated protein kinase kinase 5-like isoform X2 [Asterias rubens],Asterias rubens,514,514,98%,1e-179,57.18,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033634119.1?report=genbank&log$=prottop&blast_rank=10&RID=6MSU55R1013"",""XP_033634119.1"")"
dual specificity mitogen-activated protein kinase kinase 5-like [Acropora millepora],Acropora millepora,511,511,98%,6e-178,58.22,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029200799.2?report=genbank&log$=prottop&blast_rank=11&RID=6MSU55R1013"",""XP_029200799.2"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,496,496,100%,2e-172,54.95,422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030832382.1?report=genbank&log$=prottop&blast_rank=12&RID=6MSU55R1013"",""XP_030832382.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,495,495,100%,7e-172,55.63,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030832381.1?report=genbank&log$=prottop&blast_rank=13&RID=6MSU55R1013"",""XP_030832381.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 5-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,492,492,98%,2e-170,57.73,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006812536.1?report=genbank&log$=prottop&blast_rank=14&RID=6MSU55R1013"",""XP_006812536.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,473,473,100%,1e-163,53.60,413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030832383.1?report=genbank&log$=prottop&blast_rank=15&RID=6MSU55R1013"",""XP_030832383.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 5-like [Priapulus caudatus],Priapulus caudatus,446,446,100%,3e-152,50.33,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674450.1?report=genbank&log$=prottop&blast_rank=16&RID=6MSU55R1013"",""XP_014674450.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X1 [Hydra vulgaris],Hydra vulgaris,398,398,94%,2e-133,48.35,446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012558557.2?report=genbank&log$=prottop&blast_rank=17&RID=6MSU55R1013"",""XP_012558557.2"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X2 [Hydra vulgaris],Hydra vulgaris,364,364,90%,8e-121,47.67,410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047139671.1?report=genbank&log$=prottop&blast_rank=18&RID=6MSU55R1013"",""XP_047139671.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X3 [Hydra vulgaris],Hydra vulgaris,358,358,81%,8e-119,49.86,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047139672.1?report=genbank&log$=prottop&blast_rank=19&RID=6MSU55R1013"",""XP_047139672.1"")"
dual specificity mitogen-activated protein kinase kinase 5 [Ciona intestinalis],Ciona intestinalis,355,355,97%,1e-116,43.70,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009860116.1?report=genbank&log$=prottop&blast_rank=20&RID=6MSU55R1013"",""XP_009860116.1"")"
STE/STE7 protein kinase [Salpingoeca rosetta],Salpingoeca rosetta,276,276,62%,1e-86,48.01,408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004994592.1?report=genbank&log$=prottop&blast_rank=21&RID=6MSU55R1013"",""XP_004994592.1"")"
dual specificity mitogen-activated protein kinase kinase 1-like [Asterias rubens],Asterias rubens,274,274,65%,1e-85,41.46,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033634889.1?report=genbank&log$=prottop&blast_rank=22&RID=6MSU55R1013"",""XP_033634889.1"")"
dual specificity mitogen-activated protein kinase kinase 1-like [Acropora millepora],Acropora millepora,268,268,62%,1e-83,44.37,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044163145.1?report=genbank&log$=prottop&blast_rank=23&RID=6MSU55R1013"",""XP_044163145.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 1-like [Amphimedon queenslandica],Amphimedon queenslandica,266,266,65%,1e-82,43.79,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003384864.1?report=genbank&log$=prottop&blast_rank=24&RID=6MSU55R1013"",""XP_003384864.1"")"
LOW QUALITY PROTEIN: dual specificity mitogen-activated protein kinase kinase 1-like [Branchiostoma floridae],Branchiostoma floridae,263,263,63%,9e-82,41.54,361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035665490.1?report=genbank&log$=prottop&blast_rank=25&RID=6MSU55R1013"",""XP_035665490.1"")"
