Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like isoform X6 [Octopus bimaculoides],Octopus bimaculoides,417,417,96%,4e-145,68.49,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770239.1?report=genbank&log$=prottop&blast_rank=1&RID=082FGMTC016"",""XP_014770239.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,417,417,96%,3e-144,68.49,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770237.1?report=genbank&log$=prottop&blast_rank=2&RID=082FGMTC016"",""XP_014770237.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X5 [Octopus bimaculoides],Octopus bimaculoides,416,416,96%,4e-144,68.49,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770238.1?report=genbank&log$=prottop&blast_rank=3&RID=082FGMTC016"",""XP_014770238.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,416,416,96%,6e-144,68.49,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770236.1?report=genbank&log$=prottop&blast_rank=4&RID=082FGMTC016"",""XP_014770236.1"")"
hypothetical protein OCBIM_22008355mg [Octopus bimaculoides],Octopus bimaculoides,416,416,96%,7e-144,68.49,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF91627.1?report=genbank&log$=prottop&blast_rank=5&RID=082FGMTC016"",""KOF91627.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,420,420,96%,1e-143,70.21,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006824096.1?report=genbank&log$=prottop&blast_rank=6&RID=082FGMTC016"",""XP_006824096.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,416,416,96%,1e-142,68.49,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770235.1?report=genbank&log$=prottop&blast_rank=7&RID=082FGMTC016"",""XP_014770235.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,416,416,96%,1e-142,68.49,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770234.1?report=genbank&log$=prottop&blast_rank=8&RID=082FGMTC016"",""XP_014770234.1"")"
5'-AMP-activated protein kinase subunit gamma-2 isoform X8 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,395,395,99%,2e-136,64.90,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846353.1?report=genbank&log$=prottop&blast_rank=9&RID=082FGMTC016"",""XP_030846353.1"")"
5'-AMP-activated protein kinase subunit gamma-2-like isoform X2 [Asterias rubens],Asterias rubens,394,394,99%,6e-136,63.79,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640026.1?report=genbank&log$=prottop&blast_rank=10&RID=082FGMTC016"",""XP_033640026.1"")"
5'-AMP-activated protein kinase subunit gamma-2-like isoform X1 [Asterias rubens],Asterias rubens,394,394,99%,7e-136,63.79,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640025.1?report=genbank&log$=prottop&blast_rank=11&RID=082FGMTC016"",""XP_033640025.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X14 [Branchiostoma floridae],Branchiostoma floridae,400,400,97%,2e-135,68.58,533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035688372.1?report=genbank&log$=prottop&blast_rank=12&RID=082FGMTC016"",""XP_035688372.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,394,394,99%,3e-135,64.90,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836271.1?report=genbank&log$=prottop&blast_rank=13&RID=082FGMTC016"",""XP_030836271.1"")"
5'-AMP-activated protein kinase subunit gamma-1 isoform X7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,394,394,99%,3e-135,64.90,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846352.1?report=genbank&log$=prottop&blast_rank=14&RID=082FGMTC016"",""XP_030846352.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X9 [Branchiostoma floridae],Branchiostoma floridae,401,401,97%,3e-135,68.58,565,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035688367.1?report=genbank&log$=prottop&blast_rank=15&RID=082FGMTC016"",""XP_035688367.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X13 [Branchiostoma floridae],Branchiostoma floridae,400,400,97%,4e-135,68.58,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035688371.1?report=genbank&log$=prottop&blast_rank=16&RID=082FGMTC016"",""XP_035688371.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X7 [Branchiostoma floridae],Branchiostoma floridae,400,400,97%,4e-135,68.58,568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035688365.1?report=genbank&log$=prottop&blast_rank=17&RID=082FGMTC016"",""XP_035688365.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,400,400,97%,4e-135,68.58,571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035688364.1?report=genbank&log$=prottop&blast_rank=18&RID=082FGMTC016"",""XP_035688364.1"")"
