Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
adenylate cyclase type 1 [Gallus gallus],Gallus gallus,1847,1847,96%,0.0,81.33,1142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040520469.1?report=genbank&log$=prottop&blast_rank=1&RID=0ZAN375Y016"",""XP_040520469.1"")"
adenylate cyclase type 1 [Xenopus tropicalis],Xenopus tropicalis,1830,1830,96%,0.0,79.23,1122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002933461.1?report=genbank&log$=prottop&blast_rank=2&RID=0ZAN375Y016"",""XP_002933461.1"")"
adenylate cyclase type 1-like [Carcharodon carcharias],Carcharodon carcharias,1783,1783,95%,0.0,79.31,1112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041039053.1?report=genbank&log$=prottop&blast_rank=3&RID=0ZAN375Y016"",""XP_041039053.1"")"
hypothetical protein XENTR_v10016361 [Xenopus tropicalis],Xenopus tropicalis,1774,1774,92%,0.0,81.22,1074,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8597125.1?report=genbank&log$=prottop&blast_rank=4&RID=0ZAN375Y016"",""KAE8597125.1"")"
adenylate cyclase type 1 [Danio rerio],Danio rerio,1565,1565,96%,0.0,72.56,1114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161821.1?report=genbank&log$=prottop&blast_rank=5&RID=0ZAN375Y016"",""NP_001161821.1"")"
adenylate cyclase type 1b [Danio rerio],Danio rerio,1520,1520,96%,0.0,72.19,1114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161822.1?report=genbank&log$=prottop&blast_rank=6&RID=0ZAN375Y016"",""NP_001161822.1"")"
hypothetical protein XENTR_v10016361 [Xenopus tropicalis],Xenopus tropicalis,1518,1518,76%,0.0,83.12,865,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8597126.1?report=genbank&log$=prottop&blast_rank=7&RID=0ZAN375Y016"",""KAE8597126.1"")"
adenylate cyclase type 1 isoform X1 [Petromyzon marinus],Petromyzon marinus,1516,1516,94%,0.0,69.36,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032819938.1?report=genbank&log$=prottop&blast_rank=8&RID=0ZAN375Y016"",""XP_032819938.1"")"
hypothetical protein XENTR_v10016361 [Xenopus tropicalis],Xenopus tropicalis,1443,1443,76%,0.0,79.88,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8597127.1?report=genbank&log$=prottop&blast_rank=9&RID=0ZAN375Y016"",""KAE8597127.1"")"
adenylate cyclase type 1 isoform X2 [Petromyzon marinus],Petromyzon marinus,1414,1414,94%,0.0,65.82,1110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032819946.1?report=genbank&log$=prottop&blast_rank=10&RID=0ZAN375Y016"",""XP_032819946.1"")"
adenylate cyclase type 6 isoform X1 [Danio rerio],Danio rerio,750,750,94%,0.0,40.71,1203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017209219.1?report=genbank&log$=prottop&blast_rank=11&RID=0ZAN375Y016"",""XP_017209219.1"")"
adenylate cyclase type 5 [Danio rerio],Danio rerio,738,738,91%,0.0,41.63,1186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001165056.1?report=genbank&log$=prottop&blast_rank=12&RID=0ZAN375Y016"",""NP_001165056.1"")"
adenylate cyclase type 6 isoform X4 [Xenopus tropicalis],Xenopus tropicalis,737,737,90%,0.0,40.24,1164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012813227.1?report=genbank&log$=prottop&blast_rank=13&RID=0ZAN375Y016"",""XP_012813227.1"")"
adenylate cyclase type 6 isoform X1 [Xenopus tropicalis],Xenopus tropicalis,737,737,90%,0.0,40.24,1239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002935166.2?report=genbank&log$=prottop&blast_rank=14&RID=0ZAN375Y016"",""XP_002935166.2"")"
adenylate cyclase type 6 isoform X3 [Xenopus tropicalis],Xenopus tropicalis,736,736,90%,0.0,40.24,1229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012813226.1?report=genbank&log$=prottop&blast_rank=15&RID=0ZAN375Y016"",""XP_012813226.1"")"
adenylate cyclase type 5 isoform X2 [Carcharodon carcharias],Carcharodon carcharias,735,735,80%,0.0,43.47,1189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041056456.1?report=genbank&log$=prottop&blast_rank=16&RID=0ZAN375Y016"",""XP_041056456.1"")"
adenylate cyclase type 6 isoform X2 [Xenopus tropicalis],Xenopus tropicalis,734,734,90%,0.0,39.98,1238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031753006.1?report=genbank&log$=prottop&blast_rank=17&RID=0ZAN375Y016"",""XP_031753006.1"")"
adenylate cyclase type 5 isoform X1 [Carcharodon carcharias],Carcharodon carcharias,733,733,80%,0.0,43.26,1196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041056455.1?report=genbank&log$=prottop&blast_rank=18&RID=0ZAN375Y016"",""XP_041056455.1"")"
adenylate cyclase type 5 [Petromyzon marinus],Petromyzon marinus,731,731,90%,0.0,42.36,1209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032821389.1?report=genbank&log$=prottop&blast_rank=19&RID=0ZAN375Y016"",""XP_032821389.1"")"
adenylate cyclase type 5 [Gallus gallus],Gallus gallus,729,729,80%,0.0,44.44,1217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_989962.2?report=genbank&log$=prottop&blast_rank=20&RID=0ZAN375Y016"",""NP_989962.2"")"
adenylate cyclase type 5 [Xenopus tropicalis],Xenopus tropicalis,727,727,80%,0.0,44.73,1194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031749309.1?report=genbank&log$=prottop&blast_rank=21&RID=0ZAN375Y016"",""XP_031749309.1"")"
adenylate cyclase type 6 [Danio rerio],Danio rerio,725,725,93%,0.0,39.98,1174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002666536.2?report=genbank&log$=prottop&blast_rank=22&RID=0ZAN375Y016"",""XP_002666536.2"")"
adenylyl cyclase type V [Gallus gallus],Gallus gallus,717,717,80%,0.0,44.03,1211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAC04078.1?report=genbank&log$=prottop&blast_rank=23&RID=0ZAN375Y016"",""CAC04078.1"")"
adenylate cyclase type 5 isoform X3 [Carcharodon carcharias],Carcharodon carcharias,699,699,75%,0.0,44.04,891,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041056457.1?report=genbank&log$=prottop&blast_rank=24&RID=0ZAN375Y016"",""XP_041056457.1"")"
hypothetical protein XENTR_v10006584 [Xenopus tropicalis],Xenopus tropicalis,697,697,75%,0.0,43.24,919,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8626317.1?report=genbank&log$=prottop&blast_rank=25&RID=0ZAN375Y016"",""KAE8626317.1"")"
hypothetical protein XENTR_v10006584 [Xenopus tropicalis],Xenopus tropicalis,696,696,75%,0.0,43.58,1053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8626315.1?report=genbank&log$=prottop&blast_rank=26&RID=0ZAN375Y016"",""KAE8626315.1"")"
adenylate cyclase type 6 isoform X2 [Danio rerio],Danio rerio,692,692,75%,0.0,44.31,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021329256.1?report=genbank&log$=prottop&blast_rank=27&RID=0ZAN375Y016"",""XP_021329256.1"")"
adenylate cyclase type 8 isoform X1 [Gallus gallus],Gallus gallus,678,678,80%,0.0,41.88,1240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040520246.1?report=genbank&log$=prottop&blast_rank=28&RID=0ZAN375Y016"",""XP_040520246.1"")"
adenylate cyclase type 8 isoform X1 [Xenopus tropicalis],Xenopus tropicalis,676,676,80%,0.0,41.62,1240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031759242.1?report=genbank&log$=prottop&blast_rank=29&RID=0ZAN375Y016"",""XP_031759242.1"")"
