Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PPP1R12A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,328,442,85%,6e-99,37.73,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1251027.1?report=genbank&log$=prottop&blast_rank=1&RID=0CN2Z9N6013"",""CAH1251027.1"")"
protein phosphatase 1 regulatory subunit 12B isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,323,394,79%,3e-95,36.29,870,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030850011.1?report=genbank&log$=prottop&blast_rank=2&RID=0CN2Z9N6013"",""XP_030850011.1"")"
protein phosphatase 1 regulatory subunit 12B isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,316,387,79%,9e-93,35.81,879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030843680.1?report=genbank&log$=prottop&blast_rank=3&RID=0CN2Z9N6013"",""XP_030843680.1"")"
protein phosphatase 1 regulatory subunit 12A isoform X2 [Ciona intestinalis],Ciona intestinalis,318,406,52%,9e-92,48.68,1105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696402.1?report=genbank&log$=prottop&blast_rank=4&RID=0CN2Z9N6013"",""XP_026696402.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like [Priapulus caudatus],Priapulus caudatus,313,391,58%,3e-91,44.08,936,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670964.1?report=genbank&log$=prottop&blast_rank=5&RID=0CN2Z9N6013"",""XP_014670964.1"")"
protein phosphatase 1 regulatory subunit 12A isoform X1 [Ciona intestinalis],Ciona intestinalis,315,361,47%,4e-90,48.68,1207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696401.1?report=genbank&log$=prottop&blast_rank=6&RID=0CN2Z9N6013"",""XP_026696401.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,309,429,62%,3e-89,49.16,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773905.1?report=genbank&log$=prottop&blast_rank=7&RID=0CN2Z9N6013"",""XP_014773905.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,308,426,62%,5e-89,49.16,953,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773912.1?report=genbank&log$=prottop&blast_rank=8&RID=0CN2Z9N6013"",""XP_014773912.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,309,428,62%,5e-89,49.16,1024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773891.1?report=genbank&log$=prottop&blast_rank=9&RID=0CN2Z9N6013"",""XP_014773891.1"")"
PREDICTED: protein phosphatase 1 regulatory subunit 12A-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,309,418,62%,5e-89,49.16,1024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014773897.1?report=genbank&log$=prottop&blast_rank=10&RID=0CN2Z9N6013"",""XP_014773897.1"")"
