Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
epidermal growth factor receptor isoform X7 [Ciona intestinalis],Ciona intestinalis,664,664,83%,0.0,38.28,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671335.1?report=genbank&log$=prottop&blast_rank=1&RID=0CWVS9PU01R"",""XP_018671335.1"")"
epidermal growth factor receptor isoform X6 [Ciona intestinalis],Ciona intestinalis,657,657,83%,0.0,38.21,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671334.1?report=genbank&log$=prottop&blast_rank=2&RID=0CWVS9PU01R"",""XP_018671334.1"")"
epidermal growth factor receptor precursor [Ciona intestinalis],Ciona intestinalis,654,654,81%,0.0,38.54,1462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071984.1?report=genbank&log$=prottop&blast_rank=3&RID=0CWVS9PU01R"",""NP_001071984.1"")"
epidermal growth factor receptor isoform X5 [Ciona intestinalis],Ciona intestinalis,653,653,83%,0.0,37.35,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671333.1?report=genbank&log$=prottop&blast_rank=4&RID=0CWVS9PU01R"",""XP_018671333.1"")"
epidermal growth factor receptor isoform X3 [Ciona intestinalis],Ciona intestinalis,652,652,83%,0.0,37.32,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671331.1?report=genbank&log$=prottop&blast_rank=5&RID=0CWVS9PU01R"",""XP_018671331.1"")"
epidermal growth factor receptor isoform X1 [Ciona intestinalis],Ciona intestinalis,652,652,83%,0.0,37.32,1520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671329.1?report=genbank&log$=prottop&blast_rank=6&RID=0CWVS9PU01R"",""XP_018671329.1"")"
epidermal growth factor receptor isoform X4 [Ciona intestinalis],Ciona intestinalis,649,649,81%,0.0,37.65,1501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671332.1?report=genbank&log$=prottop&blast_rank=7&RID=0CWVS9PU01R"",""XP_018671332.1"")"
epidermal growth factor receptor isoform X2 [Ciona intestinalis],Ciona intestinalis,649,649,81%,0.0,37.62,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671330.1?report=genbank&log$=prottop&blast_rank=8&RID=0CWVS9PU01R"",""XP_018671330.1"")"
receptor tyrosine-protein kinase erbB-4 [Ciona intestinalis],Ciona intestinalis,538,599,64%,2e-168,42.64,1184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018672769.1?report=genbank&log$=prottop&blast_rank=9&RID=0CWVS9PU01R"",""XP_018672769.1"")"
PREDICTED: receptor tyrosine-protein kinase erbB-4-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,512,980,86%,3e-156,44.40,1469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006813566.1?report=genbank&log$=prottop&blast_rank=10&RID=0CWVS9PU01R"",""XP_006813566.1"")"
ERBB4 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,511,982,94%,1e-155,40.27,1477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249286.1?report=genbank&log$=prottop&blast_rank=11&RID=0CWVS9PU01R"",""CAH1249286.1"")"
epidermal growth factor receptor-like [Branchiostoma floridae],Branchiostoma floridae,511,976,81%,3e-155,47.96,1526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661841.1?report=genbank&log$=prottop&blast_rank=12&RID=0CWVS9PU01R"",""XP_035661841.1"")"
ERBB4 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,504,974,87%,2e-153,42.19,1409,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249287.1?report=genbank&log$=prottop&blast_rank=13&RID=0CWVS9PU01R"",""CAH1249287.1"")"
hypothetical protein OCBIM_220295011mg [Octopus bimaculoides],Octopus bimaculoides,482,533,49%,2e-152,47.87,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF97432.1?report=genbank&log$=prottop&blast_rank=14&RID=0CWVS9PU01R"",""KOF97432.1"")"
ERBB4 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,502,973,94%,2e-152,39.32,1496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249285.1?report=genbank&log$=prottop&blast_rank=15&RID=0CWVS9PU01R"",""CAH1249285.1"")"
PREDICTED: epidermal growth factor receptor-like [Octopus bimaculoides],Octopus bimaculoides,482,754,69%,6e-149,48.23,1036,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014788508.1?report=genbank&log$=prottop&blast_rank=16&RID=0CWVS9PU01R"",""XP_014788508.1"")"
PREDICTED: epidermal growth factor receptor-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,481,763,91%,3e-148,38.61,1093,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014767892.1?report=genbank&log$=prottop&blast_rank=17&RID=0CWVS9PU01R"",""XP_014767892.1"")"
hypothetical protein OCBIM_22000489mg [Octopus bimaculoides],Octopus bimaculoides,481,773,81%,3e-147,38.49,1187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF94845.1?report=genbank&log$=prottop&blast_rank=18&RID=0CWVS9PU01R"",""KOF94845.1"")"
epidermal growth factor receptor-like isoform X2 [Asterias rubens],Asterias rubens,485,940,87%,4e-146,42.26,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629323.1?report=genbank&log$=prottop&blast_rank=19&RID=0CWVS9PU01R"",""XP_033629323.1"")"
epidermal growth factor receptor-like isoform X6 [Asterias rubens],Asterias rubens,484,941,87%,5e-146,42.14,1443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033629328.1?report=genbank&log$=prottop&blast_rank=20&RID=0CWVS9PU01R"",""XP_033629328.1"")"
