Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,282,282,63%,2e-80,30.31,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=1&RID=0MSZ7JPP013"",""XP_029185280.2"")"
PREDICTED: cytosolic phospholipase A2-like isoform X5 [Priapulus caudatus],Priapulus caudatus,283,336,75%,4e-80,32.99,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670507.1?report=genbank&log$=prottop&blast_rank=2&RID=0MSZ7JPP013"",""XP_014670507.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,280,280,61%,9e-80,32.27,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670506.1?report=genbank&log$=prottop&blast_rank=3&RID=0MSZ7JPP013"",""XP_014670506.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,281,334,75%,1e-79,32.55,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670505.1?report=genbank&log$=prottop&blast_rank=4&RID=0MSZ7JPP013"",""XP_014670505.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,281,334,75%,2e-79,32.72,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670504.1?report=genbank&log$=prottop&blast_rank=5&RID=0MSZ7JPP013"",""XP_014670504.1"")"
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,279,341,74%,4e-79,29.53,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=6&RID=0MSZ7JPP013"",""XP_035685090.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,280,333,75%,8e-79,32.27,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670499.1?report=genbank&log$=prottop&blast_rank=7&RID=0MSZ7JPP013"",""XP_014670499.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,278,341,70%,1e-78,30.92,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=8&RID=0MSZ7JPP013"",""CAH1272832.1"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,249,305,71%,3e-68,29.85,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=9&RID=0MSZ7JPP013"",""XP_029185674.2"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,236,236,61%,3e-63,28.69,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=10&RID=0MSZ7JPP013"",""XP_014668727.1"")"
hypothetical protein OCBIM_22033016mg [Octopus bimaculoides],Octopus bimaculoides,198,301,52%,1e-50,37.59,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76715.1?report=genbank&log$=prottop&blast_rank=11&RID=0MSZ7JPP013"",""KOF76715.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,199,303,55%,2e-50,38.58,880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780744.1?report=genbank&log$=prottop&blast_rank=12&RID=0MSZ7JPP013"",""XP_014780744.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,198,301,50%,3e-50,38.58,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780743.1?report=genbank&log$=prottop&blast_rank=13&RID=0MSZ7JPP013"",""XP_014780743.1"")"
cytosolic phospholipase A2 isoform X5 [Ciona intestinalis],Ciona intestinalis,197,302,48%,9e-50,39.45,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669044.1?report=genbank&log$=prottop&blast_rank=14&RID=0MSZ7JPP013"",""XP_018669044.1"")"
cytosolic phospholipase A2 isoform X6 [Ciona intestinalis],Ciona intestinalis,197,302,48%,1e-49,39.45,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669045.1?report=genbank&log$=prottop&blast_rank=15&RID=0MSZ7JPP013"",""XP_018669045.1"")"
cytosolic phospholipase A2 isoform X4 [Ciona intestinalis],Ciona intestinalis,197,302,48%,1e-49,39.45,916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127884.2?report=genbank&log$=prottop&blast_rank=16&RID=0MSZ7JPP013"",""XP_002127884.2"")"
cytosolic phospholipase A2 isoform X3 [Ciona intestinalis],Ciona intestinalis,197,302,48%,1e-49,39.45,943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669043.1?report=genbank&log$=prottop&blast_rank=17&RID=0MSZ7JPP013"",""XP_018669043.1"")"
