Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
dual specificity mitogen-activated protein kinase kinase 5 [Gallus gallus],Gallus gallus,855,855,100%,0.0,93.32,449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001269277.1?report=genbank&log$=prottop&blast_rank=1&RID=0YXS7WKE013"",""NP_001269277.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X1 [Gallus gallus],Gallus gallus,826,826,100%,0.0,91.09,439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015147584.2?report=genbank&log$=prottop&blast_rank=2&RID=0YXS7WKE013"",""XP_015147584.2"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X2 [Carcharodon carcharias],Carcharodon carcharias,812,812,96%,0.0,89.81,449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030663.1?report=genbank&log$=prottop&blast_rank=3&RID=0YXS7WKE013"",""XP_041030663.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X1 [Carcharodon carcharias],Carcharodon carcharias,804,804,96%,0.0,87.58,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030662.1?report=genbank&log$=prottop&blast_rank=4&RID=0YXS7WKE013"",""XP_041030662.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X4 [Carcharodon carcharias],Carcharodon carcharias,782,782,96%,0.0,87.50,439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030665.1?report=genbank&log$=prottop&blast_rank=5&RID=0YXS7WKE013"",""XP_041030665.1"")"
dual specificity mitogen-activated protein kinase kinase 5 [Xenopus tropicalis],Xenopus tropicalis,777,777,99%,0.0,85.20,448,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001016288.1?report=genbank&log$=prottop&blast_rank=6&RID=0YXS7WKE013"",""NP_001016288.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X5 [Carcharodon carcharias],Carcharodon carcharias,767,767,96%,0.0,85.88,432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030666.1?report=genbank&log$=prottop&blast_rank=7&RID=0YXS7WKE013"",""XP_041030666.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X2 [Gallus gallus],Gallus gallus,766,766,100%,0.0,85.97,413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015147585.2?report=genbank&log$=prottop&blast_rank=8&RID=0YXS7WKE013"",""XP_015147585.2"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X1 [Xenopus tropicalis],Xenopus tropicalis,762,762,99%,0.0,80.51,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017947570.1?report=genbank&log$=prottop&blast_rank=9&RID=0YXS7WKE013"",""XP_017947570.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X3 [Carcharodon carcharias],Carcharodon carcharias,759,759,96%,0.0,83.75,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030664.1?report=genbank&log$=prottop&blast_rank=10&RID=0YXS7WKE013"",""XP_041030664.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X6 [Carcharodon carcharias],Carcharodon carcharias,737,737,96%,0.0,83.56,422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030667.1?report=genbank&log$=prottop&blast_rank=11&RID=0YXS7WKE013"",""XP_041030667.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X4 [Petromyzon marinus],Petromyzon marinus,720,720,96%,0.0,78.00,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032804405.1?report=genbank&log$=prottop&blast_rank=12&RID=0YXS7WKE013"",""XP_032804405.1"")"
hypothetical protein XENTR_v10009405 [Xenopus tropicalis],Xenopus tropicalis,714,714,99%,0.0,80.04,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8618506.1?report=genbank&log$=prottop&blast_rank=13&RID=0YXS7WKE013"",""KAE8618506.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X9 [Carcharodon carcharias],Carcharodon carcharias,701,701,82%,0.0,88.68,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030670.1?report=genbank&log$=prottop&blast_rank=14&RID=0YXS7WKE013"",""XP_041030670.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X1 [Danio rerio],Danio rerio,689,689,96%,0.0,79.72,449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005168897.1?report=genbank&log$=prottop&blast_rank=15&RID=0YXS7WKE013"",""XP_005168897.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X3 [Gallus gallus],Gallus gallus,682,682,79%,0.0,94.15,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015147587.2?report=genbank&log$=prottop&blast_rank=16&RID=0YXS7WKE013"",""XP_015147587.2"")"
hypothetical protein XENTR_v10009405 [Xenopus tropicalis],Xenopus tropicalis,674,674,99%,0.0,76.23,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8618507.1?report=genbank&log$=prottop&blast_rank=17&RID=0YXS7WKE013"",""KAE8618507.1"")"
dual specificity mitogen-activated protein kinase kinase 5 [Danio rerio],Danio rerio,674,674,96%,0.0,79.31,450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001107789.1?report=genbank&log$=prottop&blast_rank=18&RID=0YXS7WKE013"",""NP_001107789.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X7 [Carcharodon carcharias],Carcharodon carcharias,672,672,96%,0.0,77.55,393,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030668.1?report=genbank&log$=prottop&blast_rank=19&RID=0YXS7WKE013"",""XP_041030668.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X3 [Petromyzon marinus],Petromyzon marinus,671,671,89%,0.0,78.35,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032804397.1?report=genbank&log$=prottop&blast_rank=20&RID=0YXS7WKE013"",""XP_032804397.1"")"
hypothetical protein RCJMB04_36h7 [Gallus gallus],Gallus gallus,669,669,82%,0.0,89.22,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG32781.1?report=genbank&log$=prottop&blast_rank=21&RID=0YXS7WKE013"",""CAG32781.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X2 [Danio rerio],Danio rerio,651,651,87%,0.0,83.04,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009301481.1?report=genbank&log$=prottop&blast_rank=22&RID=0YXS7WKE013"",""XP_009301481.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X8 [Carcharodon carcharias],Carcharodon carcharias,646,646,76%,0.0,89.83,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030669.1?report=genbank&log$=prottop&blast_rank=23&RID=0YXS7WKE013"",""XP_041030669.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X10 [Carcharodon carcharias],Carcharodon carcharias,627,627,96%,0.0,73.61,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041030671.1?report=genbank&log$=prottop&blast_rank=24&RID=0YXS7WKE013"",""XP_041030671.1"")"
hypothetical protein XENTR_v10009405 [Xenopus tropicalis],Xenopus tropicalis,619,619,80%,0.0,84.96,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8618509.1?report=genbank&log$=prottop&blast_rank=25&RID=0YXS7WKE013"",""KAE8618509.1"")"
hypothetical protein XENTR_v10009405 [Xenopus tropicalis],Xenopus tropicalis,604,604,80%,0.0,79.22,404,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8618508.1?report=genbank&log$=prottop&blast_rank=26&RID=0YXS7WKE013"",""KAE8618508.1"")"
hypothetical protein XENTR_v10009405 [Xenopus tropicalis],Xenopus tropicalis,593,593,84%,0.0,79.21,364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8618510.1?report=genbank&log$=prottop&blast_rank=27&RID=0YXS7WKE013"",""KAE8618510.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X2 [Petromyzon marinus],Petromyzon marinus,581,727,96%,0.0,77.72,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032804389.1?report=genbank&log$=prottop&blast_rank=28&RID=0YXS7WKE013"",""XP_032804389.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X1 [Petromyzon marinus],Petromyzon marinus,580,679,89%,0.0,77.72,543,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032804382.1?report=genbank&log$=prottop&blast_rank=29&RID=0YXS7WKE013"",""XP_032804382.1"")"
dual specificity mitogen-activated protein kinase kinase 5 isoform X5 [Petromyzon marinus],Petromyzon marinus,466,565,73%,3e-161,77.97,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032804414.1?report=genbank&log$=prottop&blast_rank=30&RID=0YXS7WKE013"",""XP_032804414.1"")"
dual specificity mitogen-activated protein kinase kinase 1 [Petromyzon marinus],Petromyzon marinus,270,270,62%,2e-85,42.37,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032804312.1?report=genbank&log$=prottop&blast_rank=31&RID=0YXS7WKE013"",""XP_032804312.1"")"
dual specificity mitogen-activated protein kinase kinase 1 [Carcharodon carcharias],Carcharodon carcharias,267,267,65%,2e-84,42.34,393,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041031084.1?report=genbank&log$=prottop&blast_rank=32&RID=0YXS7WKE013"",""XP_041031084.1"")"
dual specificity mitogen-activated protein kinase kinase 1 [Gallus gallus],Gallus gallus,267,267,65%,2e-84,41.79,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001005830.1?report=genbank&log$=prottop&blast_rank=33&RID=0YXS7WKE013"",""NP_001005830.1"")"
dual specificity mitogen-activated protein kinase kinase 1 isoform X1 [Gallus gallus],Gallus gallus,266,266,65%,4e-84,41.79,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015147582.1?report=genbank&log$=prottop&blast_rank=34&RID=0YXS7WKE013"",""XP_015147582.1"")"
dual specificity mitogen-activated protein kinase kinase 1 [Xenopus tropicalis],Xenopus tropicalis,262,262,62%,1e-82,41.93,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001008058.1?report=genbank&log$=prottop&blast_rank=35&RID=0YXS7WKE013"",""NP_001008058.1"")"
dual specificity mitogen-activated protein kinase kinase 1-like [Petromyzon marinus],Petromyzon marinus,261,261,75%,6e-82,37.66,398,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032829743.1?report=genbank&log$=prottop&blast_rank=36&RID=0YXS7WKE013"",""XP_032829743.1"")"
dual specificity mitogen-activated protein kinase kinase 2 [Gallus gallus],Gallus gallus,261,261,65%,6e-82,40.06,398,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_990719.2?report=genbank&log$=prottop&blast_rank=37&RID=0YXS7WKE013"",""NP_990719.2"")"
RecName: Full=Dual specificity mitogen-activated protein kinase kinase 2; Short=MAP kinase kinase 2; Short=MAPKK 2; AltName: Full=ERK activator kinase 2; AltName: Full=MAPK/ERK kinase 2; Short=MEK2 [Gallus gallus],Gallus gallus,260,260,65%,8e-82,40.06,398,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q90891.1?report=genbank&log$=prottop&blast_rank=38&RID=0YXS7WKE013"",""Q90891.1"")"
dual specificity mitogen-activated protein kinase kinase 2 isoform X1 [Danio rerio],Danio rerio,260,260,65%,1e-81,41.25,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021333936.1?report=genbank&log$=prottop&blast_rank=39&RID=0YXS7WKE013"",""XP_021333936.1"")"
dual specificity mitogen-activated protein kinase kinase 2b [Danio rerio],Danio rerio,260,260,65%,1e-81,41.25,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001121753.1?report=genbank&log$=prottop&blast_rank=40&RID=0YXS7WKE013"",""NP_001121753.1"")"
dual specificity mitogen-activated protein kinase kinase 2a [Danio rerio],Danio rerio,259,259,65%,2e-81,39.76,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001032468.2?report=genbank&log$=prottop&blast_rank=41&RID=0YXS7WKE013"",""NP_001032468.2"")"
dual specificity mitogen-activated protein kinase kinase 2 [Carcharodon carcharias],Carcharodon carcharias,259,259,65%,4e-81,39.76,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041060212.1?report=genbank&log$=prottop&blast_rank=42&RID=0YXS7WKE013"",""XP_041060212.1"")"
mitogen-activated protein kinase kinase 1 [Danio rerio],Danio rerio,257,257,65%,1e-80,41.49,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADI48167.1?report=genbank&log$=prottop&blast_rank=43&RID=0YXS7WKE013"",""ADI48167.1"")"
dual specificity mitogen-activated protein kinase kinase 1 [Danio rerio],Danio rerio,256,256,65%,6e-80,41.84,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_998584.2?report=genbank&log$=prottop&blast_rank=44&RID=0YXS7WKE013"",""NP_998584.2"")"
dual specificity mitogen-activated protein kinase kinase 2 isoform X1 [Gallus gallus],Gallus gallus,253,253,65%,9e-79,38.90,408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015155404.1?report=genbank&log$=prottop&blast_rank=45&RID=0YXS7WKE013"",""XP_015155404.1"")"
novel protein (zgc:56557) [Danio rerio],Danio rerio,251,251,65%,4e-78,41.00,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK04706.1?report=genbank&log$=prottop&blast_rank=46&RID=0YXS7WKE013"",""CAK04706.1"")"
Mitogen-activated protein kinase kinase 2 [Danio rerio],Danio rerio,236,236,48%,6e-74,49.33,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAI07822.1?report=genbank&log$=prottop&blast_rank=47&RID=0YXS7WKE013"",""AAI07822.1"")"
dual specificity mitogen-activated protein kinase kinase 2 isoform X2 [Danio rerio],Danio rerio,236,236,47%,2e-73,50.69,330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009297220.1?report=genbank&log$=prottop&blast_rank=48&RID=0YXS7WKE013"",""XP_009297220.1"")"
dual specificity mitogen-activated protein kinase kinase 6 isoform X1 [Gallus gallus],Gallus gallus,232,232,71%,1e-71,41.49,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003642396.1?report=genbank&log$=prottop&blast_rank=49&RID=0YXS7WKE013"",""XP_003642396.1"")"
dual specificity mitogen-activated protein kinase kinase 6 isoform X2 [Gallus gallus],Gallus gallus,232,232,71%,1e-71,41.49,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004946297.1?report=genbank&log$=prottop&blast_rank=50&RID=0YXS7WKE013"",""XP_004946297.1"")"
