Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
AVPR1B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,272,272,71%,3e-84,42.19,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249255.1?report=genbank&log$=prottop&blast_rank=1&RID=6J1GEH0501R"",""CAH1249255.1"")"
mesotocin receptor-like [Branchiostoma floridae],Branchiostoma floridae,266,266,69%,4e-83,43.28,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661732.1?report=genbank&log$=prottop&blast_rank=2&RID=6J1GEH0501R"",""XP_035661732.1"")"
AVPR1B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,261,261,68%,3e-80,42.48,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249079.1?report=genbank&log$=prottop&blast_rank=3&RID=6J1GEH0501R"",""CAH1249079.1"")"
PREDICTED: cephalotocin receptor 2-like [Priapulus caudatus],Priapulus caudatus,261,261,77%,3e-80,44.02,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014669368.1?report=genbank&log$=prottop&blast_rank=4&RID=6J1GEH0501R"",""XP_014669368.1"")"
RecName: Full=Cephalotocin receptor 1; AltName: Full=OC/CE-R 1; AltName: Full=OT/VP superfamily peptide receptor 1 [Octopus vulgaris],Octopus vulgaris,255,255,71%,1e-78,41.09,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7YW31.1?report=genbank&log$=prottop&blast_rank=5&RID=6J1GEH0501R"",""Q7YW31.1"")"
cephalotocin receptor 2 [Octopus vulgaris],Octopus vulgaris,241,241,73%,7e-73,43.69,423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAD67171.1?report=genbank&log$=prottop&blast_rank=6&RID=6J1GEH0501R"",""BAD67171.1"")"
oxytocin receptor [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,242,242,81%,8e-73,38.30,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830858.1?report=genbank&log$=prottop&blast_rank=7&RID=6J1GEH0501R"",""XP_030830858.1"")"
RecName: Full=Cephalotocin receptor 2 [Octopus vulgaris],Octopus vulgaris,241,241,73%,1e-72,43.69,426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5WA50.1?report=genbank&log$=prottop&blast_rank=8&RID=6J1GEH0501R"",""Q5WA50.1"")"
GPCR vasopressin/oxytocin-type receptor [Asterias rubens],Asterias rubens,231,231,74%,6e-69,37.47,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QDJ94358.1?report=genbank&log$=prottop&blast_rank=9&RID=6J1GEH0501R"",""QDJ94358.1"")"
oxytocin receptor-like [Asterias rubens],Asterias rubens,231,231,74%,1e-68,37.47,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628530.1?report=genbank&log$=prottop&blast_rank=10&RID=6J1GEH0501R"",""XP_033628530.1"")"
