Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent calcium channel gamma-2 subunit isoform X1 [Gallus gallus],Gallus gallus,665,665,100%,0.0,98.14,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040516657.1?report=genbank&log$=prottop&blast_rank=1&RID=0YZJT9ZS013"",""XP_040516657.1"")"
voltage-dependent calcium channel gamma-2 subunit isoform X2 [Gallus gallus],Gallus gallus,619,619,92%,0.0,98.00,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004937832.1?report=genbank&log$=prottop&blast_rank=2&RID=0YZJT9ZS013"",""XP_004937832.1"")"
voltage-dependent calcium channel gamma-2 subunit [Xenopus tropicalis],Xenopus tropicalis,607,607,100%,0.0,95.36,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001096418.1?report=genbank&log$=prottop&blast_rank=3&RID=0YZJT9ZS013"",""NP_001096418.1"")"
"calcium channel, voltage-dependent, gamma subunit 2a [Carcharodon carcharias]",Carcharodon carcharias,599,599,100%,0.0,93.50,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041033809.1?report=genbank&log$=prottop&blast_rank=4&RID=0YZJT9ZS013"",""XP_041033809.1"")"
"calcium channel, voltage-dependent, gamma subunit 2a [Danio rerio]",Danio rerio,562,562,100%,0.0,88.65,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_956935.1?report=genbank&log$=prottop&blast_rank=5&RID=0YZJT9ZS013"",""NP_956935.1"")"
"calcium channel, voltage-dependent, gamma subunit 2b [Danio rerio]",Danio rerio,529,529,100%,0.0,82.98,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001186659.1?report=genbank&log$=prottop&blast_rank=6&RID=0YZJT9ZS013"",""NP_001186659.1"")"
voltage-dependent calcium channel gamma-3 subunit [Gallus gallus],Gallus gallus,470,470,100%,3e-167,75.23,315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001384012.1?report=genbank&log$=prottop&blast_rank=7&RID=0YZJT9ZS013"",""NP_001384012.1"")"
voltage-dependent calcium channel gamma-3 subunit [Carcharodon carcharias],Carcharodon carcharias,469,469,100%,5e-167,73.99,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041061602.1?report=genbank&log$=prottop&blast_rank=8&RID=0YZJT9ZS013"",""XP_041061602.1"")"
voltage-dependent calcium channel gamma-3 subunit [Xenopus tropicalis],Xenopus tropicalis,469,469,100%,5e-167,75.00,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002932480.1?report=genbank&log$=prottop&blast_rank=9&RID=0YZJT9ZS013"",""XP_002932480.1"")"
IPR328-like protein [Gallus gallus],Gallus gallus,457,457,100%,3e-162,74.30,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAK08654.1?report=genbank&log$=prottop&blast_rank=10&RID=0YZJT9ZS013"",""AAK08654.1"")"
voltage-dependent calcium channel gamma-3 subunit [Danio rerio],Danio rerio,454,454,100%,9e-161,73.99,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_693299.1?report=genbank&log$=prottop&blast_rank=11&RID=0YZJT9ZS013"",""XP_693299.1"")"
voltage-dependent calcium channel gamma-8 subunit [Xenopus tropicalis],Xenopus tropicalis,385,385,98%,2e-133,60.35,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAI18796.1?report=genbank&log$=prottop&blast_rank=12&RID=0YZJT9ZS013"",""AAI18796.1"")"
voltage-dependent calcium channel gamma-8 subunit [Xenopus tropicalis],Xenopus tropicalis,385,385,98%,5e-133,60.35,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001072217.2?report=genbank&log$=prottop&blast_rank=13&RID=0YZJT9ZS013"",""NP_001072217.2"")"
voltage-dependent calcium channel gamma-3 subunit-like [Danio rerio],Danio rerio,382,382,95%,6e-131,63.17,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021331621.1?report=genbank&log$=prottop&blast_rank=14&RID=0YZJT9ZS013"",""XP_021331621.1"")"
voltage-dependent calcium channel gamma-3 subunit-like [Danio rerio],Danio rerio,381,381,95%,8e-131,63.17,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_695825.5?report=genbank&log$=prottop&blast_rank=15&RID=0YZJT9ZS013"",""XP_695825.5"")"
voltage-dependent calcium channel gamma-4 subunit [Gallus gallus],Gallus gallus,373,373,98%,1e-128,62.50,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_989463.2?report=genbank&log$=prottop&blast_rank=16&RID=0YZJT9ZS013"",""NP_989463.2"")"
calcium channel gamma 4 subunit [Gallus gallus],Gallus gallus,372,372,98%,2e-128,62.50,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAK72510.1?report=genbank&log$=prottop&blast_rank=17&RID=0YZJT9ZS013"",""AAK72510.1"")"
voltage-dependent calcium channel gamma-4 subunit [Xenopus tropicalis],Xenopus tropicalis,356,356,100%,4e-122,61.75,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031750551.1?report=genbank&log$=prottop&blast_rank=18&RID=0YZJT9ZS013"",""XP_031750551.1"")"
voltage-dependent calcium channel gamma-3 subunit isoform X1 [Gallus gallus],Gallus gallus,342,342,78%,2e-117,72.33,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040503247.1?report=genbank&log$=prottop&blast_rank=19&RID=0YZJT9ZS013"",""XP_040503247.1"")"
voltage-dependent calcium channel gamma-2 subunit-like [Petromyzon marinus],Petromyzon marinus,344,383,81%,2e-115,69.23,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032822878.1?report=genbank&log$=prottop&blast_rank=20&RID=0YZJT9ZS013"",""XP_032822878.1"")"
hypothetical protein XENTR_v10023888 [Xenopus tropicalis],Xenopus tropicalis,331,331,76%,2e-113,71.89,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8579065.1?report=genbank&log$=prottop&blast_rank=21&RID=0YZJT9ZS013"",""KAE8579065.1"")"
voltage-dependent calcium channel gamma-2 subunit-like isoform X2 [Petromyzon marinus],Petromyzon marinus,330,330,100%,9e-111,46.06,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032817045.1?report=genbank&log$=prottop&blast_rank=22&RID=0YZJT9ZS013"",""XP_032817045.1"")"
voltage-dependent calcium channel gamma-2 subunit-like isoform X1 [Petromyzon marinus],Petromyzon marinus,330,330,100%,6e-110,46.06,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032817044.1?report=genbank&log$=prottop&blast_rank=23&RID=0YZJT9ZS013"",""XP_032817044.1"")"
voltage-dependent calcium channel gamma-3 subunit [Petromyzon marinus],Petromyzon marinus,316,316,98%,3e-106,53.55,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032826093.1?report=genbank&log$=prottop&blast_rank=24&RID=0YZJT9ZS013"",""XP_032826093.1"")"
voltage-dependent calcium channel gamma-4 subunit-like [Carcharodon carcharias],Carcharodon carcharias,315,315,100%,5e-106,58.26,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041073180.1?report=genbank&log$=prottop&blast_rank=25&RID=0YZJT9ZS013"",""XP_041073180.1"")"
"calcium channel, voltage-dependent, gamma subunit 8a [Danio rerio]",Danio rerio,312,312,91%,3e-103,51.33,432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001313412.1?report=genbank&log$=prottop&blast_rank=26&RID=0YZJT9ZS013"",""NP_001313412.1"")"
voltage-dependent calcium channel gamma-4 subunit-like isoform X1 [Danio rerio],Danio rerio,310,310,93%,2e-102,50.73,422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001342922.4?report=genbank&log$=prottop&blast_rank=27&RID=0YZJT9ZS013"",""XP_001342922.4"")"
