Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit alpha-1D isoform X1 [Ciona intestinalis],Ciona intestinalis,2104,2104,77%,0.0,60.62,2268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689962.1?report=genbank&log$=prottop&blast_rank=1&RID=04XUDV7E016"",""XP_026689962.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X2 [Ciona intestinalis],Ciona intestinalis,2098,2098,77%,0.0,60.45,2266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689963.1?report=genbank&log$=prottop&blast_rank=2&RID=04XUDV7E016"",""XP_026689963.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X5 [Ciona intestinalis],Ciona intestinalis,2094,2094,74%,0.0,61.85,2117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667169.1?report=genbank&log$=prottop&blast_rank=3&RID=04XUDV7E016"",""XP_018667169.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X3 [Ciona intestinalis],Ciona intestinalis,2076,2076,77%,0.0,60.17,2259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689964.1?report=genbank&log$=prottop&blast_rank=4&RID=04XUDV7E016"",""XP_026689964.1"")"
PREDICTED: LOW QUALITY PROTEIN: muscle calcium channel subunit alpha-1-like [Octopus bimaculoides],Octopus bimaculoides,2046,2046,93%,0.0,53.03,2190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774811.1?report=genbank&log$=prottop&blast_rank=5&RID=04XUDV7E016"",""XP_014774811.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1993,1993,95%,0.0,52.38,2209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264655.1?report=genbank&log$=prottop&blast_rank=6&RID=04XUDV7E016"",""CAH1264655.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1993,1993,95%,0.0,52.57,2226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264654.1?report=genbank&log$=prottop&blast_rank=7&RID=04XUDV7E016"",""CAH1264654.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1991,1991,93%,0.0,53.81,2221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264643.1?report=genbank&log$=prottop&blast_rank=8&RID=04XUDV7E016"",""CAH1264643.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1990,1990,93%,0.0,53.61,2204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264642.1?report=genbank&log$=prottop&blast_rank=9&RID=04XUDV7E016"",""CAH1264642.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1986,1986,92%,0.0,53.95,2130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264652.1?report=genbank&log$=prottop&blast_rank=10&RID=04XUDV7E016"",""CAH1264652.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1986,1986,92%,0.0,53.71,2169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264646.1?report=genbank&log$=prottop&blast_rank=11&RID=04XUDV7E016"",""CAH1264646.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like [Branchiostoma floridae],Branchiostoma floridae,1986,2062,84%,0.0,61.02,2477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676519.1?report=genbank&log$=prottop&blast_rank=12&RID=04XUDV7E016"",""XP_035676519.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1986,1986,94%,0.0,52.54,2130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264657.1?report=genbank&log$=prottop&blast_rank=13&RID=04XUDV7E016"",""CAH1264657.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1976,2047,81%,0.0,62.47,1959,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264648.1?report=genbank&log$=prottop&blast_rank=14&RID=04XUDV7E016"",""CAH1264648.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1974,2045,82%,0.0,61.69,2395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264644.1?report=genbank&log$=prottop&blast_rank=15&RID=04XUDV7E016"",""CAH1264644.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1971,2042,81%,0.0,62.38,2321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264651.1?report=genbank&log$=prottop&blast_rank=16&RID=04XUDV7E016"",""CAH1264651.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1964,2031,81%,0.0,62.32,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264650.1?report=genbank&log$=prottop&blast_rank=17&RID=04XUDV7E016"",""CAH1264650.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1963,2035,81%,0.0,62.01,1999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264647.1?report=genbank&log$=prottop&blast_rank=18&RID=04XUDV7E016"",""CAH1264647.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1962,2034,81%,0.0,61.99,2342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264649.1?report=genbank&log$=prottop&blast_rank=19&RID=04XUDV7E016"",""CAH1264649.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1950,2025,84%,0.0,60.87,2091,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264656.1?report=genbank&log$=prottop&blast_rank=20&RID=04XUDV7E016"",""CAH1264656.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1949,2020,82%,0.0,60.70,2447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264645.1?report=genbank&log$=prottop&blast_rank=21&RID=04XUDV7E016"",""CAH1264645.1"")"
voltage dependent calcium channel L-type [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1936,1998,90%,0.0,56.33,2212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001118235.1?report=genbank&log$=prottop&blast_rank=22&RID=04XUDV7E016"",""NP_001118235.1"")"
Voltage-dependent L-type calcium channel subunit alpha [Caenorhabditis elegans],Caenorhabditis elegans,1875,1875,75%,0.0,58.48,1783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_741442.1?report=genbank&log$=prottop&blast_rank=23&RID=04XUDV7E016"",""NP_741442.1"")"
Voltage-dependent L-type calcium channel subunit alpha [Caenorhabditis elegans],Caenorhabditis elegans,1875,1875,75%,0.0,58.48,1877,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001023079.1?report=genbank&log$=prottop&blast_rank=24&RID=04XUDV7E016"",""NP_001023079.1"")"
