Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
myocyte-specific enhancer factor 2A-like isoform X31 [Branchiostoma floridae],Branchiostoma floridae,245,245,99%,1e-72,42.54,543,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667896.1?report=genbank&log$=prottop&blast_rank=1&RID=6MTPF3NA016"",""XP_035667896.1"")"
myocyte-specific enhancer factor 2A-like isoform X30 [Branchiostoma floridae],Branchiostoma floridae,242,242,99%,2e-71,41.67,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667895.1?report=genbank&log$=prottop&blast_rank=2&RID=6MTPF3NA016"",""XP_035667895.1"")"
myocyte-specific enhancer factor 2A-like isoform X29 [Branchiostoma floridae],Branchiostoma floridae,239,239,99%,2e-70,41.13,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667894.1?report=genbank&log$=prottop&blast_rank=3&RID=6MTPF3NA016"",""XP_035667894.1"")"
myocyte-specific enhancer factor 2A-like isoform X28 [Branchiostoma floridae],Branchiostoma floridae,239,239,99%,4e-70,40.80,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667893.1?report=genbank&log$=prottop&blast_rank=4&RID=6MTPF3NA016"",""XP_035667893.1"")"
myocyte-specific enhancer factor 2A-like isoform X27 [Branchiostoma floridae],Branchiostoma floridae,238,238,99%,1e-69,40.83,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667892.1?report=genbank&log$=prottop&blast_rank=5&RID=6MTPF3NA016"",""XP_035667892.1"")"
myocyte-specific enhancer factor 2A-like isoform X26 [Branchiostoma floridae],Branchiostoma floridae,234,234,99%,3e-68,39.64,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667891.1?report=genbank&log$=prottop&blast_rank=6&RID=6MTPF3NA016"",""XP_035667891.1"")"
myocyte enhancer factor [Saccoglossus kowalevskii],Saccoglossus kowalevskii,223,309,92%,1e-64,64.92,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161589.1?report=genbank&log$=prottop&blast_rank=7&RID=6MTPF3NA016"",""NP_001161589.1"")"
myocyte-specific enhancer factor 2C isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,216,293,62%,3e-62,70.32,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030832332.1?report=genbank&log$=prottop&blast_rank=8&RID=6MTPF3NA016"",""XP_030832332.1"")"
PREDICTED: myocyte-specific enhancer factor 2C-like [Priapulus caudatus],Priapulus caudatus,204,204,27%,4e-62,76.56,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014667355.1?report=genbank&log$=prottop&blast_rank=9&RID=6MTPF3NA016"",""XP_014667355.1"")"
myocyte-specific enhancer factor 2A isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,216,293,62%,7e-62,70.32,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030832331.1?report=genbank&log$=prottop&blast_rank=10&RID=6MTPF3NA016"",""XP_030832331.1"")"
myocyte-specific enhancer factor 2A-like isoform X32 [Branchiostoma floridae],Branchiostoma floridae,212,308,85%,8e-60,66.46,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667897.1?report=genbank&log$=prottop&blast_rank=11&RID=6MTPF3NA016"",""XP_035667897.1"")"
myocyte-specific enhancer factor 2A-like isoform X23 [Branchiostoma floridae],Branchiostoma floridae,211,297,85%,2e-59,66.46,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667886.1?report=genbank&log$=prottop&blast_rank=12&RID=6MTPF3NA016"",""XP_035667886.1"")"
transcription factor protein isoform X1 [Ciona intestinalis],Ciona intestinalis,207,207,36%,2e-59,64.16,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026695753.1?report=genbank&log$=prottop&blast_rank=13&RID=6MTPF3NA016"",""XP_026695753.1"")"
transcription factor protein [Ciona intestinalis],Ciona intestinalis,207,207,36%,3e-59,64.16,439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071760.1?report=genbank&log$=prottop&blast_rank=14&RID=6MTPF3NA016"",""NP_001071760.1"")"
myocyte-specific enhancer factor 2A-like isoform X2 [Acropora millepora],Acropora millepora,207,207,32%,8e-59,64.97,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029186008.1?report=genbank&log$=prottop&blast_rank=15&RID=6MTPF3NA016"",""XP_029186008.1"")"
myocyte-specific enhancer factor 2A-like isoform X1 [Acropora millepora],Acropora millepora,207,207,32%,1e-58,64.56,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029186003.1?report=genbank&log$=prottop&blast_rank=16&RID=6MTPF3NA016"",""XP_029186003.1"")"
myocyte-specific enhancer factor 2C-like isoform X2 [Asterias rubens],Asterias rubens,206,276,61%,2e-58,67.10,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033633846.1?report=genbank&log$=prottop&blast_rank=17&RID=6MTPF3NA016"",""XP_033633846.1"")"
myocyte-specific enhancer factor 2C-like isoform X1 [Asterias rubens],Asterias rubens,206,276,61%,4e-58,67.10,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033633842.1?report=genbank&log$=prottop&blast_rank=18&RID=6MTPF3NA016"",""XP_033633842.1"")"
mef2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,204,300,85%,6e-57,61.88,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AWV91595.1?report=genbank&log$=prottop&blast_rank=19&RID=6MTPF3NA016"",""AWV91595.1"")"
MEF2A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,205,301,93%,8e-57,56.41,611,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254639.1?report=genbank&log$=prottop&blast_rank=20&RID=6MTPF3NA016"",""CAH1254639.1"")"
myocyte-specific enhancer factor 2A-like isoform X21 [Branchiostoma floridae],Branchiostoma floridae,204,300,85%,1e-56,60.77,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667884.1?report=genbank&log$=prottop&blast_rank=21&RID=6MTPF3NA016"",""XP_035667884.1"")"
myocyte-specific enhancer factor 2A-like isoform X15 [Branchiostoma floridae],Branchiostoma floridae,203,289,85%,2e-56,60.77,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667876.1?report=genbank&log$=prottop&blast_rank=22&RID=6MTPF3NA016"",""XP_035667876.1"")"
myocyte-specific enhancer factor 2C [Hydra vulgaris],Hydra vulgaris,197,197,27%,9e-56,70.00,408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047139600.1?report=genbank&log$=prottop&blast_rank=23&RID=6MTPF3NA016"",""XP_047139600.1"")"
CeMef-2 [Caenorhabditis elegans],Caenorhabditis elegans,184,184,22%,1e-51,84.62,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA79336.1?report=genbank&log$=prottop&blast_rank=24&RID=6MTPF3NA016"",""AAA79336.1"")"
MEF2 transcription factor homolog [Caenorhabditis elegans],Caenorhabditis elegans,184,184,22%,2e-51,84.62,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_492441.1?report=genbank&log$=prottop&blast_rank=25&RID=6MTPF3NA016"",""NP_492441.1"")"
myocyte-specific enhancer factor 2A-like isoform X10 [Branchiostoma floridae],Branchiostoma floridae,184,270,84%,2e-49,60.25,606,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667871.1?report=genbank&log$=prottop&blast_rank=26&RID=6MTPF3NA016"",""XP_035667871.1"")"
myocyte-specific enhancer factor 2A-like isoform X25 [Branchiostoma floridae],Branchiostoma floridae,177,264,93%,6e-47,51.08,571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667889.1?report=genbank&log$=prottop&blast_rank=27&RID=6MTPF3NA016"",""XP_035667889.1"")"
myocyte-specific enhancer factor 2A-like isoform X19 [Branchiostoma floridae],Branchiostoma floridae,177,264,93%,7e-47,51.08,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667882.1?report=genbank&log$=prottop&blast_rank=28&RID=6MTPF3NA016"",""XP_035667882.1"")"
myocyte-specific enhancer factor 2A-like isoform X24 [Branchiostoma floridae],Branchiostoma floridae,177,264,93%,7e-47,51.08,575,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035667888.1?report=genbank&log$=prottop&blast_rank=29&RID=6MTPF3NA016"",""XP_035667888.1"")"
