Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
eukaryotic elongation factor 2 kinase-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,600,600,88%,0.0,49.77,695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696189.1?report=genbank&log$=prottop&blast_rank=1&RID=04X3B3CG013"",""XP_035696189.1"")"
eukaryotic elongation factor 2 kinase-like isoform X2 [Asterias rubens],Asterias rubens,598,598,90%,0.0,47.83,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630158.1?report=genbank&log$=prottop&blast_rank=2&RID=04X3B3CG013"",""XP_033630158.1"")"
eukaryotic elongation factor 2 kinase-like isoform X4 [Asterias rubens],Asterias rubens,598,598,90%,0.0,47.30,677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630160.1?report=genbank&log$=prottop&blast_rank=3&RID=04X3B3CG013"",""XP_033630160.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,595,595,89%,0.0,49.33,713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274479.1?report=genbank&log$=prottop&blast_rank=4&RID=04X3B3CG013"",""CAH1274479.1"")"
eukaryotic elongation factor 2 kinase-like isoform X1 [Asterias rubens],Asterias rubens,595,595,90%,0.0,47.75,685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630155.1?report=genbank&log$=prottop&blast_rank=5&RID=04X3B3CG013"",""XP_033630155.1"")"
eukaryotic elongation factor 2 kinase-like isoform X3 [Asterias rubens],Asterias rubens,594,594,90%,0.0,47.23,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630159.1?report=genbank&log$=prottop&blast_rank=6&RID=04X3B3CG013"",""XP_033630159.1"")"
eukaryotic elongation factor 2 kinase-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,593,593,88%,0.0,48.58,709,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696188.1?report=genbank&log$=prottop&blast_rank=7&RID=04X3B3CG013"",""XP_035696188.1"")"
eukaryotic elongation factor 2 kinase-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,593,593,88%,0.0,49.85,730,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696185.1?report=genbank&log$=prottop&blast_rank=8&RID=04X3B3CG013"",""XP_035696185.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,591,591,89%,0.0,49.25,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274476.1?report=genbank&log$=prottop&blast_rank=9&RID=04X3B3CG013"",""CAH1274476.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,589,589,89%,0.0,49.03,727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274477.1?report=genbank&log$=prottop&blast_rank=10&RID=04X3B3CG013"",""CAH1274477.1"")"
eukaryotic elongation factor 2 kinase [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,587,587,97%,0.0,44.32,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030847722.1?report=genbank&log$=prottop&blast_rank=11&RID=04X3B3CG013"",""XP_030847722.1"")"
PREDICTED: eukaryotic elongation factor 2 kinase-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,587,587,88%,0.0,49.31,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006818441.1?report=genbank&log$=prottop&blast_rank=12&RID=04X3B3CG013"",""XP_006818441.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,584,584,89%,0.0,48.23,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274478.1?report=genbank&log$=prottop&blast_rank=13&RID=04X3B3CG013"",""CAH1274478.1"")"
eukaryotic elongation factor 2 kinase-like isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,583,583,94%,0.0,45.40,683,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030840250.1?report=genbank&log$=prottop&blast_rank=14&RID=04X3B3CG013"",""XP_030840250.1"")"
PREDICTED: eukaryotic elongation factor 2 kinase-like [Priapulus caudatus],Priapulus caudatus,573,573,87%,0.0,49.06,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671454.1?report=genbank&log$=prottop&blast_rank=15&RID=04X3B3CG013"",""XP_014671454.1"")"
eukaryotic elongation factor 2 kinase-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,571,571,88%,0.0,48.94,716,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696186.1?report=genbank&log$=prottop&blast_rank=16&RID=04X3B3CG013"",""XP_035696186.1"")"
PREDICTED: eukaryotic elongation factor 2 kinase-like [Octopus bimaculoides],Octopus bimaculoides,523,523,95%,4e-175,42.99,688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014779788.1?report=genbank&log$=prottop&blast_rank=17&RID=04X3B3CG013"",""XP_014779788.1"")"
eukaryotic elongation factor 2 kinase isoform X10 [Ciona intestinalis],Ciona intestinalis,504,504,87%,8e-167,45.33,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002124480.1?report=genbank&log$=prottop&blast_rank=18&RID=04X3B3CG013"",""XP_002124480.1"")"
eukaryotic elongation factor 2 kinase isoform X7 [Ciona intestinalis],Ciona intestinalis,503,503,87%,2e-166,45.33,756,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694352.1?report=genbank&log$=prottop&blast_rank=19&RID=04X3B3CG013"",""XP_026694352.1"")"
eukaryotic elongation factor 2 kinase-like isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,494,494,78%,1e-165,46.09,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030840252.1?report=genbank&log$=prottop&blast_rank=20&RID=04X3B3CG013"",""XP_030840252.1"")"
eukaryotic elongation factor 2 kinase isoform X8 [Ciona intestinalis],Ciona intestinalis,497,497,87%,7e-164,44.53,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671239.1?report=genbank&log$=prottop&blast_rank=21&RID=04X3B3CG013"",""XP_018671239.1"")"
eukaryotic elongation factor 2 kinase isoform X9 [Ciona intestinalis],Ciona intestinalis,496,496,87%,7e-164,44.53,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671240.1?report=genbank&log$=prottop&blast_rank=22&RID=04X3B3CG013"",""XP_018671240.1"")"
eukaryotic elongation factor 2 kinase isoform X6 [Ciona intestinalis],Ciona intestinalis,496,496,87%,2e-163,44.53,758,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671238.1?report=genbank&log$=prottop&blast_rank=23&RID=04X3B3CG013"",""XP_018671238.1"")"
eukaryotic elongation factor 2 kinase isoform X5 [Ciona intestinalis],Ciona intestinalis,496,496,87%,2e-163,44.53,758,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009861448.1?report=genbank&log$=prottop&blast_rank=24&RID=04X3B3CG013"",""XP_009861448.1"")"
eukaryotic elongation factor 2 kinase isoform X4 [Ciona intestinalis],Ciona intestinalis,496,496,87%,2e-163,44.00,763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694351.1?report=genbank&log$=prottop&blast_rank=25&RID=04X3B3CG013"",""XP_026694351.1"")"
eukaryotic elongation factor 2 kinase isoform X3 [Ciona intestinalis],Ciona intestinalis,496,496,87%,3e-163,44.00,763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694350.1?report=genbank&log$=prottop&blast_rank=26&RID=04X3B3CG013"",""XP_026694350.1"")"
eukaryotic elongation factor 2 kinase isoform X2 [Ciona intestinalis],Ciona intestinalis,495,495,87%,6e-163,44.53,778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671237.1?report=genbank&log$=prottop&blast_rank=27&RID=04X3B3CG013"",""XP_018671237.1"")"
eukaryotic elongation factor 2 kinase isoform X1 [Ciona intestinalis],Ciona intestinalis,495,495,87%,6e-163,44.53,778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694349.1?report=genbank&log$=prottop&blast_rank=28&RID=04X3B3CG013"",""XP_026694349.1"")"
EEF2K [Branchiostoma lanceolatum],Branchiostoma lanceolatum,465,465,70%,1e-153,49.90,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1274480.1?report=genbank&log$=prottop&blast_rank=29&RID=04X3B3CG013"",""CAH1274480.1"")"
Eukaryotic elongation factor 2 kinase [Caenorhabditis elegans],Caenorhabditis elegans,447,447,88%,1e-144,40.20,760,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001022573.1?report=genbank&log$=prottop&blast_rank=30&RID=04X3B3CG013"",""NP_001022573.1"")"
Eukaryotic elongation factor 2 kinase [Caenorhabditis elegans],Caenorhabditis elegans,444,444,88%,4e-143,39.78,768,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001022572.1?report=genbank&log$=prottop&blast_rank=31&RID=04X3B3CG013"",""NP_001022572.1"")"
eukaryotic elongation factor 2 kinase-like isoform X2 [Acropora millepora],Acropora millepora,402,596,79%,7e-128,55.03,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176086.1?report=genbank&log$=prottop&blast_rank=32&RID=04X3B3CG013"",""XP_044176086.1"")"
eukaryotic elongation factor 2 kinase-like isoform X1 [Acropora millepora],Acropora millepora,401,595,79%,1e-127,55.03,695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176085.1?report=genbank&log$=prottop&blast_rank=33&RID=04X3B3CG013"",""XP_044176085.1"")"
eukaryotic elongation factor 2 kinase-like isoform X3 [Acropora millepora],Acropora millepora,340,533,62%,6e-106,68.12,543,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176087.1?report=genbank&log$=prottop&blast_rank=34&RID=04X3B3CG013"",""XP_044176087.1"")"
PREDICTED: eukaryotic elongation factor 2 kinase-like [Hydra vulgaris],Hydra vulgaris,321,459,66%,1e-97,55.43,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002162308.1?report=genbank&log$=prottop&blast_rank=35&RID=04X3B3CG013"",""XP_002162308.1"")"
PREDICTED: eukaryotic elongation factor 2 kinase-like [Amphimedon queenslandica],Amphimedon queenslandica,298,448,66%,1e-89,56.13,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003385502.1?report=genbank&log$=prottop&blast_rank=36&RID=04X3B3CG013"",""XP_003385502.1"")"
hypothetical protein DDB_G0292150 [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,210,210,30%,3e-54,46.88,1352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_629868.1?report=genbank&log$=prottop&blast_rank=37&RID=04X3B3CG013"",""XP_629868.1"")"
myosin heavy chain kinase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,204,204,31%,2e-53,45.26,732,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_636368.1?report=genbank&log$=prottop&blast_rank=38&RID=04X3B3CG013"",""XP_636368.1"")"
