Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ryanodine receptor 3 [Ciona intestinalis],Ciona intestinalis,3349,5079,99%,0.0,48.98,5002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669433.1?report=genbank&log$=prottop&blast_rank=1&RID=04RDAXXE016"",""XP_018669433.1"")"
PREDICTED: LOW QUALITY PROTEIN: ryanodine receptor 2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,3126,4871,99%,0.0,46.83,5145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735182.2?report=genbank&log$=prottop&blast_rank=2&RID=04RDAXXE016"",""XP_002735182.2"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2652,4346,87%,0.0,47.19,4909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263970.1?report=genbank&log$=prottop&blast_rank=3&RID=04RDAXXE016"",""CAH1263970.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2635,4329,87%,0.0,46.99,4920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263969.1?report=genbank&log$=prottop&blast_rank=4&RID=04RDAXXE016"",""CAH1263969.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2633,4317,87%,0.0,47.02,4943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263967.1?report=genbank&log$=prottop&blast_rank=5&RID=04RDAXXE016"",""CAH1263967.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2630,4318,87%,0.0,46.87,4932,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263968.1?report=genbank&log$=prottop&blast_rank=6&RID=04RDAXXE016"",""CAH1263968.1"")"
ryanodine receptor 3-like [Branchiostoma floridae],Branchiostoma floridae,2625,4294,86%,0.0,47.64,4992,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681467.1?report=genbank&log$=prottop&blast_rank=7&RID=04RDAXXE016"",""XP_035681467.1"")"
RYR2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,2620,4312,87%,0.0,46.28,4975,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263966.1?report=genbank&log$=prottop&blast_rank=8&RID=04RDAXXE016"",""CAH1263966.1"")"
PREDICTED: ryanodine receptor-like isoform X15 [Octopus bimaculoides],Octopus bimaculoides,2593,4953,96%,0.0,45.95,5206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787752.1?report=genbank&log$=prottop&blast_rank=9&RID=04RDAXXE016"",""XP_014787752.1"")"
PREDICTED: ryanodine receptor-like isoform X14 [Octopus bimaculoides],Octopus bimaculoides,2590,4952,96%,0.0,45.88,5213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787751.1?report=genbank&log$=prottop&blast_rank=10&RID=04RDAXXE016"",""XP_014787751.1"")"
