Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: cAMP-dependent protein kinase catalytic subunit beta-like isoform X2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,628,628,84%,0.0,86.94,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823377.1?report=genbank&log$=prottop&blast_rank=1&RID=0CPYN10A01R"",""XP_006823377.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit beta-like isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,627,627,84%,0.0,87.46,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823376.1?report=genbank&log$=prottop&blast_rank=2&RID=0CPYN10A01R"",""XP_006823376.1"")"
cAMP-dependent protein kinase [Branchiostoma floridae],Branchiostoma floridae,622,622,84%,0.0,86.05,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QLM02919.1?report=genbank&log$=prottop&blast_rank=3&RID=0CPYN10A01R"",""QLM02919.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit beta isoform X4 [Priapulus caudatus],Priapulus caudatus,622,622,84%,0.0,86.65,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671348.1?report=genbank&log$=prottop&blast_rank=4&RID=0CPYN10A01R"",""XP_014671348.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X2 [Priapulus caudatus],Priapulus caudatus,621,621,88%,0.0,83.33,417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671346.1?report=genbank&log$=prottop&blast_rank=5&RID=0CPYN10A01R"",""XP_014671346.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X6 [Octopus bimaculoides],Octopus bimaculoides,612,612,84%,0.0,85.16,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777152.1?report=genbank&log$=prottop&blast_rank=6&RID=0CPYN10A01R"",""XP_014777152.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X3 [Octopus bimaculoides],Octopus bimaculoides,612,612,84%,0.0,85.12,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777149.1?report=genbank&log$=prottop&blast_rank=7&RID=0CPYN10A01R"",""XP_014777149.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,611,611,84%,0.0,83.68,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_493605.1?report=genbank&log$=prottop&blast_rank=8&RID=0CPYN10A01R"",""NP_493605.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X7 [Octopus bimaculoides],Octopus bimaculoides,611,611,84%,0.0,84.87,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777153.1?report=genbank&log$=prottop&blast_rank=9&RID=0CPYN10A01R"",""XP_014777153.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,610,610,87%,0.0,80.86,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740954.1?report=genbank&log$=prottop&blast_rank=10&RID=0CPYN10A01R"",""NP_740954.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,610,610,84%,0.0,83.38,370,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740958.1?report=genbank&log$=prottop&blast_rank=11&RID=0CPYN10A01R"",""NP_740958.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,609,609,87%,0.0,81.66,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740960.1?report=genbank&log$=prottop&blast_rank=12&RID=0CPYN10A01R"",""NP_740960.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,608,608,84%,0.0,83.88,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740962.1?report=genbank&log$=prottop&blast_rank=13&RID=0CPYN10A01R"",""NP_740962.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X4 [Octopus bimaculoides],Octopus bimaculoides,608,608,84%,0.0,84.52,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777150.1?report=genbank&log$=prottop&blast_rank=14&RID=0CPYN10A01R"",""XP_014777150.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit alpha isoform X8 [Octopus bimaculoides],Octopus bimaculoides,608,608,84%,0.0,84.27,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777154.1?report=genbank&log$=prottop&blast_rank=15&RID=0CPYN10A01R"",""XP_014777154.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,608,608,84%,0.0,83.63,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740956.1?report=genbank&log$=prottop&blast_rank=16&RID=0CPYN10A01R"",""NP_740956.1"")"
cAMP-dependent protein kinase catalytic subunit alpha isoform X4 [Ciona intestinalis],Ciona intestinalis,607,607,84%,0.0,84.52,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691245.1?report=genbank&log$=prottop&blast_rank=17&RID=0CPYN10A01R"",""XP_026691245.1"")"
PRKACA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,605,605,84%,0.0,80.33,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244002.1?report=genbank&log$=prottop&blast_rank=18&RID=0CPYN10A01R"",""CAH1244002.1"")"
cAMP-dependent protein kinase catalytic subunit alpha isoform X3 [Ciona intestinalis],Ciona intestinalis,605,605,84%,0.0,84.27,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009859326.1?report=genbank&log$=prottop&blast_rank=19&RID=0CPYN10A01R"",""XP_009859326.1"")"
cAMP-dependent protein kinase catalytic subunit alpha-like isoform X2 [Asterias rubens],Asterias rubens,604,604,85%,0.0,82.60,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637041.1?report=genbank&log$=prottop&blast_rank=20&RID=0CPYN10A01R"",""XP_033637041.1"")"
cAMP-dependent protein kinase catalytic subunit alpha isoform X1 [Ciona intestinalis],Ciona intestinalis,604,604,84%,0.0,84.23,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129043.2?report=genbank&log$=prottop&blast_rank=21&RID=0CPYN10A01R"",""XP_002129043.2"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X1 [Octopus bimaculoides],Octopus bimaculoides,603,603,84%,0.0,82.00,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777146.1?report=genbank&log$=prottop&blast_rank=22&RID=0CPYN10A01R"",""XP_014777146.1"")"
