Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
CAMKK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,509,509,77%,1e-172,60.05,639,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1233584.1?report=genbank&log$=prottop&blast_rank=1&RID=0816Z9XC013"",""CAH1233584.1"")"
calcium/calmodulin-dependent protein kinase kinase 2-like [Branchiostoma floridae],Branchiostoma floridae,505,505,76%,2e-171,59.72,619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035665746.1?report=genbank&log$=prottop&blast_rank=2&RID=0816Z9XC013"",""XP_035665746.1"")"
calcium/calmodulin-dependent protein kinase kinase 1-like isoform X2 [Asterias rubens],Asterias rubens,504,504,73%,4e-171,61.35,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033627436.1?report=genbank&log$=prottop&blast_rank=3&RID=0816Z9XC013"",""XP_033627436.1"")"
calcium/calmodulin-dependent protein kinase kinase 1-like isoform X1 [Asterias rubens],Asterias rubens,505,505,71%,9e-171,62.13,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033627429.1?report=genbank&log$=prottop&blast_rank=4&RID=0816Z9XC013"",""XP_033627429.1"")"
calcium/calmodulin-dependent protein kinase kinase 1 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,496,496,72%,5e-167,60.49,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030847475.1?report=genbank&log$=prottop&blast_rank=5&RID=0816Z9XC013"",""XP_030847475.1"")"
calcium/calmodulin-dependent protein kinase kinase 1 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,495,495,72%,1e-165,60.49,739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030847474.1?report=genbank&log$=prottop&blast_rank=6&RID=0816Z9XC013"",""XP_030847474.1"")"
PREDICTED: calcium/calmodulin-dependent protein kinase kinase 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,491,491,68%,1e-164,62.08,710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006813514.1?report=genbank&log$=prottop&blast_rank=7&RID=0816Z9XC013"",""XP_006813514.1"")"
calcium/calmodulin-dependent protein kinase kinase 2 isoform X1 [Ciona intestinalis],Ciona intestinalis,442,442,68%,4e-149,55.99,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002120749.1?report=genbank&log$=prottop&blast_rank=8&RID=0816Z9XC013"",""XP_002120749.1"")"
calcium/calmodulin-dependent protein kinase kinase 1 isoform X2 [Ciona intestinalis],Ciona intestinalis,434,434,62%,3e-147,58.86,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026694726.1?report=genbank&log$=prottop&blast_rank=9&RID=0816Z9XC013"",""XP_026694726.1"")"
calcium/calmodulin-dependent protein kinase kinase 1 isoform X3 [Ciona intestinalis],Ciona intestinalis,432,432,62%,8e-147,59.08,348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002120900.1?report=genbank&log$=prottop&blast_rank=10&RID=0816Z9XC013"",""XP_002120900.1"")"
