Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
nuclear factor of activated T cells [Branchiostoma floridae],Branchiostoma floridae,243,243,34%,2e-67,42.81,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFR43659.1?report=genbank&log$=prottop&blast_rank=1&RID=080J5YXX016"",""AFR43659.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,245,245,34%,8e-67,42.68,727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269619.1?report=genbank&log$=prottop&blast_rank=2&RID=080J5YXX016"",""CAH1269619.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,245,245,34%,1e-66,42.68,734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269620.1?report=genbank&log$=prottop&blast_rank=3&RID=080J5YXX016"",""CAH1269620.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,244,244,34%,1e-66,42.68,747,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269622.1?report=genbank&log$=prottop&blast_rank=4&RID=080J5YXX016"",""CAH1269622.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,245,245,34%,1e-66,42.68,760,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269618.1?report=genbank&log$=prottop&blast_rank=5&RID=080J5YXX016"",""CAH1269618.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,243,243,34%,4e-66,42.68,720,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269621.1?report=genbank&log$=prottop&blast_rank=6&RID=080J5YXX016"",""CAH1269621.1"")"
PREDICTED: nuclear factor of activated T-cells-like isoform X2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,213,213,31%,2e-57,38.89,514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006821179.1?report=genbank&log$=prottop&blast_rank=7&RID=080J5YXX016"",""XP_006821179.1"")"
PREDICTED: nuclear factor of activated T-cells 5-like [Octopus bimaculoides],Octopus bimaculoides,221,221,31%,2e-57,44.33,890,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014781103.1?report=genbank&log$=prottop&blast_rank=8&RID=080J5YXX016"",""XP_014781103.1"")"
nuclear factor of activated T-cells-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,214,214,31%,4e-57,38.89,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001158472.1?report=genbank&log$=prottop&blast_rank=9&RID=080J5YXX016"",""NP_001158472.1"")"
PREDICTED: nuclear factor of activated T-cells-like isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,214,214,31%,4e-57,38.89,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006821178.1?report=genbank&log$=prottop&blast_rank=10&RID=080J5YXX016"",""XP_006821178.1"")"
PREDICTED: nuclear factor of activated T-cells 5-like [Priapulus caudatus],Priapulus caudatus,205,205,30%,8e-54,40.91,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014679270.1?report=genbank&log$=prottop&blast_rank=11&RID=080J5YXX016"",""XP_014679270.1"")"
