Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
calcineurin subunit B type 1b [Danio rerio],Danio rerio,343,343,100%,1e-121,100.00,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001004553.1?report=genbank&log$=prottop&blast_rank=1&RID=0Z0EYBMT01R"",""NP_001004553.1"")"
calcineurin subunit B type 1 [Danio rerio],Danio rerio,340,340,100%,8e-121,99.41,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001314701.1?report=genbank&log$=prottop&blast_rank=2&RID=0Z0EYBMT01R"",""NP_001314701.1"")"
calcineurin subunit B type 1 [Petromyzon marinus],Petromyzon marinus,333,333,100%,4e-118,96.47,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032804187.1?report=genbank&log$=prottop&blast_rank=3&RID=0Z0EYBMT01R"",""XP_032804187.1"")"
calcineurin subunit B type 1-like [Petromyzon marinus],Petromyzon marinus,329,329,100%,2e-116,94.71,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032821012.1?report=genbank&log$=prottop&blast_rank=4&RID=0Z0EYBMT01R"",""XP_032821012.1"")"
calcineurin subunit B type 1-like [Petromyzon marinus],Petromyzon marinus,322,322,100%,2e-113,91.18,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032830287.1?report=genbank&log$=prottop&blast_rank=5&RID=0Z0EYBMT01R"",""XP_032830287.1"")"
calcineurin subunit B type 1 isoform X1 [Carcharodon carcharias],Carcharodon carcharias,310,310,93%,1e-108,97.48,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041070678.1?report=genbank&log$=prottop&blast_rank=6&RID=0Z0EYBMT01R"",""XP_041070678.1"")"
"protein phosphatase 3 (formerly 2B), regulatory s1ubunit B, alpha isoform, b isoform X1 [Danio rerio]",Danio rerio,309,309,91%,2e-108,100.00,166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005160183.1?report=genbank&log$=prottop&blast_rank=7&RID=0Z0EYBMT01R"",""XP_005160183.1"")"
calcineurin subunit B type 1 isoform X1 [Danio rerio],Danio rerio,308,308,92%,6e-108,98.73,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009305321.1?report=genbank&log$=prottop&blast_rank=8&RID=0Z0EYBMT01R"",""XP_009305321.1"")"
hypothetical protein XENTR_v10013486 [Xenopus tropicalis],Xenopus tropicalis,241,241,100%,3e-82,75.88,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8600979.1?report=genbank&log$=prottop&blast_rank=9&RID=0Z0EYBMT01R"",""KAE8600979.1"")"
calcineurin subunit B type 1-like [Petromyzon marinus],Petromyzon marinus,223,223,89%,2e-74,65.79,164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032818703.1?report=genbank&log$=prottop&blast_rank=10&RID=0Z0EYBMT01R"",""XP_032818703.1"")"
