Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 isoform X1 [Xenopus tropicalis]",Xenopus tropicalis,1601,1601,96%,0.0,67.39,1210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002940270.2?report=genbank&log$=prottop&blast_rank=1&RID=0YYKZF8J016"",""XP_002940270.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 isoform X2 [Xenopus tropicalis]",Xenopus tropicalis,1547,1547,93%,0.0,67.01,1198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031756505.1?report=genbank&log$=prottop&blast_rank=2&RID=0YYKZF8J016"",""XP_031756505.1"")"
hypothetical protein XENTR_v10011184 [Xenopus tropicalis],Xenopus tropicalis,1534,1534,91%,0.0,67.87,1133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8607431.1?report=genbank&log$=prottop&blast_rank=3&RID=0YYKZF8J016"",""KAE8607431.1"")"
hypothetical protein XENTR_v10011184 [Xenopus tropicalis],Xenopus tropicalis,1530,1530,92%,0.0,67.07,1163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8607430.1?report=genbank&log$=prottop&blast_rank=4&RID=0YYKZF8J016"",""KAE8607430.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 [Danio rerio]",Danio rerio,1401,1401,97%,0.0,58.21,1244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001116245.1?report=genbank&log$=prottop&blast_rank=5&RID=0YYKZF8J016"",""NP_001116245.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 isoform X1 [Danio rerio]",Danio rerio,1397,1397,97%,0.0,58.13,1245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005166590.1?report=genbank&log$=prottop&blast_rank=6&RID=0YYKZF8J016"",""XP_005166590.1"")"
hypothetical protein XENTR_v10011184 [Xenopus tropicalis],Xenopus tropicalis,1321,1321,82%,0.0,65.79,1071,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8607432.1?report=genbank&log$=prottop&blast_rank=7&RID=0YYKZF8J016"",""KAE8607432.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X1 [Carcharodon carcharias]",Carcharodon carcharias,1310,1310,96%,0.0,55.48,1260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041067920.1?report=genbank&log$=prottop&blast_rank=8&RID=0YYKZF8J016"",""XP_041067920.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X2 [Carcharodon carcharias]",Carcharodon carcharias,1299,1299,95%,0.0,55.22,1201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041067931.1?report=genbank&log$=prottop&blast_rank=9&RID=0YYKZF8J016"",""XP_041067931.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X1 [Gallus gallus]",Gallus gallus,1288,1288,98%,0.0,53.84,1219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005026.1?report=genbank&log$=prottop&blast_rank=10&RID=0YYKZF8J016"",""XP_025005026.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X8 [Gallus gallus]",Gallus gallus,1283,1283,98%,0.0,53.76,1217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040523959.1?report=genbank&log$=prottop&blast_rank=11&RID=0YYKZF8J016"",""XP_040523959.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X4 [Gallus gallus]",Gallus gallus,1273,1273,95%,0.0,54.41,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040523962.1?report=genbank&log$=prottop&blast_rank=12&RID=0YYKZF8J016"",""XP_040523962.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X5 [Gallus gallus]",Gallus gallus,1273,1273,94%,0.0,54.77,1155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005029.1?report=genbank&log$=prottop&blast_rank=13&RID=0YYKZF8J016"",""XP_025005029.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X2 [Gallus gallus]",Gallus gallus,1269,1269,94%,0.0,54.52,1191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040523960.1?report=genbank&log$=prottop&blast_rank=14&RID=0YYKZF8J016"",""XP_040523960.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 [Xenopus tropicalis]",Xenopus tropicalis,1237,1237,99%,0.0,52.37,1225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001072932.2?report=genbank&log$=prottop&blast_rank=15&RID=0YYKZF8J016"",""NP_001072932.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X1 [Xenopus tropicalis]",Xenopus tropicalis,1232,1232,99%,0.0,52.29,1223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031757687.1?report=genbank&log$=prottop&blast_rank=16&RID=0YYKZF8J016"",""XP_031757687.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X3 [Gallus gallus]",Gallus gallus,1214,1214,94%,0.0,53.69,1183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040523961.1?report=genbank&log$=prottop&blast_rank=17&RID=0YYKZF8J016"",""XP_040523961.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X3 [Petromyzon marinus]",Petromyzon marinus,1203,1203,96%,0.0,51.94,1229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032811636.1?report=genbank&log$=prottop&blast_rank=18&RID=0YYKZF8J016"",""XP_032811636.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X4 [Petromyzon marinus]",Petromyzon marinus,1203,1203,96%,0.0,52.10,1226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032811637.1?report=genbank&log$=prottop&blast_rank=19&RID=0YYKZF8J016"",""XP_032811637.1"")"
