Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cAMP-dependent protein kinase catalytic subunit beta isoform X1 [Xenopus tropicalis],Xenopus tropicalis,738,738,100%,0.0,88.69,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031755570.1?report=genbank&log$=prottop&blast_rank=1&RID=0ZBDWVTJ013"",""XP_031755570.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X2 [Gallus gallus],Gallus gallus,711,711,99%,0.0,86.43,584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025008716.1?report=genbank&log$=prottop&blast_rank=2&RID=0ZBDWVTJ013"",""XP_025008716.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X2 [Gallus gallus],Gallus gallus,711,711,99%,0.0,86.43,584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040533370.1?report=genbank&log$=prottop&blast_rank=3&RID=0ZBDWVTJ013"",""XP_040533370.1"")"
"protein kinase, cAMP-dependent, catalytic, beta a isoform X1 [Carcharodon carcharias]",Carcharodon carcharias,709,709,96%,0.0,88.02,403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041063957.1?report=genbank&log$=prottop&blast_rank=4&RID=0ZBDWVTJ013"",""XP_041063957.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X1 [Gallus gallus],Gallus gallus,704,704,99%,0.0,85.54,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040533369.1?report=genbank&log$=prottop&blast_rank=5&RID=0ZBDWVTJ013"",""XP_040533369.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X1 [Gallus gallus],Gallus gallus,704,704,99%,0.0,85.54,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025008715.1?report=genbank&log$=prottop&blast_rank=6&RID=0ZBDWVTJ013"",""XP_025008715.1"")"
cAMP-dependent protein kinase catalytic subunit alpha isoform X1 [Xenopus tropicalis],Xenopus tropicalis,672,672,95%,0.0,84.55,383,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012808518.1?report=genbank&log$=prottop&blast_rank=7&RID=0ZBDWVTJ013"",""XP_012808518.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X3 [Gallus gallus],Gallus gallus,670,670,86%,0.0,92.46,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040533371.1?report=genbank&log$=prottop&blast_rank=8&RID=0ZBDWVTJ013"",""XP_040533371.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X5 [Gallus gallus],Gallus gallus,670,670,84%,0.0,94.07,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015146372.1?report=genbank&log$=prottop&blast_rank=9&RID=0ZBDWVTJ013"",""XP_015146372.1"")"
"protein kinase, cAMP-dependent, catalytic, beta a isoform X3 [Carcharodon carcharias]",Carcharodon carcharias,669,669,84%,0.0,94.36,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041063959.1?report=genbank&log$=prottop&blast_rank=10&RID=0ZBDWVTJ013"",""XP_041063959.1"")"
"protein kinase, cAMP-dependent, catalytic, beta a isoform X4 [Carcharodon carcharias]",Carcharodon carcharias,669,669,84%,0.0,94.36,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041063960.1?report=genbank&log$=prottop&blast_rank=11&RID=0ZBDWVTJ013"",""XP_041063960.1"")"
"protein kinase, cAMP-dependent, catalytic, beta a isoform X2 [Carcharodon carcharias]",Carcharodon carcharias,669,669,84%,0.0,94.35,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041063958.1?report=genbank&log$=prottop&blast_rank=12&RID=0ZBDWVTJ013"",""XP_041063958.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X4 [Gallus gallus],Gallus gallus,667,667,84%,0.0,94.05,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015146370.1?report=genbank&log$=prottop&blast_rank=13&RID=0ZBDWVTJ013"",""XP_015146370.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X9 [Gallus gallus],Gallus gallus,667,667,84%,0.0,93.77,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015146375.1?report=genbank&log$=prottop&blast_rank=14&RID=0ZBDWVTJ013"",""XP_015146375.1"")"
cAMP-dependent protein kinase catalytic subunit beta isoform X7 [Gallus gallus],Gallus gallus,667,667,85%,0.0,92.98,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015146373.1?report=genbank&log$=prottop&blast_rank=15&RID=0ZBDWVTJ013"",""XP_015146373.1"")"
