Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
GTPase HRas [Branchiostoma floridae],Branchiostoma floridae,290,290,100%,7e-99,79.69,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696597.1?report=genbank&log$=prottop&blast_rank=1&RID=6J5AVZ7901R"",""XP_035696597.1"")"
NRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,289,289,100%,1e-98,79.69,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240573.1?report=genbank&log$=prottop&blast_rank=2&RID=6J5AVZ7901R"",""CAH1240573.1"")"
GTPase HRas-like [Branchiostoma floridae],Branchiostoma floridae,287,287,88%,9e-98,86.23,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672300.1?report=genbank&log$=prottop&blast_rank=3&RID=6J5AVZ7901R"",""XP_035672300.1"")"
KRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,286,286,88%,2e-97,86.23,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1258932.1?report=genbank&log$=prottop&blast_rank=4&RID=6J5AVZ7901R"",""CAH1258932.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,285,285,87%,6e-97,89.09,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848609.1?report=genbank&log$=prottop&blast_rank=5&RID=6J5AVZ7901R"",""XP_030848609.1"")"
RAS protein [Branchiostoma lanceolatum],Branchiostoma lanceolatum,285,285,94%,8e-97,83.71,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABU49827.1?report=genbank&log$=prottop&blast_rank=6&RID=6J5AVZ7901R"",""ABU49827.1"")"
GTPase HRas [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,284,284,87%,1e-96,89.09,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030848582.1?report=genbank&log$=prottop&blast_rank=7&RID=6J5AVZ7901R"",""XP_030848582.1"")"
NRAS [Branchiostoma lanceolatum],Branchiostoma lanceolatum,284,284,100%,2e-96,78.46,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240574.1?report=genbank&log$=prottop&blast_rank=8&RID=6J5AVZ7901R"",""CAH1240574.1"")"
LOW QUALITY PROTEIN: GTPase HRas [Acropora millepora],Acropora millepora,275,275,87%,5e-93,86.67,183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029181346.1?report=genbank&log$=prottop&blast_rank=9&RID=6J5AVZ7901R"",""XP_029181346.1"")"
ras protein [Caenorhabditis elegans],Caenorhabditis elegans,268,268,100%,3e-90,75.13,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAA28103.1?report=genbank&log$=prottop&blast_rank=10&RID=6J5AVZ7901R"",""AAA28103.1"")"
Ras protein let-60 [Caenorhabditis elegans],Caenorhabditis elegans,268,268,100%,3e-90,75.13,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_502213.3?report=genbank&log$=prottop&blast_rank=11&RID=6J5AVZ7901R"",""NP_502213.3"")"
GTPase HRas isoform X1 [Asterias rubens],Asterias rubens,267,267,100%,1e-89,74.60,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638626.1?report=genbank&log$=prottop&blast_rank=12&RID=6J5AVZ7901R"",""XP_033638626.1"")"
PREDICTED: GTPase KRas-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,265,265,86%,3e-89,79.14,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002736858.1?report=genbank&log$=prottop&blast_rank=13&RID=6J5AVZ7901R"",""XP_002736858.1"")"
PREDICTED: GTPase HRas [Amphimedon queenslandica],Amphimedon queenslandica,259,259,88%,1e-86,80.95,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003384227.1?report=genbank&log$=prottop&blast_rank=14&RID=6J5AVZ7901R"",""XP_003384227.1"")"
Ras GTPase [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,239,239,87%,8e-79,74.10,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_629133.1?report=genbank&log$=prottop&blast_rank=15&RID=6J5AVZ7901R"",""XP_629133.1"")"
PREDICTED: ras-like protein [Priapulus caudatus],Priapulus caudatus,236,236,68%,3e-77,85.38,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014672039.1?report=genbank&log$=prottop&blast_rank=16&RID=6J5AVZ7901R"",""XP_014672039.1"")"
ras protein [Salpingoeca rosetta],Salpingoeca rosetta,235,235,88%,3e-77,72.62,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993374.1?report=genbank&log$=prottop&blast_rank=17&RID=6J5AVZ7901R"",""XP_004993374.1"")"
