Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
CACNA2D2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,650,650,81%,0.0,39.45,977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265661.1?report=genbank&log$=prottop&blast_rank=1&RID=056SPVWF013"",""CAH1265661.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X5 [Asterias rubens],Asterias rubens,595,595,95%,0.0,33.83,1107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647996.1?report=genbank&log$=prottop&blast_rank=2&RID=056SPVWF013"",""XP_033647996.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X4 [Asterias rubens],Asterias rubens,595,595,95%,0.0,33.95,1109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647995.1?report=genbank&log$=prottop&blast_rank=3&RID=056SPVWF013"",""XP_033647995.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X6 [Asterias rubens],Asterias rubens,590,590,95%,0.0,33.74,1100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647997.1?report=genbank&log$=prottop&blast_rank=4&RID=056SPVWF013"",""XP_033647997.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X1 [Asterias rubens],Asterias rubens,588,588,95%,0.0,33.71,1117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647991.1?report=genbank&log$=prottop&blast_rank=5&RID=056SPVWF013"",""XP_033647991.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,585,585,95%,0.0,34.02,1093,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828838.1?report=genbank&log$=prottop&blast_rank=6&RID=056SPVWF013"",""XP_030828838.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X3 [Asterias rubens],Asterias rubens,583,583,95%,0.0,33.62,1110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647994.1?report=genbank&log$=prottop&blast_rank=7&RID=056SPVWF013"",""XP_033647994.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1-like [Branchiostoma floridae],Branchiostoma floridae,578,578,71%,0.0,39.61,879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035677175.1?report=genbank&log$=prottop&blast_rank=8&RID=056SPVWF013"",""XP_035677175.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,578,578,95%,0.0,33.90,1103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828835.1?report=genbank&log$=prottop&blast_rank=9&RID=056SPVWF013"",""XP_030828835.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X6 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,577,577,95%,0.0,33.78,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828837.1?report=genbank&log$=prottop&blast_rank=10&RID=056SPVWF013"",""XP_030828837.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X2 [Asterias rubens],Asterias rubens,576,576,95%,0.0,33.33,1115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647992.1?report=genbank&log$=prottop&blast_rank=11&RID=056SPVWF013"",""XP_033647992.1"")"
