Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent calcium channel gamma-3 subunit-like [Branchiostoma floridae],Branchiostoma floridae,135,135,88%,7e-34,30.90,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696291.1?report=genbank&log$=prottop&blast_rank=1&RID=057UYZYM013"",""XP_035696291.1"")"
CACNG3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,132,132,88%,1e-32,30.80,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273584.1?report=genbank&log$=prottop&blast_rank=2&RID=057UYZYM013"",""CAH1273584.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,127,127,70%,2e-32,33.48,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816113.1?report=genbank&log$=prottop&blast_rank=3&RID=057UYZYM013"",""XP_006816113.1"")"
transmembrane GluA regulatory protein [Ciona intestinalis],Ciona intestinalis,132,132,59%,6e-32,35.03,753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAV92798.1?report=genbank&log$=prottop&blast_rank=4&RID=057UYZYM013"",""BAV92798.1"")"
uncharacterized protein LOC113474605 [Ciona intestinalis],Ciona intestinalis,121,121,59%,5e-28,33.17,755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026692152.1?report=genbank&log$=prottop&blast_rank=5&RID=057UYZYM013"",""XP_026692152.1"")"
voltage-dependent calcium channel gamma-5 subunit-like [Branchiostoma floridae],Branchiostoma floridae,115,115,69%,4e-27,31.17,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696133.1?report=genbank&log$=prottop&blast_rank=6&RID=057UYZYM013"",""XP_035696133.1"")"
CACNG5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,114,114,65%,1e-26,30.56,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273586.1?report=genbank&log$=prottop&blast_rank=7&RID=057UYZYM013"",""CAH1273586.1"")"
PREDICTED: voltage-dependent calcium channel gamma-7 subunit-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,99.8,99.8,76%,4e-22,28.40,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006822518.1?report=genbank&log$=prottop&blast_rank=8&RID=057UYZYM013"",""XP_006822518.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Octopus bimaculoides],Octopus bimaculoides,90.9,90.9,63%,8e-19,30.00,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776155.1?report=genbank&log$=prottop&blast_rank=9&RID=057UYZYM013"",""XP_014776155.1"")"
hypothetical protein OCBIM_22024219mg [Octopus bimaculoides],Octopus bimaculoides,94.0,94.0,63%,9e-19,31.31,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF83196.1?report=genbank&log$=prottop&blast_rank=10&RID=057UYZYM013"",""KOF83196.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Octopus bimaculoides],Octopus bimaculoides,93.6,93.6,63%,1e-18,31.31,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776145.1?report=genbank&log$=prottop&blast_rank=11&RID=057UYZYM013"",""XP_014776145.1"")"
voltage-dependent calcium channel gamma-5 subunit-like [Asterias rubens],Asterias rubens,58.5,58.5,44%,3e-07,29.22,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033631002.1?report=genbank&log$=prottop&blast_rank=12&RID=057UYZYM013"",""XP_033631002.1"")"
hypothetical protein OCBIM_22012762mg [Octopus bimaculoides],Octopus bimaculoides,44.7,44.7,19%,0.003,41.67,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF89619.1?report=genbank&log$=prottop&blast_rank=13&RID=057UYZYM013"",""KOF89619.1"")"



		


