Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
MAP2K1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,536,536,99%,0.0,71.36,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254160.1?report=genbank&log$=prottop&blast_rank=1&RID=6MNGK23F016"",""CAH1254160.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 1-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,533,533,86%,0.0,76.16,416,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006815199.1?report=genbank&log$=prottop&blast_rank=2&RID=6MNGK23F016"",""XP_006815199.1"")"
MAP2K1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,533,533,86%,0.0,75.28,417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1254161.1?report=genbank&log$=prottop&blast_rank=3&RID=6MNGK23F016"",""CAH1254161.1"")"
LOW QUALITY PROTEIN: dual specificity mitogen-activated protein kinase kinase 1-like [Branchiostoma floridae],Branchiostoma floridae,526,526,86%,0.0,75.00,361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035665490.1?report=genbank&log$=prottop&blast_rank=4&RID=6MNGK23F016"",""XP_035665490.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 1-like [Priapulus caudatus],Priapulus caudatus,510,510,85%,2e-179,72.62,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014672551.1?report=genbank&log$=prottop&blast_rank=5&RID=6MNGK23F016"",""XP_014672551.1"")"
dual specificity mitogen-activated protein kinase kinase 1-like [Asterias rubens],Asterias rubens,507,507,85%,6e-178,73.53,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033634889.1?report=genbank&log$=prottop&blast_rank=6&RID=6MNGK23F016"",""XP_033634889.1"")"
dual specificity mitogen-activated protein kinase kinase 1-like [Acropora millepora],Acropora millepora,504,504,83%,6e-177,74.24,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044163145.1?report=genbank&log$=prottop&blast_rank=7&RID=6MNGK23F016"",""XP_044163145.1"")"
dual specificity mitogen-activated protein kinase kinase 1 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,483,483,86%,7e-168,68.47,425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_781505.3?report=genbank&log$=prottop&blast_rank=8&RID=6MNGK23F016"",""XP_781505.3"")"
dual specificity mitogen-activated protein kinase kinase 1 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,480,480,86%,5e-167,69.19,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011677450.1?report=genbank&log$=prottop&blast_rank=9&RID=6MNGK23F016"",""XP_011677450.1"")"
dual specificity mitogen-activated protein kinase kinase 1 [Hydra vulgaris],Hydra vulgaris,461,461,83%,1e-159,69.39,399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047139664.1?report=genbank&log$=prottop&blast_rank=10&RID=6MNGK23F016"",""XP_047139664.1"")"
mitogen-activated protein kinase kinase [Ciona intestinalis],Ciona intestinalis,439,439,85%,1e-151,65.19,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071954.1?report=genbank&log$=prottop&blast_rank=11&RID=6MNGK23F016"",""NP_001071954.1"")"
Dual specificity mitogen-activated protein kinase kinase mek-2 [Caenorhabditis elegans],Caenorhabditis elegans,381,381,83%,2e-128,57.19,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_491087.1?report=genbank&log$=prottop&blast_rank=12&RID=6MNGK23F016"",""NP_491087.1"")"
PREDICTED: dual specificity mitogen-activated protein kinase kinase 1-like [Amphimedon queenslandica],Amphimedon queenslandica,377,377,83%,4e-127,57.44,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003384864.1?report=genbank&log$=prottop&blast_rank=13&RID=6MNGK23F016"",""XP_003384864.1"")"
uncharacterized protein MONBRDRAFT_18821 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,330,330,83%,3e-108,50.30,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001745338.1?report=genbank&log$=prottop&blast_rank=14&RID=6MNGK23F016"",""XP_001745338.1"")"
