Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,234,234,31%,5e-63,44.52,734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269620.1?report=genbank&log$=prottop&blast_rank=1&RID=080CW722016"",""CAH1269620.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,234,234,31%,6e-63,44.52,727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269619.1?report=genbank&log$=prottop&blast_rank=2&RID=080CW722016"",""CAH1269619.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,234,234,30%,6e-63,44.91,747,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269622.1?report=genbank&log$=prottop&blast_rank=3&RID=080CW722016"",""CAH1269622.1"")"
nuclear factor of activated T cells [Branchiostoma floridae],Branchiostoma floridae,231,231,31%,9e-63,44.18,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFR43659.1?report=genbank&log$=prottop&blast_rank=4&RID=080CW722016"",""AFR43659.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,234,234,30%,1e-62,44.91,760,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269618.1?report=genbank&log$=prottop&blast_rank=5&RID=080CW722016"",""CAH1269618.1"")"
NFAT5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,232,232,31%,3e-62,44.52,720,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1269621.1?report=genbank&log$=prottop&blast_rank=6&RID=080CW722016"",""CAH1269621.1"")"
PREDICTED: nuclear factor of activated T-cells 5-like [Priapulus caudatus],Priapulus caudatus,223,223,30%,3e-60,42.96,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014679270.1?report=genbank&log$=prottop&blast_rank=7&RID=080CW722016"",""XP_014679270.1"")"
PREDICTED: nuclear factor of activated T-cells-like isoform X2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,215,215,33%,5e-58,40.00,514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006821179.1?report=genbank&log$=prottop&blast_rank=8&RID=080CW722016"",""XP_006821179.1"")"
PREDICTED: nuclear factor of activated T-cells-like isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,215,215,33%,2e-57,40.00,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006821178.1?report=genbank&log$=prottop&blast_rank=9&RID=080CW722016"",""XP_006821178.1"")"
nuclear factor of activated T-cells-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,214,214,33%,2e-57,40.00,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001158472.1?report=genbank&log$=prottop&blast_rank=10&RID=080CW722016"",""NP_001158472.1"")"
PREDICTED: nuclear factor of activated T-cells 5-like [Octopus bimaculoides],Octopus bimaculoides,219,219,32%,6e-57,43.00,890,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014781103.1?report=genbank&log$=prottop&blast_rank=11&RID=080CW722016"",""XP_014781103.1"")"
nuclear factor of activated T-cells 5-like isoform X2 [Asterias rubens],Asterias rubens,184,184,30%,2e-46,37.37,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626157.1?report=genbank&log$=prottop&blast_rank=12&RID=080CW722016"",""XP_033626157.1"")"
nuclear factor of activated T-cells 5 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,183,183,31%,4e-46,38.00,622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_795539.3?report=genbank&log$=prottop&blast_rank=13&RID=080CW722016"",""XP_795539.3"")"
nuclear factor of activated T-cells 5 [Ciona intestinalis],Ciona intestinalis,188,188,30%,4e-46,39.86,1478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018666864.1?report=genbank&log$=prottop&blast_rank=14&RID=080CW722016"",""XP_018666864.1"")"
"nuclear factor of activated T-cells, cytoplasmic 1-like isoform X1 [Asterias rubens]",Asterias rubens,184,184,30%,7e-46,37.37,720,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626156.1?report=genbank&log$=prottop&blast_rank=15&RID=080CW722016"",""XP_033626156.1"")"
"nuclear factor of activated T-cells, cytoplasmic 4 isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,182,182,31%,2e-45,38.00,727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011676216.2?report=genbank&log$=prottop&blast_rank=16&RID=080CW722016"",""XP_011676216.2"")"
LOW QUALITY PROTEIN: nuclear factor of activated T-cells 5-like [Branchiostoma floridae],Branchiostoma floridae,143,143,30%,2e-32,36.82,768,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035679897.1?report=genbank&log$=prottop&blast_rank=17&RID=080CW722016"",""XP_035679897.1"")"
hypothetical protein OCBIM_220335307mg [Octopus bimaculoides],Octopus bimaculoides,100,100,13%,2e-22,40.65,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76291.1?report=genbank&log$=prottop&blast_rank=18&RID=080CW722016"",""KOF76291.1"")"
hypothetical protein OCBIM_220335306mg [Octopus bimaculoides],Octopus bimaculoides,86.7,86.7,12%,3e-17,47.01,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76289.1?report=genbank&log$=prottop&blast_rank=19&RID=080CW722016"",""KOF76289.1"")"
uncharacterized protein LOC114955339 isoform X1 [Acropora millepora],Acropora millepora,94.4,94.4,31%,4e-17,27.76,702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176433.1?report=genbank&log$=prottop&blast_rank=20&RID=080CW722016"",""XP_044176433.1"")"
uncharacterized protein LOC114955339 isoform X2 [Acropora millepora],Acropora millepora,94.4,94.4,31%,5e-17,27.76,701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176434.1?report=genbank&log$=prottop&blast_rank=21&RID=080CW722016"",""XP_044176434.1"")"
"nuclear factor of activated T-cells, cytoplasmic 4-like isoform X4 [Acropora millepora]",Acropora millepora,94.0,94.0,31%,5e-17,27.76,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176436.1?report=genbank&log$=prottop&blast_rank=22&RID=080CW722016"",""XP_044176436.1"")"
uncharacterized protein LOC114955339 isoform X3 [Acropora millepora],Acropora millepora,94.0,94.0,31%,5e-17,27.76,685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176435.1?report=genbank&log$=prottop&blast_rank=23&RID=080CW722016"",""XP_044176435.1"")"
"nuclear factor of activated T-cells, cytoplasmic 4-like isoform X5 [Acropora millepora]",Acropora millepora,94.0,94.0,31%,6e-17,27.76,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044176437.1?report=genbank&log$=prottop&blast_rank=24&RID=080CW722016"",""XP_044176437.1"")"
"PREDICTED: nuclear factor of activated T-cells, cytoplasmic 4-like [Amphimedon queenslandica]",Amphimedon queenslandica,49.3,49.3,30%,0.004,22.26,575,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019850827.1?report=genbank&log$=prottop&blast_rank=25&RID=080CW722016"",""XP_019850827.1"")"



		


