Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PLCB3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,828,828,66%,0.0,46.85,1314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262319.1?report=genbank&log$=prottop&blast_rank=1&RID=04UEUSJN013"",""CAH1262319.1"")"
PLCB3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,819,819,66%,0.0,46.72,1307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262320.1?report=genbank&log$=prottop&blast_rank=2&RID=04UEUSJN013"",""CAH1262320.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X5 [Acropora millepora]",Acropora millepora,810,810,64%,0.0,49.51,1217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211310.2?report=genbank&log$=prottop&blast_rank=3&RID=04UEUSJN013"",""XP_029211310.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X1 [Acropora millepora]",Acropora millepora,810,810,64%,0.0,49.51,1242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211305.2?report=genbank&log$=prottop&blast_rank=4&RID=04UEUSJN013"",""XP_029211305.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X7 [Acropora millepora]",Acropora millepora,810,810,64%,0.0,49.51,1229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044183478.1?report=genbank&log$=prottop&blast_rank=5&RID=04UEUSJN013"",""XP_044183478.1"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X4 [Acropora millepora]",Acropora millepora,810,810,64%,0.0,49.51,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211309.2?report=genbank&log$=prottop&blast_rank=6&RID=04UEUSJN013"",""XP_029211309.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X2 [Acropora millepora]",Acropora millepora,810,810,64%,0.0,49.51,1240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211307.2?report=genbank&log$=prottop&blast_rank=7&RID=04UEUSJN013"",""XP_029211307.2"")"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X3 [Acropora millepora]",Acropora millepora,809,809,64%,0.0,49.51,1231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211308.2?report=genbank&log$=prottop&blast_rank=8&RID=04UEUSJN013"",""XP_029211308.2"")"
"PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-like isoform X2 [Priapulus caudatus]",Priapulus caudatus,731,731,58%,0.0,49.80,1154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674758.1?report=genbank&log$=prottop&blast_rank=9&RID=04UEUSJN013"",""XP_014674758.1"")"
"PREDICTED: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-like isoform X1 [Priapulus caudatus]",Priapulus caudatus,730,730,58%,0.0,49.67,1156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674750.1?report=genbank&log$=prottop&blast_rank=10&RID=04UEUSJN013"",""XP_014674750.1"")"
