Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ETS domain-containing protein Elk-3-like isoform X3 [Asterias rubens],Asterias rubens,162,162,21%,5e-43,76.09,418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647862.1?report=genbank&log$=prottop&blast_rank=1&RID=04R6FBDC013"",""XP_033647862.1"")"
PREDICTED: ETS domain-containing protein Elk-3-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,161,161,22%,6e-43,72.16,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002737846.1?report=genbank&log$=prottop&blast_rank=2&RID=04R6FBDC013"",""XP_002737846.1"")"
ETS domain-containing protein Elk-3-like isoform X1 [Asterias rubens],Asterias rubens,163,163,21%,7e-43,76.09,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647860.1?report=genbank&log$=prottop&blast_rank=3&RID=04R6FBDC013"",""XP_033647860.1"")"
ETS domain-containing protein Elk-3-like isoform X2 [Asterias rubens],Asterias rubens,162,162,21%,7e-43,76.09,432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647861.1?report=genbank&log$=prottop&blast_rank=4&RID=04R6FBDC013"",""XP_033647861.1"")"
transcription factor Elk [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,160,160,23%,9e-42,69.31,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_999792.1?report=genbank&log$=prottop&blast_rank=5&RID=04R6FBDC013"",""NP_999792.1"")"
Elk protein [Ciona intestinalis],Ciona intestinalis,162,162,22%,4e-41,74.49,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD58966.1?report=genbank&log$=prottop&blast_rank=6&RID=04R6FBDC013"",""CAD58966.1"")"
Elk protein [Ciona intestinalis],Ciona intestinalis,163,163,22%,4e-41,74.49,946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001116439.1?report=genbank&log$=prottop&blast_rank=7&RID=04R6FBDC013"",""NP_001116439.1"")"
ELK1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,149,149,21%,8e-38,76.92,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265119.1?report=genbank&log$=prottop&blast_rank=8&RID=04R6FBDC013"",""CAH1265119.1"")"
ELK1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,149,149,21%,8e-38,76.92,438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265120.1?report=genbank&log$=prottop&blast_rank=9&RID=04R6FBDC013"",""CAH1265120.1"")"
ETS domain-containing protein Elk-3-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,147,147,21%,2e-37,76.92,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676504.1?report=genbank&log$=prottop&blast_rank=10&RID=04R6FBDC013"",""XP_035676504.1"")"
ETS domain-containing protein Elk-3-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,147,147,21%,2e-37,76.92,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676503.1?report=genbank&log$=prottop&blast_rank=11&RID=04R6FBDC013"",""XP_035676503.1"")"
ETS domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,135,135,20%,4e-33,66.67,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001294301.1?report=genbank&log$=prottop&blast_rank=12&RID=04R6FBDC013"",""NP_001294301.1"")"
ETS domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,135,135,20%,9e-33,66.67,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001023051.1?report=genbank&log$=prottop&blast_rank=13&RID=04R6FBDC013"",""NP_001023051.1"")"
PREDICTED: ets DNA-binding protein pokkuri-like [Priapulus caudatus],Priapulus caudatus,134,134,21%,1e-31,65.96,548,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671094.1?report=genbank&log$=prottop&blast_rank=14&RID=04R6FBDC013"",""XP_014671094.1"")"
protein C-ets-2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,119,119,19%,4e-30,65.85,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030834104.1?report=genbank&log$=prottop&blast_rank=15&RID=04R6FBDC013"",""XP_030834104.1"")"
ETS domain-containing transcription factor ets-5 [Caenorhabditis elegans],Caenorhabditis elegans,121,121,18%,1e-29,65.43,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001370489.1?report=genbank&log$=prottop&blast_rank=16&RID=04R6FBDC013"",""NP_001370489.1"")"
ETS domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,121,121,18%,2e-29,65.43,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001263956.1?report=genbank&log$=prottop&blast_rank=17&RID=04R6FBDC013"",""NP_001263956.1"")"
hypothetical protein OCBIM_22036286mg [Octopus bimaculoides],Octopus bimaculoides,118,118,18%,2e-29,65.43,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF74414.1?report=genbank&log$=prottop&blast_rank=18&RID=04R6FBDC013"",""KOF74414.1"")"
ETS translocation variant 1 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,127,127,20%,6e-29,62.50,636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829346.1?report=genbank&log$=prottop&blast_rank=19&RID=04R6FBDC013"",""XP_030829346.1"")"
ETS translocation variant 1 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,127,127,20%,6e-29,62.50,635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_785701.4?report=genbank&log$=prottop&blast_rank=20&RID=04R6FBDC013"",""XP_785701.4"")"
ets-related protein [Hydra vulgaris],Hydra vulgaris,114,114,19%,2e-28,64.63,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAZ66863.1?report=genbank&log$=prottop&blast_rank=21&RID=04R6FBDC013"",""AAZ66863.1"")"
PREDICTED: Friend leukemia integration 1 transcription factor-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,117,117,25%,3e-28,50.45,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002739734.1?report=genbank&log$=prottop&blast_rank=22&RID=04R6FBDC013"",""XP_002739734.1"")"
transcriptional regulator ERG homolog isoform X2 [Asterias rubens],Asterias rubens,118,118,24%,4e-28,54.37,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641258.1?report=genbank&log$=prottop&blast_rank=23&RID=04R6FBDC013"",""XP_033641258.1"")"
protein c-ets-1-B-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,122,122,19%,4e-28,63.41,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672603.1?report=genbank&log$=prottop&blast_rank=24&RID=04R6FBDC013"",""XP_035672603.1"")"
protein c-ets-1-B-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,122,122,19%,5e-28,63.41,455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672594.1?report=genbank&log$=prottop&blast_rank=25&RID=04R6FBDC013"",""XP_035672594.1"")"
transcriptional regulator ERG homolog isoform X1 [Asterias rubens],Asterias rubens,118,118,24%,5e-28,54.37,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641257.1?report=genbank&log$=prottop&blast_rank=26&RID=04R6FBDC013"",""XP_033641257.1"")"
transforming protein p54/c-ets-1-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,123,123,19%,6e-28,63.41,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672578.1?report=genbank&log$=prottop&blast_rank=27&RID=04R6FBDC013"",""XP_035672578.1"")"
protein C-ets-1-like isoform X3 [Asterias rubens],Asterias rubens,122,122,19%,6e-28,65.06,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641196.1?report=genbank&log$=prottop&blast_rank=28&RID=04R6FBDC013"",""XP_033641196.1"")"
transforming protein p54/c-ets-1-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,122,122,19%,6e-28,63.41,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672586.1?report=genbank&log$=prottop&blast_rank=29&RID=04R6FBDC013"",""XP_035672586.1"")"
ETS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,122,122,19%,7e-28,63.41,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263088.1?report=genbank&log$=prottop&blast_rank=30&RID=04R6FBDC013"",""CAH1263088.1"")"
protein C-ets-1-like isoform X4 [Asterias rubens],Asterias rubens,122,122,19%,7e-28,65.06,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641197.1?report=genbank&log$=prottop&blast_rank=31&RID=04R6FBDC013"",""XP_033641197.1"")"
PREDICTED: protein C-ets-1-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,120,120,19%,8e-28,64.63,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014783314.1?report=genbank&log$=prottop&blast_rank=32&RID=04R6FBDC013"",""XP_014783314.1"")"
ETS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,122,122,19%,8e-28,63.41,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263089.1?report=genbank&log$=prottop&blast_rank=33&RID=04R6FBDC013"",""CAH1263089.1"")"
ets homolog isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,122,122,19%,8e-28,65.85,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003730474.1?report=genbank&log$=prottop&blast_rank=34&RID=04R6FBDC013"",""XP_003730474.1"")"
protein C-ets-1-like isoform X2 [Asterias rubens],Asterias rubens,122,122,19%,9e-28,65.06,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641195.1?report=genbank&log$=prottop&blast_rank=35&RID=04R6FBDC013"",""XP_033641195.1"")"
protein C-ets-1-like isoform X1 [Asterias rubens],Asterias rubens,122,122,19%,1e-27,65.06,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641194.1?report=genbank&log$=prottop&blast_rank=36&RID=04R6FBDC013"",""XP_033641194.1"")"
