Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
protein kinase C beta2 [Eptatretus burgeri],Eptatretus burgeri,1010,1010,95%,0.0,72.85,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75722.1?report=genbank&log$=prottop&blast_rank=1&RID=04WEE70Z016"",""AYD75722.1"")"
protein kinase C beta1 [Eptatretus burgeri],Eptatretus burgeri,988,988,95%,0.0,71.56,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYD75721.1?report=genbank&log$=prottop&blast_rank=2&RID=04WEE70Z016"",""AYD75721.1"")"
protein kinase C alpha type-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,975,975,95%,0.0,71.52,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694810.1?report=genbank&log$=prottop&blast_rank=3&RID=04WEE70Z016"",""XP_035694810.1"")"
protein kinase C alpha type-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,973,973,95%,0.0,71.52,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694807.1?report=genbank&log$=prottop&blast_rank=4&RID=04WEE70Z016"",""XP_035694807.1"")"
protein kinase C alpha type-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,973,973,95%,0.0,71.52,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694808.1?report=genbank&log$=prottop&blast_rank=5&RID=04WEE70Z016"",""XP_035694808.1"")"
protein kinase C alpha type-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,972,972,95%,0.0,71.15,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694811.1?report=genbank&log$=prottop&blast_rank=6&RID=04WEE70Z016"",""XP_035694811.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,968,968,96%,0.0,70.61,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273978.1?report=genbank&log$=prottop&blast_rank=7&RID=04WEE70Z016"",""CAH1273978.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,968,968,95%,0.0,70.99,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273977.1?report=genbank&log$=prottop&blast_rank=8&RID=04WEE70Z016"",""CAH1273977.1"")"
PRKCB [Branchiostoma lanceolatum],Branchiostoma lanceolatum,967,967,96%,0.0,70.61,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273979.1?report=genbank&log$=prottop&blast_rank=9&RID=04WEE70Z016"",""CAH1273979.1"")"
PREDICTED: protein kinase C beta type-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,959,959,95%,0.0,69.76,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002731384.1?report=genbank&log$=prottop&blast_rank=10&RID=04WEE70Z016"",""XP_002731384.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,926,926,97%,0.0,66.08,725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001123122.1?report=genbank&log$=prottop&blast_rank=11&RID=04WEE70Z016"",""NP_001123122.1"")"
Protein kinase C [Caenorhabditis elegans],Caenorhabditis elegans,926,926,95%,0.0,66.97,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001360727.1?report=genbank&log$=prottop&blast_rank=12&RID=04WEE70Z016"",""NP_001360727.1"")"
