Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit alpha-1D isoform X1 [Ciona intestinalis],Ciona intestinalis,1939,1939,82%,0.0,58.12,2268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689962.1?report=genbank&log$=prottop&blast_rank=1&RID=04Y2N3UP016"",""XP_026689962.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X2 [Ciona intestinalis],Ciona intestinalis,1936,1936,82%,0.0,58.29,2266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689963.1?report=genbank&log$=prottop&blast_rank=2&RID=04Y2N3UP016"",""XP_026689963.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X5 [Ciona intestinalis],Ciona intestinalis,1933,1933,81%,0.0,58.52,2117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667169.1?report=genbank&log$=prottop&blast_rank=3&RID=04Y2N3UP016"",""XP_018667169.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X3 [Ciona intestinalis],Ciona intestinalis,1895,1895,82%,0.0,57.18,2259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689964.1?report=genbank&log$=prottop&blast_rank=4&RID=04Y2N3UP016"",""XP_026689964.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X4 [Ciona intestinalis],Ciona intestinalis,1891,1891,82%,0.0,57.29,2239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689965.1?report=genbank&log$=prottop&blast_rank=5&RID=04Y2N3UP016"",""XP_026689965.1"")"
PREDICTED: LOW QUALITY PROTEIN: muscle calcium channel subunit alpha-1-like [Octopus bimaculoides],Octopus bimaculoides,1867,1867,82%,0.0,57.92,2190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774811.1?report=genbank&log$=prottop&blast_rank=6&RID=04Y2N3UP016"",""XP_014774811.1"")"
voltage dependent calcium channel L-type [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1767,1815,92%,0.0,55.92,2212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001118235.1?report=genbank&log$=prottop&blast_rank=7&RID=04Y2N3UP016"",""NP_001118235.1"")"
Voltage-dependent L-type calcium channel subunit alpha [Caenorhabditis elegans],Caenorhabditis elegans,1746,1941,88%,0.0,54.09,1783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_741442.1?report=genbank&log$=prottop&blast_rank=8&RID=04Y2N3UP016"",""NP_741442.1"")"
Voltage-dependent L-type calcium channel subunit alpha [Caenorhabditis elegans],Caenorhabditis elegans,1746,1942,96%,0.0,51.79,1877,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001023079.1?report=genbank&log$=prottop&blast_rank=9&RID=04Y2N3UP016"",""NP_001023079.1"")"
PREDICTED: muscle calcium channel subunit alpha-1-like [Priapulus caudatus],Priapulus caudatus,1704,1704,98%,0.0,49.48,1959,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014661450.1?report=genbank&log$=prottop&blast_rank=10&RID=04Y2N3UP016"",""XP_014661450.1"")"
