Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1440,1440,93%,0.0,55.15,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253530.1?report=genbank&log$=prottop&blast_rank=1&RID=0CMAVD0H013"",""CAH1253530.1"")"
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1440,1440,93%,0.0,55.15,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253529.1?report=genbank&log$=prottop&blast_rank=2&RID=0CMAVD0H013"",""CAH1253529.1"")"
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1415,1415,93%,0.0,52.92,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253531.1?report=genbank&log$=prottop&blast_rank=3&RID=0CMAVD0H013"",""CAH1253531.1"")"
rho-associated protein kinase 2-like isoform X2 [Acropora millepora],Acropora millepora,1298,1298,95%,0.0,50.86,1387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194535.2?report=genbank&log$=prottop&blast_rank=4&RID=0CMAVD0H013"",""XP_029194535.2"")"
rho-associated protein kinase 2-like isoform X1 [Acropora millepora],Acropora millepora,1297,1297,95%,0.0,50.82,1390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194534.2?report=genbank&log$=prottop&blast_rank=5&RID=0CMAVD0H013"",""XP_029194534.2"")"
rho-associated protein kinase 2 isoform X1 [Ciona intestinalis],Ciona intestinalis,1292,1292,94%,0.0,50.40,1523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691088.1?report=genbank&log$=prottop&blast_rank=6&RID=0CMAVD0H013"",""XP_026691088.1"")"
rho-associated protein kinase 2 isoform X3 [Ciona intestinalis],Ciona intestinalis,1291,1291,94%,0.0,50.33,1382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667972.1?report=genbank&log$=prottop&blast_rank=7&RID=0CMAVD0H013"",""XP_018667972.1"")"
rho-associated protein kinase 2 isoform X2 [Ciona intestinalis],Ciona intestinalis,1288,1288,94%,0.0,50.40,1516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691089.1?report=genbank&log$=prottop&blast_rank=8&RID=0CMAVD0H013"",""XP_026691089.1"")"
PREDICTED: rho-associated protein kinase 2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,1201,1201,93%,0.0,49.29,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780189.1?report=genbank&log$=prottop&blast_rank=9&RID=0CMAVD0H013"",""XP_014780189.1"")"
PREDICTED: rho-associated protein kinase 2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,1197,1197,93%,0.0,49.14,1362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780198.1?report=genbank&log$=prottop&blast_rank=10&RID=0CMAVD0H013"",""XP_014780198.1"")"
Rho kinase [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1196,1196,96%,0.0,48.17,1365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001171981.1?report=genbank&log$=prottop&blast_rank=11&RID=0CMAVD0H013"",""NP_001171981.1"")"
rho kinase isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1194,1194,96%,0.0,48.17,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838507.1?report=genbank&log$=prottop&blast_rank=12&RID=0CMAVD0H013"",""XP_030838507.1"")"
rho kinase isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1194,1194,96%,0.0,48.13,1367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838506.1?report=genbank&log$=prottop&blast_rank=13&RID=0CMAVD0H013"",""XP_030838506.1"")"
rho kinase isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1189,1189,95%,0.0,48.47,1352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838508.1?report=genbank&log$=prottop&blast_rank=14&RID=0CMAVD0H013"",""XP_030838508.1"")"
rho-associated protein kinase 2-like isoform X4 [Asterias rubens],Asterias rubens,1179,1179,96%,0.0,48.52,1376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033644607.1?report=genbank&log$=prottop&blast_rank=15&RID=0CMAVD0H013"",""XP_033644607.1"")"
