Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: elongation factor 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,1457,1457,100%,0.0,81.12,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002736742.1?report=genbank&log$=prottop&blast_rank=1&RID=04XGHAXA016"",""XP_002736742.1"")"
Elongation factor 2 [Caenorhabditis elegans],Caenorhabditis elegans,1417,1417,100%,0.0,78.39,852,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001369996.1?report=genbank&log$=prottop&blast_rank=2&RID=04XGHAXA016"",""NP_001369996.1"")"
elongation factor 2-like [Asterias rubens],Asterias rubens,1416,1416,100%,0.0,78.55,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033634028.1?report=genbank&log$=prottop&blast_rank=3&RID=04XGHAXA016"",""XP_033634028.1"")"
EEF2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1411,1411,100%,0.0,78.42,842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253904.1?report=genbank&log$=prottop&blast_rank=4&RID=04XGHAXA016"",""CAH1253904.1"")"
elongation factor [Caenorhabditis elegans],Caenorhabditis elegans,1410,1410,100%,0.0,78.16,852,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAD03339.1?report=genbank&log$=prottop&blast_rank=5&RID=04XGHAXA016"",""AAD03339.1"")"
Elongation factor 2 [Caenorhabditis elegans],Caenorhabditis elegans,1395,1395,98%,0.0,78.32,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367294.1?report=genbank&log$=prottop&blast_rank=6&RID=04XGHAXA016"",""NP_001367294.1"")"
EEF2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1388,1388,100%,0.0,77.26,842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253903.1?report=genbank&log$=prottop&blast_rank=7&RID=04XGHAXA016"",""CAH1253903.1"")"
translation elongation factor 2-like [Branchiostoma floridae],Branchiostoma floridae,1369,1369,100%,0.0,75.99,842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035668093.1?report=genbank&log$=prottop&blast_rank=8&RID=04XGHAXA016"",""XP_035668093.1"")"
elongation factor 2-like [Acropora millepora],Acropora millepora,1367,1367,100%,0.0,76.69,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194167.1?report=genbank&log$=prottop&blast_rank=9&RID=04XGHAXA016"",""XP_029194167.1"")"
elongation factor 2 [Salpingoeca rosetta],Salpingoeca rosetta,1366,1366,100%,0.0,75.99,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004988723.1?report=genbank&log$=prottop&blast_rank=10&RID=04XGHAXA016"",""XP_004988723.1"")"
PREDICTED: translation elongation factor 2-like [Hydra vulgaris],Hydra vulgaris,1359,1359,100%,0.0,74.85,843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002157788.1?report=genbank&log$=prottop&blast_rank=11&RID=04XGHAXA016"",""XP_002157788.1"")"
translation elongation factor 2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1351,1351,100%,0.0,74.77,842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030833135.1?report=genbank&log$=prottop&blast_rank=12&RID=04XGHAXA016"",""XP_030833135.1"")"
uncharacterized protein MONBRDRAFT_11373 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,1338,1338,100%,0.0,73.78,841,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001749170.1?report=genbank&log$=prottop&blast_rank=13&RID=04XGHAXA016"",""XP_001749170.1"")"
PREDICTED: elongation factor 2-like [Priapulus caudatus],Priapulus caudatus,1311,1311,100%,0.0,74.91,825,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670549.1?report=genbank&log$=prottop&blast_rank=14&RID=04XGHAXA016"",""XP_014670549.1"")"
PREDICTED: translation elongation factor 2-like [Octopus bimaculoides],Octopus bimaculoides,1285,1285,100%,0.0,72.67,836,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014786297.1?report=genbank&log$=prottop&blast_rank=15&RID=04XGHAXA016"",""XP_014786297.1"")"
elongation factor 2-like [Ciona intestinalis],Ciona intestinalis,1283,1283,100%,0.0,72.18,841,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026690554.1?report=genbank&log$=prottop&blast_rank=16&RID=04XGHAXA016"",""XP_026690554.1"")"
