Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: adenylate cyclase type 3 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,982,982,93%,0.0,48.50,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734095.1?report=genbank&log$=prottop&blast_rank=1&RID=0CNNZPAD016"",""XP_002734095.1"")"
adenylate cyclase type 3-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,917,917,94%,0.0,46.07,1087,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829913.1?report=genbank&log$=prottop&blast_rank=2&RID=0CNNZPAD016"",""XP_030829913.1"")"
adenylate cyclase type 3-like [Asterias rubens],Asterias rubens,916,916,95%,0.0,44.86,1073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640430.1?report=genbank&log$=prottop&blast_rank=3&RID=0CNNZPAD016"",""XP_033640430.1"")"
adenylate cyclase type 3-like [Branchiostoma floridae],Branchiostoma floridae,907,907,94%,0.0,46.22,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035659644.1?report=genbank&log$=prottop&blast_rank=4&RID=0CNNZPAD016"",""XP_035659644.1"")"
ADCY3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,873,873,94%,0.0,45.85,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248162.1?report=genbank&log$=prottop&blast_rank=5&RID=0CNNZPAD016"",""CAH1248162.1"")"
adenylate cyclase type 3-like [Acropora millepora],Acropora millepora,752,752,94%,0.0,40.38,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044181646.1?report=genbank&log$=prottop&blast_rank=6&RID=0CNNZPAD016"",""XP_044181646.1"")"
adenylate cyclase type 5-like [Asterias rubens],Asterias rubens,661,661,83%,0.0,39.34,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033639896.1?report=genbank&log$=prottop&blast_rank=7&RID=0CNNZPAD016"",""XP_033639896.1"")"
ADCY8 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,659,659,94%,0.0,36.48,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248161.1?report=genbank&log$=prottop&blast_rank=8&RID=0CNNZPAD016"",""CAH1248161.1"")"
PREDICTED: adenylate cyclase type 8-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,651,651,98%,0.0,37.36,1554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006820732.1?report=genbank&log$=prottop&blast_rank=9&RID=0CNNZPAD016"",""XP_006820732.1"")"
adenylate cyclase type 8-like [Branchiostoma floridae],Branchiostoma floridae,646,646,94%,0.0,35.57,1753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660331.1?report=genbank&log$=prottop&blast_rank=10&RID=0CNNZPAD016"",""XP_035660331.1"")"
adenylate cyclase type 5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,633,633,92%,0.0,37.28,1208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846084.1?report=genbank&log$=prottop&blast_rank=11&RID=0CNNZPAD016"",""XP_030846084.1"")"
adenylate cyclase type 2-like isoform X1 [Asterias rubens],Asterias rubens,627,627,92%,0.0,34.91,1164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626705.1?report=genbank&log$=prottop&blast_rank=12&RID=0CNNZPAD016"",""XP_033626705.1"")"
adenylate cyclase type 2-like isoform X2 [Asterias rubens],Asterias rubens,626,626,92%,0.0,34.91,1121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626706.1?report=genbank&log$=prottop&blast_rank=13&RID=0CNNZPAD016"",""XP_033626706.1"")"
adenylate cyclase type 5-like [Branchiostoma floridae],Branchiostoma floridae,602,602,78%,0.0,37.99,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035689810.1?report=genbank&log$=prottop&blast_rank=14&RID=0CNNZPAD016"",""XP_035689810.1"")"
adenylate cyclase type 2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,593,593,93%,0.0,35.09,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831599.1?report=genbank&log$=prottop&blast_rank=15&RID=0CNNZPAD016"",""XP_030831599.1"")"
PREDICTED: adenylate cyclase type 2-like [Amphimedon queenslandica],Amphimedon queenslandica,582,582,83%,0.0,37.13,1178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019850469.1?report=genbank&log$=prottop&blast_rank=16&RID=0CNNZPAD016"",""XP_019850469.1"")"
PREDICTED: adenylate cyclase type 1-like [Priapulus caudatus],Priapulus caudatus,582,684,95%,0.0,35.81,1703,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014661660.1?report=genbank&log$=prottop&blast_rank=17&RID=0CNNZPAD016"",""XP_014661660.1"")"
