Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: cytosolic phospholipase A2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,312,312,68%,5e-91,30.72,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670505.1?report=genbank&log$=prottop&blast_rank=1&RID=6MS7S1DC013"",""XP_014670505.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X5 [Priapulus caudatus],Priapulus caudatus,311,311,68%,1e-90,30.56,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670507.1?report=genbank&log$=prottop&blast_rank=2&RID=6MS7S1DC013"",""XP_014670507.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,306,306,68%,7e-89,30.60,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670499.1?report=genbank&log$=prottop&blast_rank=3&RID=6MS7S1DC013"",""XP_014670499.1"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,304,304,67%,2e-88,32.15,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=4&RID=6MS7S1DC013"",""XP_029185674.2"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,305,305,68%,2e-88,30.44,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670504.1?report=genbank&log$=prottop&blast_rank=5&RID=6MS7S1DC013"",""XP_014670504.1"")"
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,301,301,67%,1e-87,31.59,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=6&RID=6MS7S1DC013"",""XP_029185280.2"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,302,302,68%,1e-86,32.13,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=7&RID=6MS7S1DC013"",""XP_014668727.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,295,295,62%,1e-85,31.73,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670506.1?report=genbank&log$=prottop&blast_rank=8&RID=6MS7S1DC013"",""XP_014670506.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,293,353,82%,2e-84,31.39,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=9&RID=6MS7S1DC013"",""CAH1272832.1"")"
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,291,346,81%,9e-84,32.04,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=10&RID=6MS7S1DC013"",""XP_035685090.1"")"
cytosolic phospholipase A2 isoform X4 [Ciona intestinalis],Ciona intestinalis,279,279,62%,4e-78,30.97,916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127884.2?report=genbank&log$=prottop&blast_rank=11&RID=6MS7S1DC013"",""XP_002127884.2"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,279,325,75%,3e-77,31.41,1088,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669042.1?report=genbank&log$=prottop&blast_rank=12&RID=6MS7S1DC013"",""XP_018669042.1"")"
cytosolic phospholipase A2-like isoform X2 [Acropora millepora],Acropora millepora,209,209,36%,1e-55,34.90,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185675.2?report=genbank&log$=prottop&blast_rank=13&RID=6MS7S1DC013"",""XP_029185675.2"")"
cytosolic phospholipase A2 isoform X6 [Ciona intestinalis],Ciona intestinalis,182,306,57%,6e-45,37.01,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669045.1?report=genbank&log$=prottop&blast_rank=14&RID=6MS7S1DC013"",""XP_018669045.1"")"
cytosolic phospholipase A2 isoform X3 [Ciona intestinalis],Ciona intestinalis,182,306,57%,6e-45,37.01,943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669043.1?report=genbank&log$=prottop&blast_rank=15&RID=6MS7S1DC013"",""XP_018669043.1"")"
cytosolic phospholipase A2 isoform X5 [Ciona intestinalis],Ciona intestinalis,182,352,71%,7e-45,37.01,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669044.1?report=genbank&log$=prottop&blast_rank=16&RID=6MS7S1DC013"",""XP_018669044.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,182,352,69%,1e-44,38.29,1115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691972.1?report=genbank&log$=prottop&blast_rank=17&RID=6MS7S1DC013"",""XP_026691972.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,145,145,29%,5e-33,35.00,776,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026692097.1?report=genbank&log$=prottop&blast_rank=18&RID=6MS7S1DC013"",""XP_026692097.1"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,144,144,29%,5e-33,35.00,772,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129582.1?report=genbank&log$=prottop&blast_rank=19&RID=6MS7S1DC013"",""XP_002129582.1"")"
Cytosolic phospholipase A2 zeta [Fusarium culmorum],Fusarium culmorum,120,120,45%,5e-25,28.21,821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD11214.1?report=genbank&log$=prottop&blast_rank=20&RID=6MS7S1DC013"",""PTD11214.1"")"
hypothetical protein AN6211.2 [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,119,119,46%,6e-25,27.07,837,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_663815.1?report=genbank&log$=prottop&blast_rank=21&RID=6MS7S1DC013"",""XP_663815.1"")"
phospholipase A2 [Aspergillus nidulans],Aspergillus nidulans,115,115,46%,2e-23,26.90,837,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAC81480.1?report=genbank&log$=prottop&blast_rank=22&RID=6MS7S1DC013"",""BAC81480.1"")"
hypothetical protein HYE67_001462 [Fusarium culmorum],Fusarium culmorum,82.4,82.4,33%,2e-13,24.86,708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPC59231.1?report=genbank&log$=prottop&blast_rank=23&RID=6MS7S1DC013"",""QPC59231.1"")"
hypothetical protein FCULG_00005604 [Fusarium culmorum],Fusarium culmorum,69.7,69.7,24%,1e-09,23.75,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD07287.1?report=genbank&log$=prottop&blast_rank=24&RID=6MS7S1DC013"",""PTD07287.1"")"
hypothetical protein HYE67_000232 [Fusarium culmorum],Fusarium culmorum,62.8,62.8,33%,2e-07,26.18,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPC58001.1?report=genbank&log$=prottop&blast_rank=25&RID=6MS7S1DC013"",""QPC58001.1"")"
Lysophospholipase 2 [Fusarium culmorum],Fusarium culmorum,60.8,60.8,32%,7e-07,26.03,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD02205.1?report=genbank&log$=prottop&blast_rank=26&RID=6MS7S1DC013"",""PTD02205.1"")"
Plb3p [Saccharomyces cerevisiae YJM195],Saccharomyces cerevisiae YJM195,58.9,58.9,28%,3e-06,22.15,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJT71927.1?report=genbank&log$=prottop&blast_rank=27&RID=6MS7S1DC013"",""AJT71927.1"")"
Plb3p [Saccharomyces cerevisiae YJM1252],Saccharomyces cerevisiae YJM1252,58.9,58.9,28%,4e-06,21.80,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJT92426.1?report=genbank&log$=prottop&blast_rank=28&RID=6MS7S1DC013"",""AJT92426.1"")"
lysophospholipase 3 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GFP64617.1?report=genbank&log$=prottop&blast_rank=29&RID=6MS7S1DC013"",""GFP64617.1"")"
EM14S01-3B_G0026810.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6643523.1?report=genbank&log$=prottop&blast_rank=30&RID=6MS7S1DC013"",""CAD6643523.1"")"
unnamed protein product [Saccharomyces cerevisiae],Saccharomyces cerevisiae,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1832946.1?report=genbank&log$=prottop&blast_rank=31&RID=6MS7S1DC013"",""CAH1832946.1"")"
Plb3p [Saccharomyces cerevisiae YJM1248],Saccharomyces cerevisiae YJM1248,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJT91530.1?report=genbank&log$=prottop&blast_rank=32&RID=6MS7S1DC013"",""AJT91530.1"")"
Plb3p [Saccharomyces cerevisiae YJM1399],Saccharomyces cerevisiae YJM1399,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU02210.1?report=genbank&log$=prottop&blast_rank=33&RID=6MS7S1DC013"",""AJU02210.1"")"
HN1_G0037560.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6644973.1?report=genbank&log$=prottop&blast_rank=34&RID=6MS7S1DC013"",""CAD6644973.1"")"
XXYS1_4_G0029330.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6647030.1?report=genbank&log$=prottop&blast_rank=35&RID=6MS7S1DC013"",""CAD6647030.1"")"
lysophospholipase [Saccharomyces cerevisiae],Saccharomyces cerevisiae,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTN39714.1?report=genbank&log$=prottop&blast_rank=36&RID=6MS7S1DC013"",""PTN39714.1"")"
Plb3p [Saccharomyces cerevisiae YJM1208],Saccharomyces cerevisiae YJM1208,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJT90068.1?report=genbank&log$=prottop&blast_rank=37&RID=6MS7S1DC013"",""AJT90068.1"")"
Plb3p [Saccharomyces cerevisiae YJM993],Saccharomyces cerevisiae YJM993,58.5,58.5,28%,5e-06,21.80,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY77297.1?report=genbank&log$=prottop&blast_rank=38&RID=6MS7S1DC013"",""AHY77297.1"")"
Plb3p [Saccharomyces cerevisiae YJM270],Saccharomyces cerevisiae YJM270,58.5,58.5,28%,5e-06,21.80,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJT73374.1?report=genbank&log$=prottop&blast_rank=39&RID=6MS7S1DC013"",""AJT73374.1"")"
Plb3p [Saccharomyces cerevisiae YJM1332],Saccharomyces cerevisiae YJM1332,58.5,58.5,28%,5e-06,21.80,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJT95344.1?report=genbank&log$=prottop&blast_rank=40&RID=6MS7S1DC013"",""AJT95344.1"")"
Plb3p [Saccharomyces cerevisiae YJM1447],Saccharomyces cerevisiae YJM1447,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU08580.1?report=genbank&log$=prottop&blast_rank=41&RID=6MS7S1DC013"",""AJU08580.1"")"
Plb3p [Saccharomyces cerevisiae YJM456],Saccharomyces cerevisiae YJM456,58.5,58.5,28%,5e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJT77310.1?report=genbank&log$=prottop&blast_rank=42&RID=6MS7S1DC013"",""AJT77310.1"")"
lysophospholipase [Saccharomyces cerevisiae S288C],Saccharomyces cerevisiae S288C,58.5,58.5,28%,5e-06,21.80,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_014632.1?report=genbank&log$=prottop&blast_rank=43&RID=6MS7S1DC013"",""NP_014632.1"")"
Plb3p [Saccharomyces cerevisiae YJM1549],Saccharomyces cerevisiae YJM1549,58.5,58.5,28%,5e-06,21.80,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU12960.1?report=genbank&log$=prottop&blast_rank=44&RID=6MS7S1DC013"",""AJU12960.1"")"
Plb3p [Saccharomyces cerevisiae YJM1133],Saccharomyces cerevisiae YJM1133,58.5,58.5,28%,6e-06,21.80,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJT88106.1?report=genbank&log$=prottop&blast_rank=45&RID=6MS7S1DC013"",""AJT88106.1"")"
Plb3p [Saccharomyces cerevisiae YJM1386],Saccharomyces cerevisiae YJM1386,58.5,58.5,28%,6e-06,21.80,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU00269.1?report=genbank&log$=prottop&blast_rank=46&RID=6MS7S1DC013"",""AJU00269.1"")"
Plb3p [Saccharomyces cerevisiae VL3],Saccharomyces cerevisiae VL3,58.5,58.5,28%,6e-06,21.80,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGA84905.1?report=genbank&log$=prottop&blast_rank=47&RID=6MS7S1DC013"",""EGA84905.1"")"
