Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform-like [Amphimedon queenslandica]",Amphimedon queenslandica,808,808,92%,0.0,41.53,1421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019864496.1?report=genbank&log$=prottop&blast_rank=1&RID=0CVPGZ17013"",""XP_019864496.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform isoform X1 [Ciona intestinalis]",Ciona intestinalis,758,758,96%,0.0,40.84,1154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668461.1?report=genbank&log$=prottop&blast_rank=2&RID=0CVPGZ17013"",""XP_018668461.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform isoform X2 [Ciona intestinalis]",Ciona intestinalis,757,757,96%,0.0,40.84,1131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122754.1?report=genbank&log$=prottop&blast_rank=3&RID=0CVPGZ17013"",""XP_002122754.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Asterias rubens]",Asterias rubens,535,535,96%,6e-170,33.33,1049,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641996.1?report=genbank&log$=prottop&blast_rank=4&RID=0CVPGZ17013"",""XP_033641996.1"")"
PIK3CA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,533,533,94%,5e-169,32.32,1071,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240544.1?report=genbank&log$=prottop&blast_rank=5&RID=0CVPGZ17013"",""CAH1240544.1"")"
PIK3CD [Branchiostoma lanceolatum],Branchiostoma lanceolatum,528,528,85%,2e-167,36.70,1030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240074.1?report=genbank&log$=prottop&blast_rank=6&RID=0CVPGZ17013"",""CAH1240074.1"")"
PIK3CD [Branchiostoma lanceolatum],Branchiostoma lanceolatum,526,526,85%,2e-166,36.50,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1240073.1?report=genbank&log$=prottop&blast_rank=7&RID=0CVPGZ17013"",""CAH1240073.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform-like [Branchiostoma floridae]",Branchiostoma floridae,525,525,85%,5e-166,36.24,1060,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696953.1?report=genbank&log$=prottop&blast_rank=8&RID=0CVPGZ17013"",""XP_035696953.1"")"
"PREDICTED: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Amphimedon queenslandica]",Amphimedon queenslandica,524,524,95%,1e-165,33.06,1059,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019863071.1?report=genbank&log$=prottop&blast_rank=9&RID=0CVPGZ17013"",""XP_019863071.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Branchiostoma floridae]",Branchiostoma floridae,524,524,94%,2e-165,32.08,1070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035697147.1?report=genbank&log$=prottop&blast_rank=10&RID=0CVPGZ17013"",""XP_035697147.1"")"
"PREDICTED: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Octopus bimaculoides]",Octopus bimaculoides,520,520,94%,5e-164,32.50,1070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014789384.1?report=genbank&log$=prottop&blast_rank=11&RID=0CVPGZ17013"",""XP_014789384.1"")"
hypothetical protein OCBIM_22018100mg [Octopus bimaculoides],Octopus bimaculoides,507,507,73%,1e-161,36.89,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF63954.1?report=genbank&log$=prottop&blast_rank=12&RID=0CVPGZ17013"",""KOF63954.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform-like [Acropora millepora]",Acropora millepora,511,511,84%,8e-161,32.68,1044,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029206897.2?report=genbank&log$=prottop&blast_rank=13&RID=0CVPGZ17013"",""XP_029206897.2"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,499,499,77%,1e-158,36.05,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030842909.1?report=genbank&log$=prottop&blast_rank=14&RID=0CVPGZ17013"",""XP_030842909.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform-like isoform X2 [Ciona intestinalis]",Ciona intestinalis,504,504,94%,7e-158,31.54,1080,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696339.1?report=genbank&log$=prottop&blast_rank=15&RID=0CVPGZ17013"",""XP_026696339.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform-like isoform X1 [Ciona intestinalis]",Ciona intestinalis,502,502,94%,4e-157,31.72,1082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122027.2?report=genbank&log$=prottop&blast_rank=16&RID=0CVPGZ17013"",""XP_002122027.2"")"
"LOW QUALITY PROTEIN: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform-like [Ciona intestinalis]",Ciona intestinalis,500,500,92%,8e-157,32.96,1043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004227276.2?report=genbank&log$=prottop&blast_rank=17&RID=0CVPGZ17013"",""XP_004227276.2"")"
"PREDICTED: phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform-like [Amphimedon queenslandica]",Amphimedon queenslandica,502,502,89%,4e-154,33.43,1375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019855728.1?report=genbank&log$=prottop&blast_rank=18&RID=0CVPGZ17013"",""XP_019855728.1"")"
"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,489,489,73%,1e-152,36.12,1047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030842482.1?report=genbank&log$=prottop&blast_rank=19&RID=0CVPGZ17013"",""XP_030842482.1"")"
