Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
CALML4 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,168,168,100%,9e-52,52.94,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1252076.1?report=genbank&log$=prottop&blast_rank=1&RID=05EEY1S6013"",""CAH1252076.1"")"
calmodulin-like protein 4 [Branchiostoma floridae],Branchiostoma floridae,167,167,100%,2e-51,52.94,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035670805.1?report=genbank&log$=prottop&blast_rank=2&RID=05EEY1S6013"",""XP_035670805.1"")"
calmodulin-like [Asterias rubens],Asterias rubens,137,137,96%,1e-39,45.58,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647800.1?report=genbank&log$=prottop&blast_rank=3&RID=05EEY1S6013"",""XP_033647800.1"")"
calmodulin [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,137,137,96%,2e-39,45.58,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_780862.4?report=genbank&log$=prottop&blast_rank=4&RID=05EEY1S6013"",""XP_780862.4"")"
calmodulin-A [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,135,135,96%,4e-39,44.22,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011675926.1?report=genbank&log$=prottop&blast_rank=5&RID=05EEY1S6013"",""XP_011675926.1"")"
calmodulin [Asterias rubens],Asterias rubens,135,135,96%,4e-39,45.58,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033630644.1?report=genbank&log$=prottop&blast_rank=6&RID=05EEY1S6013"",""XP_033630644.1"")"
calmodulin-beta [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,135,135,96%,5e-39,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011675927.1?report=genbank&log$=prottop&blast_rank=7&RID=05EEY1S6013"",""XP_011675927.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,135,135,96%,7e-39,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854592.1?report=genbank&log$=prottop&blast_rank=8&RID=05EEY1S6013"",""XP_030854592.1"")"
calmodulin [Salpingoeca rosetta],Salpingoeca rosetta,135,135,96%,7e-39,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004993230.1?report=genbank&log$=prottop&blast_rank=9&RID=05EEY1S6013"",""XP_004993230.1"")"
calmodulin [Ciona intestinalis],Ciona intestinalis,135,135,96%,8e-39,44.22,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001027633.1?report=genbank&log$=prottop&blast_rank=10&RID=05EEY1S6013"",""NP_001027633.1"")"
RecName: Full=Calmodulin-2; Short=CaM 2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,134,134,96%,1e-38,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9UB37.3?report=genbank&log$=prottop&blast_rank=11&RID=05EEY1S6013"",""Q9UB37.3"")"
RecName: Full=Calmodulin-2; Short=CaM 2 [Branchiostoma floridae],Branchiostoma floridae,134,134,96%,1e-38,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9XZP2.4?report=genbank&log$=prottop&blast_rank=12&RID=05EEY1S6013"",""Q9XZP2.4"")"
calmodulin-beta-like [Asterias rubens],Asterias rubens,134,134,96%,1e-38,43.54,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625834.1?report=genbank&log$=prottop&blast_rank=13&RID=05EEY1S6013"",""XP_033625834.1"")"
Calmodulin [Caenorhabditis elegans],Caenorhabditis elegans,134,134,96%,1e-38,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_503386.1?report=genbank&log$=prottop&blast_rank=14&RID=05EEY1S6013"",""NP_503386.1"")"
calmodulin [Saccoglossus kowalevskii],Saccoglossus kowalevskii,134,134,96%,1e-38,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001171813.1?report=genbank&log$=prottop&blast_rank=15&RID=05EEY1S6013"",""NP_001171813.1"")"
hypothetical protein DDB_G0279407 [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,134,134,90%,2e-38,46.04,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_641695.1?report=genbank&log$=prottop&blast_rank=16&RID=05EEY1S6013"",""XP_641695.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,134,134,96%,2e-38,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854314.1?report=genbank&log$=prottop&blast_rank=17&RID=05EEY1S6013"",""XP_030854314.1"")"
PREDICTED: calmodulin-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,134,134,96%,2e-38,44.22,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002739903.1?report=genbank&log$=prottop&blast_rank=18&RID=05EEY1S6013"",""XP_002739903.1"")"
calmodulin [Asterias rubens],Asterias rubens,133,133,96%,3e-38,44.22,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QAA95987.1?report=genbank&log$=prottop&blast_rank=19&RID=05EEY1S6013"",""QAA95987.1"")"
calmodulin-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,135,135,96%,3e-38,45.58,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030855323.1?report=genbank&log$=prottop&blast_rank=20&RID=05EEY1S6013"",""XP_030855323.1"")"
CALM1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,133,133,96%,5e-38,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1245061.1?report=genbank&log$=prottop&blast_rank=21&RID=05EEY1S6013"",""CAH1245061.1"")"
calmodulin-alpha isoform X6 [Branchiostoma floridae],Branchiostoma floridae,133,133,93%,5e-38,45.45,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669437.1?report=genbank&log$=prottop&blast_rank=22&RID=05EEY1S6013"",""XP_035669437.1"")"
uncharacterized protein MONBRDRAFT_33928 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,133,133,96%,6e-38,44.90,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001749021.1?report=genbank&log$=prottop&blast_rank=23&RID=05EEY1S6013"",""XP_001749021.1"")"
