Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
guanylate cyclase soluble subunit beta-1-like [Branchiostoma floridae],Branchiostoma floridae,875,875,99%,0.0,68.52,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681741.1?report=genbank&log$=prottop&blast_rank=1&RID=0CHU42W9016"",""XP_035681741.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,873,873,99%,0.0,68.52,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267968.1?report=genbank&log$=prottop&blast_rank=2&RID=0CHU42W9016"",""CAH1267968.1"")"
guanylate cyclase soluble subunit beta-1-like [Asterias rubens],Asterias rubens,798,798,98%,0.0,62.38,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632257.1?report=genbank&log$=prottop&blast_rank=3&RID=0CHU42W9016"",""XP_033632257.1"")"
guanylate cyclase soluble subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,750,750,99%,0.0,58.08,604,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_786686.3?report=genbank&log$=prottop&blast_rank=4&RID=0CHU42W9016"",""XP_786686.3"")"
guanylate cyclase soluble subunit beta-1-like isoform X2 [Ciona intestinalis],Ciona intestinalis,736,736,99%,0.0,54.52,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026696428.1?report=genbank&log$=prottop&blast_rank=5&RID=0CHU42W9016"",""XP_026696428.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-1-like [Octopus bimaculoides],Octopus bimaculoides,684,684,94%,0.0,57.41,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014783808.1?report=genbank&log$=prottop&blast_rank=6&RID=0CHU42W9016"",""XP_014783808.1"")"
hypothetical protein OCBIM_22039505mg [Octopus bimaculoides],Octopus bimaculoides,543,543,73%,0.0,58.28,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF72379.1?report=genbank&log$=prottop&blast_rank=7&RID=0CHU42W9016"",""KOF72379.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-1-like [Hydra vulgaris],Hydra vulgaris,488,488,99%,8e-162,41.69,749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012553640.1?report=genbank&log$=prottop&blast_rank=8&RID=0CHU42W9016"",""XP_012553640.1"")"
guanylate cyclase soluble subunit beta-1-like isoform X1 [Ciona intestinalis],Ciona intestinalis,464,765,97%,2e-153,59.47,706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122297.2?report=genbank&log$=prottop&blast_rank=9&RID=0CHU42W9016"",""XP_002122297.2"")"
PREDICTED: LOW QUALITY PROTEIN: guanylate cyclase soluble subunit beta-1-like [Priapulus caudatus],Priapulus caudatus,427,427,50%,5e-144,63.64,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670677.1?report=genbank&log$=prottop&blast_rank=10&RID=0CHU42W9016"",""XP_014670677.1"")"
guanylate cyclase soluble subunit beta-2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,435,435,98%,9e-142,39.52,735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030837424.1?report=genbank&log$=prottop&blast_rank=11&RID=0CHU42W9016"",""XP_030837424.1"")"
hypothetical protein OCBIM_22039505mg [Octopus bimaculoides],Octopus bimaculoides,410,410,57%,9e-137,56.34,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF72378.1?report=genbank&log$=prottop&blast_rank=12&RID=0CHU42W9016"",""KOF72378.1"")"
guanylate cyclase soluble subunit beta-2-like isoform X2 [Asterias rubens],Asterias rubens,420,420,100%,5e-135,37.85,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638030.1?report=genbank&log$=prottop&blast_rank=13&RID=0CHU42W9016"",""XP_033638030.1"")"
guanylate cyclase soluble subunit beta-2 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,417,417,98%,2e-134,38.51,755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030837423.1?report=genbank&log$=prottop&blast_rank=14&RID=0CHU42W9016"",""XP_030837423.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,415,415,100%,3e-133,35.72,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244445.1?report=genbank&log$=prottop&blast_rank=15&RID=0CHU42W9016"",""CAH1244445.1"")"
