Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,130,130,70%,2e-33,34.36,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816113.1?report=genbank&log$=prottop&blast_rank=1&RID=057VPDJ3016"",""XP_006816113.1"")"
voltage-dependent calcium channel gamma-3 subunit-like [Branchiostoma floridae],Branchiostoma floridae,132,132,88%,2e-32,30.99,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696291.1?report=genbank&log$=prottop&blast_rank=2&RID=057VPDJ3016"",""XP_035696291.1"")"
CACNG3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,130,130,88%,9e-32,30.99,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273584.1?report=genbank&log$=prottop&blast_rank=3&RID=057VPDJ3016"",""CAH1273584.1"")"
transmembrane GluA regulatory protein [Ciona intestinalis],Ciona intestinalis,129,129,58%,1e-30,34.69,753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAV92798.1?report=genbank&log$=prottop&blast_rank=4&RID=057VPDJ3016"",""BAV92798.1"")"
voltage-dependent calcium channel gamma-5 subunit-like [Branchiostoma floridae],Branchiostoma floridae,118,118,71%,4e-28,31.36,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696133.1?report=genbank&log$=prottop&blast_rank=5&RID=057VPDJ3016"",""XP_035696133.1"")"
uncharacterized protein LOC113474605 [Ciona intestinalis],Ciona intestinalis,121,121,58%,5e-28,33.67,755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026692152.1?report=genbank&log$=prottop&blast_rank=6&RID=057VPDJ3016"",""XP_026692152.1"")"
CACNG5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,114,114,63%,6e-27,32.70,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273586.1?report=genbank&log$=prottop&blast_rank=7&RID=057VPDJ3016"",""CAH1273586.1"")"
PREDICTED: voltage-dependent calcium channel gamma-7 subunit-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,98.6,98.6,45%,1e-21,35.53,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006822518.1?report=genbank&log$=prottop&blast_rank=8&RID=057VPDJ3016"",""XP_006822518.1"")"
hypothetical protein OCBIM_22024219mg [Octopus bimaculoides],Octopus bimaculoides,95.9,95.9,66%,2e-19,31.72,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF83196.1?report=genbank&log$=prottop&blast_rank=9&RID=057VPDJ3016"",""KOF83196.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Octopus bimaculoides],Octopus bimaculoides,95.1,95.1,66%,3e-19,31.72,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776145.1?report=genbank&log$=prottop&blast_rank=10&RID=057VPDJ3016"",""XP_014776145.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Octopus bimaculoides],Octopus bimaculoides,89.4,89.4,63%,3e-18,30.04,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776155.1?report=genbank&log$=prottop&blast_rank=11&RID=057VPDJ3016"",""XP_014776155.1"")"
voltage-dependent calcium channel gamma-5 subunit-like [Asterias rubens],Asterias rubens,62.0,62.0,65%,2e-08,25.00,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033631002.1?report=genbank&log$=prottop&blast_rank=12&RID=057VPDJ3016"",""XP_033631002.1"")"
hypothetical protein OCBIM_22012762mg [Octopus bimaculoides],Octopus bimaculoides,43.5,43.5,18%,0.009,38.33,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF89619.1?report=genbank&log$=prottop&blast_rank=13&RID=057VPDJ3016"",""KOF89619.1"")"



		


