Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transcription factor AP-1-like [Branchiostoma floridae],Branchiostoma floridae,260,260,99%,5e-83,49.27,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698869.1?report=genbank&log$=prottop&blast_rank=1&RID=04PR9NKY013"",""XP_035698869.1"")"
JUN [Branchiostoma lanceolatum],Branchiostoma lanceolatum,259,259,99%,2e-81,49.85,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244069.1?report=genbank&log$=prottop&blast_rank=2&RID=04PR9NKY013"",""CAH1244069.1"")"
transcription factor AP-1-like [Asterias rubens],Asterias rubens,232,232,98%,8e-72,44.74,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637193.1?report=genbank&log$=prottop&blast_rank=3&RID=04PR9NKY013"",""XP_033637193.1"")"
transcription factor AP-1-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,228,228,98%,2e-70,42.98,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838976.1?report=genbank&log$=prottop&blast_rank=4&RID=04PR9NKY013"",""XP_030838976.1"")"
AP1-like transcription factor [Saccoglossus kowalevskii],Saccoglossus kowalevskii,226,226,97%,3e-70,46.50,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161502.1?report=genbank&log$=prottop&blast_rank=5&RID=04PR9NKY013"",""NP_001161502.1"")"
PREDICTED: transcription factor AP-1-like [Octopus bimaculoides],Octopus bimaculoides,227,227,97%,3e-70,44.71,294,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768778.1?report=genbank&log$=prottop&blast_rank=6&RID=04PR9NKY013"",""XP_014768778.1"")"
c-jun proto-oncogene [Octopus vulgaris],Octopus vulgaris,222,222,97%,3e-68,43.50,293,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AWJ58224.1?report=genbank&log$=prottop&blast_rank=7&RID=04PR9NKY013"",""AWJ58224.1"")"
PREDICTED: transcription factor AP-1-like [Priapulus caudatus],Priapulus caudatus,207,207,96%,2e-62,42.64,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014674155.1?report=genbank&log$=prottop&blast_rank=8&RID=04PR9NKY013"",""XP_014674155.1"")"
transcription factor protein [Ciona intestinalis],Ciona intestinalis,199,199,83%,2e-58,44.40,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071996.1?report=genbank&log$=prottop&blast_rank=9&RID=04PR9NKY013"",""NP_001071996.1"")"
PREDICTED: transcription factor AP-1-like [Priapulus caudatus],Priapulus caudatus,196,196,96%,2e-58,40.71,297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014681293.1?report=genbank&log$=prottop&blast_rank=10&RID=04PR9NKY013"",""XP_014681293.1"")"
transcription factor AP-1-like [Acropora millepora],Acropora millepora,163,163,99%,1e-44,34.32,364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029208159.2?report=genbank&log$=prottop&blast_rank=11&RID=04PR9NKY013"",""XP_029208159.2"")"
transcription factor AP-1-like [Acropora millepora],Acropora millepora,158,158,97%,2e-43,36.10,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029213278.1?report=genbank&log$=prottop&blast_rank=12&RID=04PR9NKY013"",""XP_029213278.1"")"
jun protein [Hydra vulgaris],Hydra vulgaris,147,147,87%,4e-39,34.53,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001267768.1?report=genbank&log$=prottop&blast_rank=13&RID=04PR9NKY013"",""NP_001267768.1"")"
transcription factor AP-1-like [Acropora millepora],Acropora millepora,117,117,79%,1e-27,32.12,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029198903.1?report=genbank&log$=prottop&blast_rank=14&RID=04PR9NKY013"",""XP_029198903.1"")"
PREDICTED: uncharacterized protein LOC105851038 [Hydra vulgaris],Hydra vulgaris,115,115,27%,2e-26,57.14,437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012567188.1?report=genbank&log$=prottop&blast_rank=15&RID=04PR9NKY013"",""XP_012567188.1"")"
transcription factor AP-1 [Ephydatia muelleri],Ephydatia muelleri,108,108,87%,2e-24,30.33,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALB75317.1?report=genbank&log$=prottop&blast_rank=16&RID=04PR9NKY013"",""ALB75317.1"")"
