Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1499,1499,95%,0.0,56.50,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253530.1?report=genbank&log$=prottop&blast_rank=1&RID=0CMCEDG1013"",""CAH1253530.1"")"
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1498,1498,95%,0.0,56.50,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253529.1?report=genbank&log$=prottop&blast_rank=2&RID=0CMCEDG1013"",""CAH1253529.1"")"
ROCK2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1472,1472,95%,0.0,54.41,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253531.1?report=genbank&log$=prottop&blast_rank=3&RID=0CMCEDG1013"",""CAH1253531.1"")"
rho-associated protein kinase 2 isoform X3 [Ciona intestinalis],Ciona intestinalis,1326,1326,97%,0.0,51.38,1382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667972.1?report=genbank&log$=prottop&blast_rank=4&RID=0CMCEDG1013"",""XP_018667972.1"")"
rho-associated protein kinase 2 isoform X1 [Ciona intestinalis],Ciona intestinalis,1326,1326,97%,0.0,51.45,1523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691088.1?report=genbank&log$=prottop&blast_rank=5&RID=0CMCEDG1013"",""XP_026691088.1"")"
rho-associated protein kinase 2 isoform X2 [Ciona intestinalis],Ciona intestinalis,1322,1322,97%,0.0,51.24,1516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691089.1?report=genbank&log$=prottop&blast_rank=6&RID=0CMCEDG1013"",""XP_026691089.1"")"
rho-associated protein kinase 2-like isoform X2 [Acropora millepora],Acropora millepora,1322,1322,95%,0.0,51.80,1387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194535.2?report=genbank&log$=prottop&blast_rank=7&RID=0CMCEDG1013"",""XP_029194535.2"")"
rho-associated protein kinase 2-like isoform X1 [Acropora millepora],Acropora millepora,1320,1320,95%,0.0,51.76,1390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194534.2?report=genbank&log$=prottop&blast_rank=8&RID=0CMCEDG1013"",""XP_029194534.2"")"
PREDICTED: rho-associated protein kinase 2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,1269,1269,96%,0.0,49.46,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780189.1?report=genbank&log$=prottop&blast_rank=9&RID=0CMCEDG1013"",""XP_014780189.1"")"
PREDICTED: rho-associated protein kinase 2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,1267,1267,96%,0.0,49.46,1362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780198.1?report=genbank&log$=prottop&blast_rank=10&RID=0CMCEDG1013"",""XP_014780198.1"")"
Rho kinase [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1226,1226,97%,0.0,48.27,1365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001171981.1?report=genbank&log$=prottop&blast_rank=11&RID=0CMCEDG1013"",""NP_001171981.1"")"
rho kinase isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1225,1225,97%,0.0,48.23,1367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838506.1?report=genbank&log$=prottop&blast_rank=12&RID=0CMCEDG1013"",""XP_030838506.1"")"
rho kinase isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1223,1223,97%,0.0,48.30,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838507.1?report=genbank&log$=prottop&blast_rank=13&RID=0CMCEDG1013"",""XP_030838507.1"")"
rho kinase isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1222,1222,96%,0.0,48.29,1352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838508.1?report=genbank&log$=prottop&blast_rank=14&RID=0CMCEDG1013"",""XP_030838508.1"")"
