Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,449,449,84%,2e-150,49.91,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006824096.1?report=genbank&log$=prottop&blast_rank=1&RID=082RCCZE013"",""XP_006824096.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,446,446,66%,2e-149,55.56,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770234.1?report=genbank&log$=prottop&blast_rank=2&RID=082RCCZE013"",""XP_014770234.1"")"
hypothetical protein OCBIM_22008355mg [Octopus bimaculoides],Octopus bimaculoides,441,441,51%,7e-149,64.69,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF91627.1?report=genbank&log$=prottop&blast_rank=3&RID=082RCCZE013"",""KOF91627.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,441,441,65%,1e-148,55.20,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770236.1?report=genbank&log$=prottop&blast_rank=4&RID=082RCCZE013"",""XP_014770236.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like isoform X6 [Octopus bimaculoides],Octopus bimaculoides,438,438,49%,1e-148,66.45,319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770239.1?report=genbank&log$=prottop&blast_rank=5&RID=082RCCZE013"",""XP_014770239.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,443,443,66%,1e-148,55.58,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770235.1?report=genbank&log$=prottop&blast_rank=6&RID=082RCCZE013"",""XP_014770235.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X4 [Octopus bimaculoides],Octopus bimaculoides,440,440,51%,2e-148,64.78,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770237.1?report=genbank&log$=prottop&blast_rank=7&RID=082RCCZE013"",""XP_014770237.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit gamma-1-like isoform X5 [Octopus bimaculoides],Octopus bimaculoides,439,439,51%,5e-148,64.78,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014770238.1?report=genbank&log$=prottop&blast_rank=8&RID=082RCCZE013"",""XP_014770238.1"")"
5'-AMP-activated protein kinase subunit gamma-2-like isoform X2 [Asterias rubens],Asterias rubens,433,433,49%,3e-146,65.58,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640026.1?report=genbank&log$=prottop&blast_rank=9&RID=082RCCZE013"",""XP_033640026.1"")"
5'-AMP-activated protein kinase subunit gamma-2-like isoform X1 [Asterias rubens],Asterias rubens,432,432,49%,1e-145,66.01,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640025.1?report=genbank&log$=prottop&blast_rank=10&RID=082RCCZE013"",""XP_033640025.1"")"
5'-AMP-activated protein kinase subunit gamma-1-like isoform X3 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,436,436,84%,5e-145,47.74,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836255.1?report=genbank&log$=prottop&blast_rank=11&RID=082RCCZE013"",""XP_030836255.1"")"
