Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ETS domain-containing protein Elk-3-like isoform X3 [Asterias rubens],Asterias rubens,162,162,21%,4e-43,78.65,418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647862.1?report=genbank&log$=prottop&blast_rank=1&RID=04R6Y775013"",""XP_033647862.1"")"
ETS domain-containing protein Elk-3-like isoform X2 [Asterias rubens],Asterias rubens,162,162,21%,5e-43,78.65,432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647861.1?report=genbank&log$=prottop&blast_rank=2&RID=04R6Y775013"",""XP_033647861.1"")"
ETS domain-containing protein Elk-3-like isoform X1 [Asterias rubens],Asterias rubens,163,163,21%,6e-43,78.65,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647860.1?report=genbank&log$=prottop&blast_rank=3&RID=04R6Y775013"",""XP_033647860.1"")"
transcription factor Elk [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,162,162,20%,8e-43,82.14,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_999792.1?report=genbank&log$=prottop&blast_rank=4&RID=04R6Y775013"",""NP_999792.1"")"
PREDICTED: ETS domain-containing protein Elk-3-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,157,157,21%,3e-41,77.53,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002737846.1?report=genbank&log$=prottop&blast_rank=5&RID=04R6Y775013"",""XP_002737846.1"")"
Elk protein [Ciona intestinalis],Ciona intestinalis,158,158,21%,1e-39,79.12,946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001116439.1?report=genbank&log$=prottop&blast_rank=6&RID=04R6Y775013"",""NP_001116439.1"")"
Elk protein [Ciona intestinalis],Ciona intestinalis,155,155,21%,8e-39,78.89,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD58966.1?report=genbank&log$=prottop&blast_rank=7&RID=04R6Y775013"",""CAD58966.1"")"
ELK1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,150,197,41%,1e-38,77.66,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265119.1?report=genbank&log$=prottop&blast_rank=8&RID=04R6Y775013"",""CAH1265119.1"")"
ELK1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,150,197,41%,1e-38,77.66,438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265120.1?report=genbank&log$=prottop&blast_rank=9&RID=04R6Y775013"",""CAH1265120.1"")"
ETS domain-containing protein Elk-3-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,148,193,51%,9e-38,77.42,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676504.1?report=genbank&log$=prottop&blast_rank=10&RID=04R6Y775013"",""XP_035676504.1"")"
ETS domain-containing protein Elk-3-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,148,193,51%,1e-37,77.42,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676503.1?report=genbank&log$=prottop&blast_rank=11&RID=04R6Y775013"",""XP_035676503.1"")"
protein C-ets-2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,123,123,19%,2e-31,65.00,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030834104.1?report=genbank&log$=prottop&blast_rank=12&RID=04R6Y775013"",""XP_030834104.1"")"
ets-related protein [Hydra vulgaris],Hydra vulgaris,122,122,19%,3e-31,66.25,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAZ66863.1?report=genbank&log$=prottop&blast_rank=13&RID=04R6Y775013"",""AAZ66863.1"")"
protein c-ets-1-B-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,130,130,19%,5e-31,67.50,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672603.1?report=genbank&log$=prottop&blast_rank=14&RID=04R6Y775013"",""XP_035672603.1"")"
protein c-ets-1-B-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,130,130,19%,6e-31,67.50,455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672594.1?report=genbank&log$=prottop&blast_rank=15&RID=04R6Y775013"",""XP_035672594.1"")"
transforming protein p54/c-ets-1-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,130,130,19%,7e-31,67.50,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672578.1?report=genbank&log$=prottop&blast_rank=16&RID=04R6Y775013"",""XP_035672578.1"")"
transforming protein p54/c-ets-1-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,130,130,19%,8e-31,67.50,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035672586.1?report=genbank&log$=prottop&blast_rank=17&RID=04R6Y775013"",""XP_035672586.1"")"
ETS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,130,130,19%,8e-31,67.50,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263088.1?report=genbank&log$=prottop&blast_rank=18&RID=04R6Y775013"",""CAH1263088.1"")"
ETS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,130,130,19%,1e-30,67.50,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263089.1?report=genbank&log$=prottop&blast_rank=19&RID=04R6Y775013"",""CAH1263089.1"")"
