Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,327,389,85%,4e-97,32.34,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=1&RID=0MW1440Z013"",""XP_029185280.2"")"
PREDICTED: cytosolic phospholipase A2-like isoform X5 [Priapulus caudatus],Priapulus caudatus,328,328,77%,7e-97,32.05,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670507.1?report=genbank&log$=prottop&blast_rank=2&RID=0MW1440Z013"",""XP_014670507.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,325,325,77%,6e-96,31.83,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670505.1?report=genbank&log$=prottop&blast_rank=3&RID=0MW1440Z013"",""XP_014670505.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,321,321,77%,3e-94,31.79,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670504.1?report=genbank&log$=prottop&blast_rank=4&RID=0MW1440Z013"",""XP_014670504.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,318,318,77%,3e-93,31.57,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670499.1?report=genbank&log$=prottop&blast_rank=5&RID=0MW1440Z013"",""XP_014670499.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,313,313,66%,2e-92,33.02,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670506.1?report=genbank&log$=prottop&blast_rank=6&RID=0MW1440Z013"",""XP_014670506.1"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,318,318,71%,2e-92,33.54,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=7&RID=0MW1440Z013"",""XP_014668727.1"")"
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,311,311,62%,3e-91,34.70,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=8&RID=0MW1440Z013"",""XP_035685090.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,306,306,62%,2e-89,34.01,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=9&RID=0MW1440Z013"",""CAH1272832.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,238,384,63%,1e-63,39.52,880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780744.1?report=genbank&log$=prottop&blast_rank=10&RID=0MW1440Z013"",""XP_014780744.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,238,382,58%,1e-63,39.52,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780743.1?report=genbank&log$=prottop&blast_rank=11&RID=0MW1440Z013"",""XP_014780743.1"")"
hypothetical protein OCBIM_22033016mg [Octopus bimaculoides],Octopus bimaculoides,232,377,54%,3e-62,41.55,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76715.1?report=genbank&log$=prottop&blast_rank=12&RID=0MW1440Z013"",""KOF76715.1"")"
cytosolic phospholipase A2-like isoform X2 [Acropora millepora],Acropora millepora,194,265,49%,4e-50,34.56,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185675.2?report=genbank&log$=prottop&blast_rank=13&RID=0MW1440Z013"",""XP_029185675.2"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,196,383,73%,7e-50,34.68,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=14&RID=0MW1440Z013"",""XP_029185674.2"")"
cytosolic phospholipase A2 isoform X5 [Ciona intestinalis],Ciona intestinalis,187,321,67%,2e-46,32.01,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669044.1?report=genbank&log$=prottop&blast_rank=15&RID=0MW1440Z013"",""XP_018669044.1"")"
cytosolic phospholipase A2 isoform X4 [Ciona intestinalis],Ciona intestinalis,187,321,67%,2e-46,32.01,916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127884.2?report=genbank&log$=prottop&blast_rank=16&RID=0MW1440Z013"",""XP_002127884.2"")"
cytosolic phospholipase A2 isoform X3 [Ciona intestinalis],Ciona intestinalis,187,321,67%,2e-46,32.01,943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669043.1?report=genbank&log$=prottop&blast_rank=17&RID=0MW1440Z013"",""XP_018669043.1"")"
cytosolic phospholipase A2 isoform X6 [Ciona intestinalis],Ciona intestinalis,186,321,67%,2e-46,32.01,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669045.1?report=genbank&log$=prottop&blast_rank=18&RID=0MW1440Z013"",""XP_018669045.1"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,186,320,67%,8e-46,32.01,1088,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669042.1?report=genbank&log$=prottop&blast_rank=19&RID=0MW1440Z013"",""XP_018669042.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,186,320,67%,1e-45,32.01,1115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691972.1?report=genbank&log$=prottop&blast_rank=20&RID=0MW1440Z013"",""XP_026691972.1"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,173,173,64%,3e-42,25.65,772,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129582.1?report=genbank&log$=prottop&blast_rank=21&RID=0MW1440Z013"",""XP_002129582.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,168,168,64%,1e-40,25.48,776,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026692097.1?report=genbank&log$=prottop&blast_rank=22&RID=0MW1440Z013"",""XP_026692097.1"")"
Cytosolic phospholipase A2 zeta [Fusarium culmorum],Fusarium culmorum,122,122,49%,1e-25,26.77,821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD11214.1?report=genbank&log$=prottop&blast_rank=23&RID=0MW1440Z013"",""PTD11214.1"")"
hypothetical protein AN6211.2 [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,108,108,48%,2e-21,27.02,837,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_663815.1?report=genbank&log$=prottop&blast_rank=24&RID=0MW1440Z013"",""XP_663815.1"")"
cytosolic phospholipase A2 [Ciona intestinalis],Ciona intestinalis,91.7,91.7,47%,1e-16,23.11,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002125337.3?report=genbank&log$=prottop&blast_rank=25&RID=0MW1440Z013"",""XP_002125337.3"")"
EM14S01-3B_G0022350.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,73.6,143,31%,1e-10,26.15,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6638928.1?report=genbank&log$=prottop&blast_rank=26&RID=0MW1440Z013"",""CAD6638928.1"")"
XXYS1_4_G0024940.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,73.6,143,31%,1e-10,26.15,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6641134.1?report=genbank&log$=prottop&blast_rank=27&RID=0MW1440Z013"",""CAD6641134.1"")"
SX2_G0022910.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,73.2,139,31%,2e-10,26.15,1391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6642019.1?report=genbank&log$=prottop&blast_rank=28&RID=0MW1440Z013"",""CAD6642019.1"")"
Lysophospholipase 1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,72.4,72.4,26%,2e-10,26.01,664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ONH72287.1?report=genbank&log$=prottop&blast_rank=29&RID=0MW1440Z013"",""ONH72287.1"")"
HN1_G0018360.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,72.8,139,31%,2e-10,25.80,1385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6639737.1?report=genbank&log$=prottop&blast_rank=30&RID=0MW1440Z013"",""CAD6639737.1"")"
Plb1p [Saccharomyces cerevisiae Lalvin QA23],Saccharomyces cerevisiae Lalvin QA23,71.2,71.2,26%,4e-10,25.64,559,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGA81392.1?report=genbank&log$=prottop&blast_rank=31&RID=0MW1440Z013"",""EGA81392.1"")"
Plb1p [Saccharomyces cerevisiae YJM1418],Saccharomyces cerevisiae YJM1418,70.9,70.9,26%,6e-10,25.64,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJS92439.1?report=genbank&log$=prottop&blast_rank=32&RID=0MW1440Z013"",""AJS92439.1"")"
Plb1p [Saccharomyces cerevisiae YJM1248],Saccharomyces cerevisiae YJM1248,70.9,70.9,26%,6e-10,25.64,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJS80234.1?report=genbank&log$=prottop&blast_rank=33&RID=0MW1440Z013"",""AJS80234.1"")"
Plb1p [Saccharomyces cerevisiae YJM627],Saccharomyces cerevisiae YJM627,70.9,70.9,26%,6e-10,25.64,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJS69748.1?report=genbank&log$=prottop&blast_rank=34&RID=0MW1440Z013"",""AJS69748.1"")"
