Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: fos-related antigen 1-like [Priapulus caudatus],Priapulus caudatus,119,119,38%,3e-28,46.76,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014677654.1?report=genbank&log$=prottop&blast_rank=1&RID=04PVGDN5016"",""XP_014677654.1"")"
transcription factor protein [Ciona intestinalis],Ciona intestinalis,118,118,27%,5e-27,56.25,501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071706.1?report=genbank&log$=prottop&blast_rank=2&RID=04PVGDN5016"",""NP_001071706.1"")"
transcription factor protein isoform X3 [Ciona intestinalis],Ciona intestinalis,118,118,27%,6e-27,56.25,522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009860203.2?report=genbank&log$=prottop&blast_rank=3&RID=04PVGDN5016"",""XP_009860203.2"")"
transcription factor protein isoform X1 [Ciona intestinalis],Ciona intestinalis,118,118,27%,9e-27,56.25,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669415.1?report=genbank&log$=prottop&blast_rank=4&RID=04PVGDN5016"",""XP_018669415.1"")"
transcription factor protein isoform X2 [Ciona intestinalis],Ciona intestinalis,118,118,27%,1e-26,56.25,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009860202.1?report=genbank&log$=prottop&blast_rank=5&RID=04PVGDN5016"",""XP_009860202.1"")"
fos-related antigen 1-like [Branchiostoma floridae],Branchiostoma floridae,99.4,99.4,51%,7e-21,41.53,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035675724.1?report=genbank&log$=prottop&blast_rank=6&RID=04PVGDN5016"",""XP_035675724.1"")"
FOSL1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,94.4,94.4,63%,4e-19,38.67,364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262699.1?report=genbank&log$=prottop&blast_rank=7&RID=04PVGDN5016"",""CAH1262699.1"")"
PREDICTED: fos-related antigen 1-like [Priapulus caudatus],Priapulus caudatus,88.6,88.6,24%,5e-17,62.35,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670401.1?report=genbank&log$=prottop&blast_rank=8&RID=04PVGDN5016"",""XP_014670401.1"")"
PREDICTED: fos-related antigen 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,83.2,83.2,23%,2e-15,53.66,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002741340.2?report=genbank&log$=prottop&blast_rank=9&RID=04PVGDN5016"",""XP_002741340.2"")"
proto-oncogene c-Fos-like isoform X1 [Acropora millepora],Acropora millepora,80.9,80.9,22%,4e-15,50.65,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029183378.1?report=genbank&log$=prottop&blast_rank=10&RID=04PVGDN5016"",""XP_029183378.1"")"
fos-related antigen 2-like isoform X2 [Acropora millepora],Acropora millepora,79.7,79.7,22%,6e-15,50.65,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029183380.1?report=genbank&log$=prottop&blast_rank=11&RID=04PVGDN5016"",""XP_029183380.1"")"
fos-related antigen 2-like [Asterias rubens],Asterias rubens,78.6,78.6,24%,7e-14,53.57,304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628376.1?report=genbank&log$=prottop&blast_rank=12&RID=04PVGDN5016"",""XP_033628376.1"")"
cyclic AMP-dependent transcription factor ATF-3-like [Acropora millepora],Acropora millepora,75.1,75.1,24%,1e-13,42.35,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029183384.1?report=genbank&log$=prottop&blast_rank=13&RID=04PVGDN5016"",""XP_029183384.1"")"
