Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
CACNA2D2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,669,669,81%,0.0,38.40,977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265661.1?report=genbank&log$=prottop&blast_rank=1&RID=056F8DN301R"",""CAH1265661.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1-like [Branchiostoma floridae],Branchiostoma floridae,612,612,75%,0.0,37.74,879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035677175.1?report=genbank&log$=prottop&blast_rank=2&RID=056F8DN301R"",""XP_035677175.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X5 [Asterias rubens],Asterias rubens,611,611,96%,0.0,33.36,1107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647996.1?report=genbank&log$=prottop&blast_rank=3&RID=056F8DN301R"",""XP_033647996.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X4 [Asterias rubens],Asterias rubens,609,609,94%,0.0,33.55,1109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647995.1?report=genbank&log$=prottop&blast_rank=4&RID=056F8DN301R"",""XP_033647995.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X7 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,608,608,95%,0.0,35.00,1093,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828838.1?report=genbank&log$=prottop&blast_rank=5&RID=056F8DN301R"",""XP_030828838.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X1 [Asterias rubens],Asterias rubens,604,604,94%,0.0,33.30,1117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647991.1?report=genbank&log$=prottop&blast_rank=6&RID=056F8DN301R"",""XP_033647991.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X6 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,603,603,95%,0.0,34.74,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828837.1?report=genbank&log$=prottop&blast_rank=7&RID=056F8DN301R"",""XP_030828837.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-2-like isoform X6 [Asterias rubens],Asterias rubens,602,602,94%,0.0,33.42,1100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033647997.1?report=genbank&log$=prottop&blast_rank=8&RID=056F8DN301R"",""XP_033647997.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X8 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,602,602,95%,0.0,34.72,1092,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828839.1?report=genbank&log$=prottop&blast_rank=9&RID=056F8DN301R"",""XP_030828839.1"")"
voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,602,602,95%,0.0,34.68,1103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030828835.1?report=genbank&log$=prottop&blast_rank=10&RID=056F8DN301R"",""XP_030828835.1"")"
