Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
adenylate cyclase type 5-like [Asterias rubens],Asterias rubens,1147,1147,88%,0.0,54.14,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033639896.1?report=genbank&log$=prottop&blast_rank=1&RID=0CP7M8HV016"",""XP_033639896.1"")"
adenylate cyclase type 5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1146,1146,95%,0.0,53.99,1208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846084.1?report=genbank&log$=prottop&blast_rank=2&RID=0CP7M8HV016"",""XP_030846084.1"")"
adenylate cyclase type 5-like [Branchiostoma floridae],Branchiostoma floridae,1026,1026,75%,0.0,57.48,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035689810.1?report=genbank&log$=prottop&blast_rank=3&RID=0CP7M8HV016"",""XP_035689810.1"")"
adenylate cyclase type 6 [Ciona intestinalis],Ciona intestinalis,919,919,88%,0.0,47.65,1222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026693427.1?report=genbank&log$=prottop&blast_rank=4&RID=0CP7M8HV016"",""XP_026693427.1"")"
PREDICTED: adenylate cyclase type 5-like [Priapulus caudatus],Priapulus caudatus,911,911,90%,0.0,46.17,1113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014676369.1?report=genbank&log$=prottop&blast_rank=5&RID=0CP7M8HV016"",""XP_014676369.1"")"
PREDICTED: adenylate cyclase type 5-like [Hydra vulgaris],Hydra vulgaris,828,828,89%,0.0,44.00,1104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012556398.1?report=genbank&log$=prottop&blast_rank=6&RID=0CP7M8HV016"",""XP_012556398.1"")"
adenylate cyclase type 5-like [Acropora millepora],Acropora millepora,794,794,70%,0.0,49.27,789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044166329.1?report=genbank&log$=prottop&blast_rank=7&RID=0CP7M8HV016"",""XP_044166329.1"")"
adenylate cyclase type 8-like [Branchiostoma floridae],Branchiostoma floridae,744,744,88%,0.0,38.68,1753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660331.1?report=genbank&log$=prottop&blast_rank=8&RID=0CP7M8HV016"",""XP_035660331.1"")"
ADCY8 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,742,742,88%,0.0,38.58,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248161.1?report=genbank&log$=prottop&blast_rank=9&RID=0CP7M8HV016"",""CAH1248161.1"")"
PREDICTED: uncharacterized protein LOC106868905 [Octopus bimaculoides],Octopus bimaculoides,740,740,75%,0.0,45.93,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014769851.1?report=genbank&log$=prottop&blast_rank=10&RID=0CP7M8HV016"",""XP_014769851.1"")"
PREDICTED: adenylate cyclase type 8-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,737,737,88%,0.0,40.38,1554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006820732.1?report=genbank&log$=prottop&blast_rank=11&RID=0CP7M8HV016"",""XP_006820732.1"")"
adenylate cyclase type 2-like isoform X1 [Asterias rubens],Asterias rubens,676,676,92%,0.0,37.28,1164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626705.1?report=genbank&log$=prottop&blast_rank=12&RID=0CP7M8HV016"",""XP_033626705.1"")"
adenylate cyclase type 2-like isoform X2 [Asterias rubens],Asterias rubens,675,675,92%,0.0,37.29,1121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626706.1?report=genbank&log$=prottop&blast_rank=13&RID=0CP7M8HV016"",""XP_033626706.1"")"
PREDICTED: adenylate cyclase type 6-like [Octopus bimaculoides],Octopus bimaculoides,662,745,67%,0.0,46.83,713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014789025.1?report=genbank&log$=prottop&blast_rank=14&RID=0CP7M8HV016"",""XP_014789025.1"")"
ADCY2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,657,657,88%,0.0,36.93,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268866.1?report=genbank&log$=prottop&blast_rank=15&RID=0CP7M8HV016"",""CAH1268866.1"")"
ADCY2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,657,657,88%,0.0,36.81,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268842.1?report=genbank&log$=prottop&blast_rank=16&RID=0CP7M8HV016"",""CAH1268842.1"")"
adenylate cyclase type 2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,652,652,78%,0.0,39.59,976,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035678763.1?report=genbank&log$=prottop&blast_rank=17&RID=0CP7M8HV016"",""XP_035678763.1"")"
PREDICTED: adenylate cyclase type 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,650,650,88%,0.0,37.32,1045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825139.1?report=genbank&log$=prottop&blast_rank=18&RID=0CP7M8HV016"",""XP_006825139.1"")"
adenylate cyclase type 2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,649,649,88%,0.0,37.17,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831599.1?report=genbank&log$=prottop&blast_rank=19&RID=0CP7M8HV016"",""XP_030831599.1"")"
PREDICTED: adenylate cyclase type 2-like [Amphimedon queenslandica],Amphimedon queenslandica,644,644,90%,0.0,36.71,1178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019850469.1?report=genbank&log$=prottop&blast_rank=20&RID=0CP7M8HV016"",""XP_019850469.1"")"
adenylate cyclase type 3-like [Branchiostoma floridae],Branchiostoma floridae,639,639,89%,0.0,36.95,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035659644.1?report=genbank&log$=prottop&blast_rank=21&RID=0CP7M8HV016"",""XP_035659644.1"")"
adenylate cyclase type 2 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,638,638,88%,0.0,36.43,1165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831597.1?report=genbank&log$=prottop&blast_rank=22&RID=0CP7M8HV016"",""XP_030831597.1"")"
adenylate cyclase type 3-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,637,637,91%,0.0,35.58,1087,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829913.1?report=genbank&log$=prottop&blast_rank=23&RID=0CP7M8HV016"",""XP_030829913.1"")"
adenylate cyclase type 3-like [Acropora millepora],Acropora millepora,636,636,88%,0.0,37.31,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044181646.1?report=genbank&log$=prottop&blast_rank=24&RID=0CP7M8HV016"",""XP_044181646.1"")"
PREDICTED: adenylate cyclase type 3 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,632,632,88%,0.0,36.59,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734095.1?report=genbank&log$=prottop&blast_rank=25&RID=0CP7M8HV016"",""XP_002734095.1"")"
adenylate cyclase type 3-like [Asterias rubens],Asterias rubens,632,632,93%,0.0,35.66,1073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640430.1?report=genbank&log$=prottop&blast_rank=26&RID=0CP7M8HV016"",""XP_033640430.1"")"
