Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"inositol 1,4,5-trisphosphate receptor type 3 isoform X4 [Gallus gallus]",Gallus gallus,4899,4899,99%,0.0,89.71,2664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040547576.1?report=genbank&log$=prottop&blast_rank=1&RID=0Z02TA91016"",""XP_040547576.1"")"
"inositol 1,4,5-trisphosphate receptor type 3 isoform X1 [Gallus gallus]",Gallus gallus,4882,4882,99%,0.0,88.81,2691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015154473.1?report=genbank&log$=prottop&blast_rank=2&RID=0Z02TA91016"",""XP_015154473.1"")"
"inositol 1,4,5-trisphosphate receptor type 3 isoform X2 [Gallus gallus]",Gallus gallus,4849,4849,99%,0.0,88.72,2686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015154474.1?report=genbank&log$=prottop&blast_rank=3&RID=0Z02TA91016"",""XP_015154474.1"")"
"inositol 1,4,5-trisphosphate receptor type 3 isoform X3 [Gallus gallus]",Gallus gallus,4844,4844,99%,0.0,88.37,2674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024999577.1?report=genbank&log$=prottop&blast_rank=4&RID=0Z02TA91016"",""XP_024999577.1"")"
"inositol 1,4,5-trisphosphate receptor type 3 [Xenopus tropicalis]",Xenopus tropicalis,4502,4502,99%,0.0,83.11,2673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017947060.1?report=genbank&log$=prottop&blast_rank=5&RID=0Z02TA91016"",""XP_017947060.1"")"
hypothetical protein XENTR_v10005564 [Xenopus tropicalis],Xenopus tropicalis,4376,4376,97%,0.0,82.83,2612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8623326.1?report=genbank&log$=prottop&blast_rank=6&RID=0Z02TA91016"",""KAE8623326.1"")"
hypothetical protein XENTR_v10005564 [Xenopus tropicalis],Xenopus tropicalis,4253,4253,95%,0.0,82.67,2547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8623327.1?report=genbank&log$=prottop&blast_rank=7&RID=0Z02TA91016"",""KAE8623327.1"")"
"inositol 1,4,5-trisphosphate receptor type 3 isoform X1 [Carcharodon carcharias]",Carcharodon carcharias,4231,4231,99%,0.0,77.91,2671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041051844.1?report=genbank&log$=prottop&blast_rank=8&RID=0Z02TA91016"",""XP_041051844.1"")"
"inositol 1,4,5-trisphosphate receptor type 3 isoform X3 [Carcharodon carcharias]",Carcharodon carcharias,4127,4127,97%,0.0,77.65,2624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041051846.1?report=genbank&log$=prottop&blast_rank=9&RID=0Z02TA91016"",""XP_041051846.1"")"
"inositol 1,4,5-trisphosphate receptor type 3 isoform X2 [Carcharodon carcharias]",Carcharodon carcharias,4123,4123,98%,0.0,77.50,2624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041051845.1?report=genbank&log$=prottop&blast_rank=10&RID=0Z02TA91016"",""XP_041051845.1"")"
