Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: cAMP-dependent protein kinase catalytic subunit beta-like isoform X2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,580,580,100%,0.0,77.49,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823377.1?report=genbank&log$=prottop&blast_rank=1&RID=0CPZHU1V013"",""XP_006823377.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,578,578,98%,0.0,77.17,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_493605.1?report=genbank&log$=prottop&blast_rank=2&RID=0CPZHU1V013"",""NP_493605.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,576,576,96%,0.0,78.70,370,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740958.1?report=genbank&log$=prottop&blast_rank=3&RID=0CPZHU1V013"",""NP_740958.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,575,575,96%,0.0,78.40,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740954.1?report=genbank&log$=prottop&blast_rank=4&RID=0CPZHU1V013"",""NP_740954.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit beta isoform X4 [Priapulus caudatus],Priapulus caudatus,575,575,100%,0.0,77.49,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671348.1?report=genbank&log$=prottop&blast_rank=5&RID=0CPZHU1V013"",""XP_014671348.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,573,573,96%,0.0,78.40,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740960.1?report=genbank&log$=prottop&blast_rank=6&RID=0CPZHU1V013"",""NP_740960.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,572,572,95%,0.0,78.87,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740956.1?report=genbank&log$=prottop&blast_rank=7&RID=0CPZHU1V013"",""NP_740956.1"")"
cAMP-dependent protein kinase catalytic subunit [Caenorhabditis elegans],Caenorhabditis elegans,572,572,95%,0.0,79.04,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_740962.1?report=genbank&log$=prottop&blast_rank=8&RID=0CPZHU1V013"",""NP_740962.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X7 [Octopus bimaculoides],Octopus bimaculoides,569,569,100%,0.0,75.78,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777153.1?report=genbank&log$=prottop&blast_rank=9&RID=0CPZHU1V013"",""XP_014777153.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit beta-like isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,568,568,94%,0.0,79.58,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823376.1?report=genbank&log$=prottop&blast_rank=10&RID=0CPZHU1V013"",""XP_006823376.1"")"
cAMP-dependent protein kinase [Branchiostoma floridae],Branchiostoma floridae,567,567,99%,0.0,76.00,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QLM02919.1?report=genbank&log$=prottop&blast_rank=11&RID=0CPZHU1V013"",""QLM02919.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit alpha isoform X8 [Octopus bimaculoides],Octopus bimaculoides,566,566,100%,0.0,75.21,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777154.1?report=genbank&log$=prottop&blast_rank=12&RID=0CPZHU1V013"",""XP_014777154.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X2 [Priapulus caudatus],Priapulus caudatus,562,562,95%,0.0,79.04,417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671346.1?report=genbank&log$=prottop&blast_rank=13&RID=0CPZHU1V013"",""XP_014671346.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X6 [Octopus bimaculoides],Octopus bimaculoides,562,562,96%,0.0,77.29,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777152.1?report=genbank&log$=prottop&blast_rank=14&RID=0CPZHU1V013"",""XP_014777152.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X5 [Octopus bimaculoides],Octopus bimaculoides,560,560,100%,0.0,73.15,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777151.1?report=genbank&log$=prottop&blast_rank=15&RID=0CPZHU1V013"",""XP_014777151.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X3 [Octopus bimaculoides],Octopus bimaculoides,558,558,95%,0.0,77.38,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777149.1?report=genbank&log$=prottop&blast_rank=16&RID=0CPZHU1V013"",""XP_014777149.1"")"
cAMP-dependent protein kinase catalytic subunit alpha isoform X1 [Acropora millepora],Acropora millepora,556,556,100%,0.0,74.64,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029197514.1?report=genbank&log$=prottop&blast_rank=17&RID=0CPZHU1V013"",""XP_029197514.1"")"
cAMP-dependent protein kinase catalytic subunit alpha isoform X3 [Ciona intestinalis],Ciona intestinalis,556,556,100%,0.0,73.79,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009859326.1?report=genbank&log$=prottop&blast_rank=18&RID=0CPZHU1V013"",""XP_009859326.1"")"
cAMP-dependent protein kinase catalytic subunit alpha-like isoform X2 [Asterias rubens],Asterias rubens,556,556,100%,0.0,73.58,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637041.1?report=genbank&log$=prottop&blast_rank=19&RID=0CPZHU1V013"",""XP_033637041.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X4 [Octopus bimaculoides],Octopus bimaculoides,555,555,95%,0.0,76.79,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777150.1?report=genbank&log$=prottop&blast_rank=20&RID=0CPZHU1V013"",""XP_014777150.1"")"
PRKACA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,553,553,97%,0.0,72.48,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244002.1?report=genbank&log$=prottop&blast_rank=21&RID=0CPZHU1V013"",""CAH1244002.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit alpha [Hydra vulgaris],Hydra vulgaris,551,551,100%,0.0,75.21,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002163934.1?report=genbank&log$=prottop&blast_rank=22&RID=0CPZHU1V013"",""XP_002163934.1"")"
cAMP-dependent protein kinase catalytic subunit alpha-like isoform X1 [Asterias rubens],Asterias rubens,551,551,100%,0.0,71.39,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637040.1?report=genbank&log$=prottop&blast_rank=23&RID=0CPZHU1V013"",""XP_033637040.1"")"
PREDICTED: cAMP-dependent protein kinase catalytic subunit isoform X1 [Octopus bimaculoides],Octopus bimaculoides,550,550,95%,0.0,74.57,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777146.1?report=genbank&log$=prottop&blast_rank=24&RID=0CPZHU1V013"",""XP_014777146.1"")"
cAMP-dependent protein kinase catalytic subunit alpha isoform X2 [Acropora millepora],Acropora millepora,548,548,98%,0.0,73.49,348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029197515.1?report=genbank&log$=prottop&blast_rank=25&RID=0CPZHU1V013"",""XP_029197515.1"")"
