Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PRKAA2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,729,729,98%,0.0,65.30,563,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1243750.1?report=genbank&log$=prottop&blast_rank=1&RID=6JGNUZ6W013"",""CAH1243750.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,728,728,98%,0.0,67.14,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161501.1?report=genbank&log$=prottop&blast_rank=2&RID=6JGNUZ6W013"",""NP_001161501.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X9 [Branchiostoma floridae],Branchiostoma floridae,725,725,98%,0.0,64.95,563,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698906.1?report=genbank&log$=prottop&blast_rank=3&RID=6JGNUZ6W013"",""XP_035698906.1"")"
PRKAA2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,723,723,98%,0.0,64.96,566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1243751.1?report=genbank&log$=prottop&blast_rank=4&RID=6JGNUZ6W013"",""CAH1243751.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X12 [Branchiostoma floridae],Branchiostoma floridae,722,722,98%,0.0,65.71,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698910.1?report=genbank&log$=prottop&blast_rank=5&RID=6JGNUZ6W013"",""XP_035698910.1"")"
PRKAA2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,721,721,98%,0.0,65.05,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1243752.1?report=genbank&log$=prottop&blast_rank=6&RID=6JGNUZ6W013"",""CAH1243752.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X13 [Branchiostoma floridae],Branchiostoma floridae,720,720,98%,0.0,65.47,546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698911.1?report=genbank&log$=prottop&blast_rank=7&RID=6JGNUZ6W013"",""XP_035698911.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X8 [Branchiostoma floridae],Branchiostoma floridae,719,719,98%,0.0,64.60,566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698905.1?report=genbank&log$=prottop&blast_rank=8&RID=6JGNUZ6W013"",""XP_035698905.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X11 [Branchiostoma floridae],Branchiostoma floridae,717,717,98%,0.0,64.99,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698909.1?report=genbank&log$=prottop&blast_rank=9&RID=6JGNUZ6W013"",""XP_035698909.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X10 [Branchiostoma floridae],Branchiostoma floridae,717,717,98%,0.0,65.00,560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698907.1?report=genbank&log$=prottop&blast_rank=10&RID=6JGNUZ6W013"",""XP_035698907.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,713,713,98%,0.0,61.80,590,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698899.1?report=genbank&log$=prottop&blast_rank=11&RID=6JGNUZ6W013"",""XP_035698899.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X5 [Branchiostoma floridae],Branchiostoma floridae,710,710,98%,0.0,62.50,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698902.1?report=genbank&log$=prottop&blast_rank=12&RID=6JGNUZ6W013"",""XP_035698902.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X7 [Branchiostoma floridae],Branchiostoma floridae,708,708,98%,0.0,62.29,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698904.1?report=genbank&log$=prottop&blast_rank=13&RID=6JGNUZ6W013"",""XP_035698904.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,707,707,98%,0.0,61.49,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698897.1?report=genbank&log$=prottop&blast_rank=14&RID=6JGNUZ6W013"",""XP_035698897.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X6 [Branchiostoma floridae],Branchiostoma floridae,707,707,98%,0.0,62.61,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698903.1?report=genbank&log$=prottop&blast_rank=15&RID=6JGNUZ6W013"",""XP_035698903.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X4 [Branchiostoma floridae],Branchiostoma floridae,706,706,98%,0.0,61.82,584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698901.1?report=genbank&log$=prottop&blast_rank=16&RID=6JGNUZ6W013"",""XP_035698901.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,705,705,98%,0.0,61.84,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035698900.1?report=genbank&log$=prottop&blast_rank=17&RID=6JGNUZ6W013"",""XP_035698900.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,704,704,98%,0.0,63.11,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030852246.1?report=genbank&log$=prottop&blast_rank=18&RID=6JGNUZ6W013"",""XP_030852246.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X2 [Asterias rubens],Asterias rubens,692,692,98%,0.0,63.38,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637082.1?report=genbank&log$=prottop&blast_rank=19&RID=6JGNUZ6W013"",""XP_033637082.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like isoform X1 [Asterias rubens],Asterias rubens,688,688,98%,0.0,62.43,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637081.1?report=genbank&log$=prottop&blast_rank=20&RID=6JGNUZ6W013"",""XP_033637081.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like [Ciona intestinalis],Ciona intestinalis,676,676,98%,0.0,61.13,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002119705.2?report=genbank&log$=prottop&blast_rank=21&RID=6JGNUZ6W013"",""XP_002119705.2"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Caenorhabditis elegans],Caenorhabditis elegans,637,637,99%,0.0,58.63,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_510711.2?report=genbank&log$=prottop&blast_rank=22&RID=6JGNUZ6W013"",""NP_510711.2"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2-like [Acropora millepora],Acropora millepora,637,637,98%,0.0,58.60,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044163982.1?report=genbank&log$=prottop&blast_rank=23&RID=6JGNUZ6W013"",""XP_044163982.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Caenorhabditis elegans],Caenorhabditis elegans,634,634,99%,0.0,58.63,562,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001024868.1?report=genbank&log$=prottop&blast_rank=24&RID=6JGNUZ6W013"",""NP_001024868.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Caenorhabditis elegans],Caenorhabditis elegans,632,632,99%,0.0,58.42,626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_510710.2?report=genbank&log$=prottop&blast_rank=25&RID=6JGNUZ6W013"",""NP_510710.2"")"
5'-AMP-activated protein kinase catalytic subunit alpha-2 [Hydra vulgaris],Hydra vulgaris,585,585,98%,0.0,55.21,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012557070.1?report=genbank&log$=prottop&blast_rank=26&RID=6JGNUZ6W013"",""XP_012557070.1"")"
PREDICTED: 5'-AMP-activated protein kinase catalytic subunit alpha-2-like [Amphimedon queenslandica],Amphimedon queenslandica,545,545,98%,0.0,51.17,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003382582.1?report=genbank&log$=prottop&blast_rank=27&RID=6JGNUZ6W013"",""XP_003382582.1"")"
CAMK/CAMKL/AMPK protein kinase [Salpingoeca rosetta],Salpingoeca rosetta,528,528,98%,0.0,50.64,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004989329.1?report=genbank&log$=prottop&blast_rank=28&RID=6JGNUZ6W013"",""XP_004989329.1"")"
uncharacterized protein MONBRDRAFT_30993 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,527,527,98%,0.0,49.73,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001742387.1?report=genbank&log$=prottop&blast_rank=29&RID=6JGNUZ6W013"",""XP_001742387.1"")"
5'-AMP-activated protein kinase catalytic subunit alpha-1 [Caenorhabditis elegans],Caenorhabditis elegans,453,453,84%,2e-151,47.67,589,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_741254.3?report=genbank&log$=prottop&blast_rank=30&RID=6JGNUZ6W013"",""NP_741254.3"")"
AMP-activated protein kinase alpha subunit 2 [Caenorhabditis elegans],Caenorhabditis elegans,449,449,84%,6e-150,47.67,589,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAR06927.1?report=genbank&log$=prottop&blast_rank=31&RID=6JGNUZ6W013"",""AAR06927.1"")"
XXYS1_4_G0049920.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,409,409,82%,2e-133,42.54,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6613640.1?report=genbank&log$=prottop&blast_rank=32&RID=6JGNUZ6W013"",""CAD6613640.1"")"
HN1_G0047910.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,408,408,82%,3e-133,42.54,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6613790.1?report=genbank&log$=prottop&blast_rank=33&RID=6JGNUZ6W013"",""CAD6613790.1"")"
SX2_G0048010.mRNA.1.CDS.1 [Saccharomyces cerevisiae],Saccharomyces cerevisiae,407,407,82%,5e-133,42.35,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6614293.1?report=genbank&log$=prottop&blast_rank=34&RID=6JGNUZ6W013"",""CAD6614293.1"")"
Snf1p [Saccharomyces cerevisiae YJM1311],Saccharomyces cerevisiae YJM1311,407,407,82%,8e-133,42.35,635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU91779.1?report=genbank&log$=prottop&blast_rank=35&RID=6JGNUZ6W013"",""AJU91779.1"")"
AMP-activated serine/threonine-protein kinase catalytic subunit SNF1 [Saccharomyces cerevisiae S288C],Saccharomyces cerevisiae S288C,407,407,82%,8e-133,42.35,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_010765.3?report=genbank&log$=prottop&blast_rank=36&RID=6JGNUZ6W013"",""NP_010765.3"")"
Snf1p [Saccharomyces cerevisiae YJM1078],Saccharomyces cerevisiae YJM1078,407,407,82%,9e-133,42.35,635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJP38150.1?report=genbank&log$=prottop&blast_rank=37&RID=6JGNUZ6W013"",""AJP38150.1"")"
Snf1p [Saccharomyces cerevisiae YJM1381],Saccharomyces cerevisiae YJM1381,407,407,82%,9e-133,42.35,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU98137.1?report=genbank&log$=prottop&blast_rank=38&RID=6JGNUZ6W013"",""AJU98137.1"")"
Snf1p [Saccharomyces cerevisiae YJM1463],Saccharomyces cerevisiae YJM1463,406,406,82%,1e-132,42.35,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJV14144.1?report=genbank&log$=prottop&blast_rank=39&RID=6JGNUZ6W013"",""AJV14144.1"")"
Snf1p [Saccharomyces cerevisiae YJM470],Saccharomyces cerevisiae YJM470,406,406,82%,1e-132,42.35,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU68077.1?report=genbank&log$=prottop&blast_rank=40&RID=6JGNUZ6W013"",""AJU68077.1"")"
Snf1p [Saccharomyces cerevisiae YJM270],Saccharomyces cerevisiae YJM270,406,406,82%,1e-132,42.35,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU61737.1?report=genbank&log$=prottop&blast_rank=41&RID=6JGNUZ6W013"",""AJU61737.1"")"
Snf1p [Saccharomyces cerevisiae YJM193],Saccharomyces cerevisiae YJM193,406,406,82%,2e-132,42.35,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU58965.1?report=genbank&log$=prottop&blast_rank=42&RID=6JGNUZ6W013"",""AJU58965.1"")"
Snf1p [Saccharomyces cerevisiae YJM993],Saccharomyces cerevisiae YJM993,406,406,82%,2e-132,42.27,635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY75424.1?report=genbank&log$=prottop&blast_rank=43&RID=6JGNUZ6W013"",""AHY75424.1"")"
Snf1p [Saccharomyces cerevisiae YJM627],Saccharomyces cerevisiae YJM627,406,406,82%,2e-132,42.35,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU70870.1?report=genbank&log$=prottop&blast_rank=44&RID=6JGNUZ6W013"",""AJU70870.1"")"
Snf1p [Saccharomyces cerevisiae YJM1342],Saccharomyces cerevisiae YJM1342,405,405,82%,3e-132,42.16,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJU96029.1?report=genbank&log$=prottop&blast_rank=45&RID=6JGNUZ6W013"",""AJU96029.1"")"
