Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
BST1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,139,139,82%,1e-36,32.95,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249051.1?report=genbank&log$=prottop&blast_rank=1&RID=04RFDHFC013"",""CAH1249051.1"")"
PREDICTED: ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like isoform X2 [Hydra vulgaris],Hydra vulgaris,139,139,88%,1e-36,32.37,307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012555224.1?report=genbank&log$=prottop&blast_rank=2&RID=04RFDHFC013"",""XP_012555224.1"")"
PREDICTED: ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like isoform X1 [Hydra vulgaris],Hydra vulgaris,139,139,88%,2e-36,32.37,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002169944.1?report=genbank&log$=prottop&blast_rank=3&RID=04RFDHFC013"",""XP_002169944.1"")"
PREDICTED: ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Hydra vulgaris],Hydra vulgaris,138,138,90%,4e-36,32.04,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012555016.1?report=genbank&log$=prottop&blast_rank=4&RID=04RFDHFC013"",""XP_012555016.1"")"
ADP-ribosyl cyclase isoform 4 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,138,138,81%,9e-36,31.58,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001243005.1?report=genbank&log$=prottop&blast_rank=5&RID=04RFDHFC013"",""NP_001243005.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Branchiostoma floridae],Branchiostoma floridae,135,135,89%,4e-35,30.71,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661327.1?report=genbank&log$=prottop&blast_rank=6&RID=04RFDHFC013"",""XP_035661327.1"")"
PREDICTED: ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Hydra vulgaris],Hydra vulgaris,135,135,91%,5e-35,32.53,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002161034.1?report=genbank&log$=prottop&blast_rank=7&RID=04RFDHFC013"",""XP_002161034.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,134,134,88%,6e-35,29.89,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030838240.1?report=genbank&log$=prottop&blast_rank=8&RID=04RFDHFC013"",""XP_030838240.1"")"
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Asterias rubens],Asterias rubens,130,130,81%,3e-33,29.25,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033637755.1?report=genbank&log$=prottop&blast_rank=9&RID=04RFDHFC013"",""XP_033637755.1"")"
PREDICTED: ADP-ribosyl cyclase-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,127,127,74%,7e-33,30.87,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735899.2?report=genbank&log$=prottop&blast_rank=10&RID=04RFDHFC013"",""XP_002735899.2"")"
