Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
serine/threonine-protein kinase A-Raf-like isoform X3 [Asterias rubens],Asterias rubens,598,598,89%,0.0,53.09,762,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643434.1?report=genbank&log$=prottop&blast_rank=1&RID=6MMR5JDJ016"",""XP_033643434.1"")"
BRAF [Branchiostoma lanceolatum],Branchiostoma lanceolatum,592,592,89%,0.0,51.88,763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265864.1?report=genbank&log$=prottop&blast_rank=2&RID=6MMR5JDJ016"",""CAH1265864.1"")"
BRAF [Branchiostoma lanceolatum],Branchiostoma lanceolatum,588,588,89%,0.0,50.56,775,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265861.1?report=genbank&log$=prottop&blast_rank=3&RID=6MMR5JDJ016"",""CAH1265861.1"")"
serine/threonine-protein kinase A-Raf-like isoform X2 [Asterias rubens],Asterias rubens,588,588,89%,0.0,52.04,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643428.1?report=genbank&log$=prottop&blast_rank=4&RID=6MMR5JDJ016"",""XP_033643428.1"")"
serine/threonine-protein kinase A-Raf-like isoform X1 [Asterias rubens],Asterias rubens,587,587,89%,0.0,51.46,808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643421.1?report=genbank&log$=prottop&blast_rank=5&RID=6MMR5JDJ016"",""XP_033643421.1"")"
BRAF [Branchiostoma lanceolatum],Branchiostoma lanceolatum,585,585,89%,0.0,50.72,777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265863.1?report=genbank&log$=prottop&blast_rank=6&RID=6MMR5JDJ016"",""CAH1265863.1"")"
serine/threonine-protein kinase A-Raf isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,576,576,89%,0.0,50.90,750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_781094.4?report=genbank&log$=prottop&blast_rank=7&RID=6MMR5JDJ016"",""XP_781094.4"")"
serine/threonine-protein kinase A-Raf isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,575,575,89%,0.0,49.92,793,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003725081.2?report=genbank&log$=prottop&blast_rank=8&RID=6MMR5JDJ016"",""XP_003725081.2"")"
serine/threonine-protein kinase A-Raf-like [Acropora millepora],Acropora millepora,530,530,88%,6e-178,46.59,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029212189.1?report=genbank&log$=prottop&blast_rank=9&RID=6MMR5JDJ016"",""XP_029212189.1"")"
serine/threonine-protein kinase A-Raf [Hydra vulgaris],Hydra vulgaris,531,531,92%,9e-178,46.38,775,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002156903.4?report=genbank&log$=prottop&blast_rank=10&RID=6MMR5JDJ016"",""XP_002156903.4"")"
serine/threonine protein kinase [Ciona intestinalis],Ciona intestinalis,481,481,91%,6e-159,44.50,739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071805.1?report=genbank&log$=prottop&blast_rank=11&RID=6MMR5JDJ016"",""NP_001071805.1"")"
serine/threonine protein kinase isoform X3 [Ciona intestinalis],Ciona intestinalis,481,481,91%,2e-158,43.76,765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671190.1?report=genbank&log$=prottop&blast_rank=12&RID=6MMR5JDJ016"",""XP_018671190.1"")"
serine/threonine protein kinase isoform X1 [Ciona intestinalis],Ciona intestinalis,470,470,91%,8e-154,42.15,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671188.1?report=genbank&log$=prottop&blast_rank=13&RID=6MMR5JDJ016"",""XP_018671188.1"")"
serine/threonine protein kinase isoform X2 [Ciona intestinalis],Ciona intestinalis,468,468,91%,5e-153,42.30,797,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018671189.1?report=genbank&log$=prottop&blast_rank=14&RID=6MMR5JDJ016"",""XP_018671189.1"")"
BRAF [Branchiostoma lanceolatum],Branchiostoma lanceolatum,459,617,82%,1e-149,67.67,811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1265862.1?report=genbank&log$=prottop&blast_rank=15&RID=6MMR5JDJ016"",""CAH1265862.1"")"
