Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transcription factor protein [Ciona intestinalis],Ciona intestinalis,131,131,76%,2e-31,34.71,501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001071706.1?report=genbank&log$=prottop&blast_rank=1&RID=04PTRR0G013"",""NP_001071706.1"")"
transcription factor protein isoform X3 [Ciona intestinalis],Ciona intestinalis,131,131,76%,3e-31,34.71,522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009860203.2?report=genbank&log$=prottop&blast_rank=2&RID=04PTRR0G013"",""XP_009860203.2"")"
transcription factor protein isoform X1 [Ciona intestinalis],Ciona intestinalis,131,131,76%,4e-31,34.71,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669415.1?report=genbank&log$=prottop&blast_rank=3&RID=04PTRR0G013"",""XP_018669415.1"")"
transcription factor protein isoform X2 [Ciona intestinalis],Ciona intestinalis,130,130,76%,6e-31,34.71,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009860202.1?report=genbank&log$=prottop&blast_rank=4&RID=04PTRR0G013"",""XP_009860202.1"")"
PREDICTED: fos-related antigen 1-like [Priapulus caudatus],Priapulus caudatus,115,115,31%,1e-26,51.26,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014677654.1?report=genbank&log$=prottop&blast_rank=5&RID=04PTRR0G013"",""XP_014677654.1"")"
PREDICTED: fos-related antigen 1-like [Priapulus caudatus],Priapulus caudatus,90.1,90.1,40%,2e-17,41.98,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670401.1?report=genbank&log$=prottop&blast_rank=6&RID=04PTRR0G013"",""XP_014670401.1"")"
fos-related antigen 1-like [Branchiostoma floridae],Branchiostoma floridae,87.4,87.4,15%,1e-16,64.41,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035675724.1?report=genbank&log$=prottop&blast_rank=7&RID=04PTRR0G013"",""XP_035675724.1"")"
FOSL1 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,87.4,87.4,15%,2e-16,64.41,364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1262699.1?report=genbank&log$=prottop&blast_rank=8&RID=04PTRR0G013"",""CAH1262699.1"")"
proto-oncogene c-Fos-like isoform X1 [Acropora millepora],Acropora millepora,81.6,81.6,19%,2e-15,52.70,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029183378.1?report=genbank&log$=prottop&blast_rank=9&RID=04PTRR0G013"",""XP_029183378.1"")"
fos-related antigen 2-like isoform X2 [Acropora millepora],Acropora millepora,80.9,80.9,19%,3e-15,52.70,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029183380.1?report=genbank&log$=prottop&blast_rank=10&RID=04PTRR0G013"",""XP_029183380.1"")"
