Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transmembrane GluA regulatory protein [Ciona intestinalis],Ciona intestinalis,127,127,45%,5e-29,34.69,753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAV92798.1?report=genbank&log$=prottop&blast_rank=1&RID=059BF0CT013"",""BAV92798.1"")"
voltage-dependent calcium channel gamma-3 subunit-like [Branchiostoma floridae],Branchiostoma floridae,120,120,50%,2e-27,32.71,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696291.1?report=genbank&log$=prottop&blast_rank=2&RID=059BF0CT013"",""XP_035696291.1"")"
CACNG3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,120,120,50%,3e-27,33.02,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273584.1?report=genbank&log$=prottop&blast_rank=3&RID=059BF0CT013"",""CAH1273584.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,115,115,50%,3e-27,30.84,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816113.1?report=genbank&log$=prottop&blast_rank=4&RID=059BF0CT013"",""XP_006816113.1"")"
voltage-dependent calcium channel gamma-5 subunit-like [Branchiostoma floridae],Branchiostoma floridae,117,117,49%,8e-27,29.82,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035696133.1?report=genbank&log$=prottop&blast_rank=5&RID=059BF0CT013"",""XP_035696133.1"")"
uncharacterized protein LOC113474605 [Ciona intestinalis],Ciona intestinalis,120,120,45%,8e-27,33.84,755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026692152.1?report=genbank&log$=prottop&blast_rank=6&RID=059BF0CT013"",""XP_026692152.1"")"
CACNG5 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,116,116,49%,8e-27,29.82,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1273586.1?report=genbank&log$=prottop&blast_rank=7&RID=059BF0CT013"",""CAH1273586.1"")"
hypothetical protein OCBIM_22024219mg [Octopus bimaculoides],Octopus bimaculoides,102,102,49%,7e-21,29.49,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF83196.1?report=genbank&log$=prottop&blast_rank=8&RID=059BF0CT013"",""KOF83196.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Octopus bimaculoides],Octopus bimaculoides,101,101,49%,8e-21,29.49,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776145.1?report=genbank&log$=prottop&blast_rank=9&RID=059BF0CT013"",""XP_014776145.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Octopus bimaculoides],Octopus bimaculoides,94.7,94.7,50%,1e-19,28.32,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014776155.1?report=genbank&log$=prottop&blast_rank=10&RID=059BF0CT013"",""XP_014776155.1"")"
hypothetical protein OCBIM_22024222mg [Octopus bimaculoides],Octopus bimaculoides,70.1,70.1,34%,2e-11,25.83,180,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF83199.1?report=genbank&log$=prottop&blast_rank=11&RID=059BF0CT013"",""KOF83199.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Octopus bimaculoides],Octopus bimaculoides,65.5,65.5,34%,9e-10,26.49,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014788097.1?report=genbank&log$=prottop&blast_rank=12&RID=059BF0CT013"",""XP_014788097.1"")"
hypothetical protein OCBIM_22029385mg [Octopus bimaculoides],Octopus bimaculoides,65.1,65.1,34%,1e-09,26.49,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF97505.1?report=genbank&log$=prottop&blast_rank=13&RID=059BF0CT013"",""KOF97505.1"")"
hypothetical protein OCBIM_22029385mg [Octopus bimaculoides],Octopus bimaculoides,61.6,61.6,19%,1e-08,34.12,170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF97504.1?report=genbank&log$=prottop&blast_rank=14&RID=059BF0CT013"",""KOF97504.1"")"
hypothetical protein OCBIM_22014266mg [Octopus bimaculoides],Octopus bimaculoides,55.1,55.1,13%,2e-07,40.00,62,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF64403.1?report=genbank&log$=prottop&blast_rank=15&RID=059BF0CT013"",""KOF64403.1"")"
PREDICTED: voltage-dependent calcium channel gamma-5 subunit-like [Priapulus caudatus],Priapulus caudatus,52.4,52.4,23%,1e-05,29.13,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014676579.1?report=genbank&log$=prottop&blast_rank=16&RID=059BF0CT013"",""XP_014676579.1"")"
hypothetical protein OCBIM_22027903mg [Octopus bimaculoides],Octopus bimaculoides,46.2,46.2,15%,7e-04,35.82,100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF97958.1?report=genbank&log$=prottop&blast_rank=17&RID=059BF0CT013"",""KOF97958.1"")"
hypothetical protein OCBIM_22012762mg [Octopus bimaculoides],Octopus bimaculoides,42.4,42.4,16%,0.028,32.35,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF89619.1?report=genbank&log$=prottop&blast_rank=18&RID=059BF0CT013"",""KOF89619.1"")"



		


