Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
adenylate cyclase type 9-like [Acropora millepora],Acropora millepora,778,863,89%,0.0,39.26,1163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029182752.1?report=genbank&log$=prottop&blast_rank=1&RID=0CPEVZ5C013"",""XP_029182752.1"")"
adenylate cyclase type 9-like isoform X1 [Ciona intestinalis],Ciona intestinalis,689,773,93%,0.0,37.45,1133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129241.2?report=genbank&log$=prottop&blast_rank=2&RID=0CPEVZ5C013"",""XP_002129241.2"")"
adenylate cyclase type 9-like isoform X2 [Ciona intestinalis],Ciona intestinalis,683,763,92%,0.0,37.62,1119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018670296.1?report=genbank&log$=prottop&blast_rank=3&RID=0CPEVZ5C013"",""XP_018670296.1"")"
adenylate cyclase type 9-like isoform X3 [Ciona intestinalis],Ciona intestinalis,671,750,89%,0.0,37.33,1106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018670297.1?report=genbank&log$=prottop&blast_rank=4&RID=0CPEVZ5C013"",""XP_018670297.1"")"
PREDICTED: adenylate cyclase type 9-like [Hydra vulgaris],Hydra vulgaris,615,615,86%,0.0,34.62,1184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002165241.2?report=genbank&log$=prottop&blast_rank=5&RID=0CPEVZ5C013"",""XP_002165241.2"")"
adenylate cyclase type 9-like [Branchiostoma floridae],Branchiostoma floridae,520,1147,79%,2e-159,50.65,1288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681327.1?report=genbank&log$=prottop&blast_rank=6&RID=0CPEVZ5C013"",""XP_035681327.1"")"
ADCY9 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,519,1147,82%,2e-159,52.30,1250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1266799.1?report=genbank&log$=prottop&blast_rank=7&RID=0CPEVZ5C013"",""CAH1266799.1"")"
PREDICTED: adenylate cyclase type 9-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,494,576,52%,3e-159,49.52,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735526.1?report=genbank&log$=prottop&blast_rank=8&RID=0CPEVZ5C013"",""XP_002735526.1"")"
ADCY9 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,519,1148,82%,4e-159,52.30,1286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1266798.1?report=genbank&log$=prottop&blast_rank=9&RID=0CPEVZ5C013"",""CAH1266798.1"")"
PREDICTED: adenylate cyclase type 9-like [Priapulus caudatus],Priapulus caudatus,461,541,49%,1e-146,49.90,503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668759.1?report=genbank&log$=prottop&blast_rank=10&RID=0CPEVZ5C013"",""XP_014668759.1"")"
adenylate cyclase type 9 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,414,414,35%,5e-129,46.20,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836844.1?report=genbank&log$=prottop&blast_rank=11&RID=0CPEVZ5C013"",""XP_030836844.1"")"
adenylate cyclase type 9-like [Asterias rubens],Asterias rubens,404,404,49%,1e-122,38.68,709,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632435.1?report=genbank&log$=prottop&blast_rank=12&RID=0CPEVZ5C013"",""XP_033632435.1"")"
adenylate cyclase type 9-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,403,403,50%,2e-122,37.34,696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836850.1?report=genbank&log$=prottop&blast_rank=13&RID=0CPEVZ5C013"",""XP_030836850.1"")"
Adenylyl CYclase [Caenorhabditis elegans],Caenorhabditis elegans,411,754,77%,5e-120,44.79,1253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_497970.1?report=genbank&log$=prottop&blast_rank=14&RID=0CPEVZ5C013"",""NP_497970.1"")"
adenylate cyclase type 9-like [Asterias rubens],Asterias rubens,389,389,35%,1e-119,44.11,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033631337.1?report=genbank&log$=prottop&blast_rank=15&RID=0CPEVZ5C013"",""XP_033631337.1"")"
adenylate cyclase type 5-like [Asterias rubens],Asterias rubens,389,389,75%,4e-112,30.29,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033639896.1?report=genbank&log$=prottop&blast_rank=16&RID=0CPEVZ5C013"",""XP_033639896.1"")"
