Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: uncharacterized protein LOC100373148 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,159,159,81%,2e-42,44.63,1070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825374.1?report=genbank&log$=prottop&blast_rank=1&RID=080UR846013"",""XP_006825374.1"")"
PREDICTED: regulator of G-protein signaling 3-like [Priapulus caudatus],Priapulus caudatus,141,141,80%,3e-37,41.38,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014672661.1?report=genbank&log$=prottop&blast_rank=2&RID=080UR846013"",""XP_014672661.1"")"
PREDICTED: regulator of G-protein signaling 2-like [Priapulus caudatus],Priapulus caudatus,138,138,57%,2e-36,50.81,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014662709.1?report=genbank&log$=prottop&blast_rank=3&RID=080UR846013"",""XP_014662709.1"")"
regulator of G-protein signaling 8 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,129,129,58%,6e-35,47.62,191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030853349.1?report=genbank&log$=prottop&blast_rank=4&RID=080UR846013"",""XP_030853349.1"")"
RGS3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,134,134,57%,1e-33,48.39,1197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272168.1?report=genbank&log$=prottop&blast_rank=5&RID=080UR846013"",""CAH1272168.1"")"
PREDICTED: regulator of G-protein signaling 17-like [Priapulus caudatus],Priapulus caudatus,126,126,64%,2e-33,43.88,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014673641.1?report=genbank&log$=prottop&blast_rank=6&RID=080UR846013"",""XP_014673641.1"")"
regulator of G-protein signaling 20-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,124,124,63%,3e-33,42.14,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666686.1?report=genbank&log$=prottop&blast_rank=7&RID=080UR846013"",""XP_035666686.1"")"
uncharacterized protein LOC117303094 isoform X1 [Asterias rubens],Asterias rubens,132,132,82%,4e-33,35.56,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643063.1?report=genbank&log$=prottop&blast_rank=8&RID=080UR846013"",""XP_033643063.1"")"
uncharacterized protein LOC117303094 isoform X2 [Asterias rubens],Asterias rubens,131,131,82%,4e-33,35.56,538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033643064.1?report=genbank&log$=prottop&blast_rank=9&RID=080UR846013"",""XP_033643064.1"")"
regulator of G-protein signaling 20-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,125,125,63%,6e-33,42.14,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035666681.1?report=genbank&log$=prottop&blast_rank=10&RID=080UR846013"",""XP_035666681.1"")"
PREDICTED: regulator of G-protein signaling 20-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,123,123,59%,2e-32,43.41,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006816283.1?report=genbank&log$=prottop&blast_rank=11&RID=080UR846013"",""XP_006816283.1"")"
regulator of G-protein signaling 20 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,122,122,86%,3e-32,34.21,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011679021.1?report=genbank&log$=prottop&blast_rank=12&RID=080UR846013"",""XP_011679021.1"")"
uncharacterized protein LOC118420735 [Branchiostoma floridae],Branchiostoma floridae,129,129,57%,4e-32,46.77,741,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035683583.1?report=genbank&log$=prottop&blast_rank=13&RID=080UR846013"",""XP_035683583.1"")"
regulator of G-protein signaling 20 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,122,122,86%,9e-32,34.21,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_794623.4?report=genbank&log$=prottop&blast_rank=14&RID=080UR846013"",""XP_794623.4"")"
PREDICTED: regulator of G-protein signaling 17-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,122,122,58%,1e-31,43.65,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787790.1?report=genbank&log$=prottop&blast_rank=15&RID=080UR846013"",""XP_014787790.1"")"
PREDICTED: regulator of G-protein signaling 17-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,122,122,58%,1e-31,43.65,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787789.1?report=genbank&log$=prottop&blast_rank=16&RID=080UR846013"",""XP_014787789.1"")"
PREDICTED: regulator of G-protein signaling 17-like isoform X3 [Octopus bimaculoides],Octopus bimaculoides,122,122,58%,1e-31,43.65,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014787791.1?report=genbank&log$=prottop&blast_rank=17&RID=080UR846013"",""XP_014787791.1"")"
regulator of G-protein signaling rgs-2-like isoform X2 [Acropora millepora],Acropora millepora,119,119,61%,1e-30,43.61,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029191434.1?report=genbank&log$=prottop&blast_rank=18&RID=080UR846013"",""XP_029191434.1"")"
