Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytosolic phospholipase A2 isoform X6 [Ciona intestinalis],Ciona intestinalis,456,736,84%,2e-145,53.51,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669045.1?report=genbank&log$=prottop&blast_rank=1&RID=6J5T2XZK013"",""XP_018669045.1"")"
cytosolic phospholipase A2 isoform X5 [Ciona intestinalis],Ciona intestinalis,456,736,84%,2e-145,53.51,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669044.1?report=genbank&log$=prottop&blast_rank=2&RID=6J5T2XZK013"",""XP_018669044.1"")"
cytosolic phospholipase A2 isoform X4 [Ciona intestinalis],Ciona intestinalis,456,736,84%,2e-145,53.51,916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127884.2?report=genbank&log$=prottop&blast_rank=3&RID=6J5T2XZK013"",""XP_002127884.2"")"
cytosolic phospholipase A2 isoform X3 [Ciona intestinalis],Ciona intestinalis,456,736,84%,7e-145,53.51,943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669043.1?report=genbank&log$=prottop&blast_rank=4&RID=6J5T2XZK013"",""XP_018669043.1"")"
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,448,728,82%,4e-144,51.21,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=5&RID=6J5T2XZK013"",""XP_035685090.1"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,457,738,84%,5e-144,53.51,1088,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669042.1?report=genbank&log$=prottop&blast_rank=6&RID=6J5T2XZK013"",""XP_018669042.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,457,739,84%,9e-144,53.51,1115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691972.1?report=genbank&log$=prottop&blast_rank=7&RID=6J5T2XZK013"",""XP_026691972.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,444,723,80%,2e-142,52.25,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=8&RID=6J5T2XZK013"",""CAH1272832.1"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,426,656,84%,3e-134,53.23,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=9&RID=6J5T2XZK013"",""XP_014668727.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X5 [Priapulus caudatus],Priapulus caudatus,382,637,85%,4e-118,47.43,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670507.1?report=genbank&log$=prottop&blast_rank=10&RID=6J5T2XZK013"",""XP_014670507.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,382,639,85%,5e-118,47.43,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670505.1?report=genbank&log$=prottop&blast_rank=11&RID=6J5T2XZK013"",""XP_014670505.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,378,633,85%,2e-116,47.00,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670504.1?report=genbank&log$=prottop&blast_rank=12&RID=6J5T2XZK013"",""XP_014670504.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,377,634,85%,3e-116,47.00,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670499.1?report=genbank&log$=prottop&blast_rank=13&RID=6J5T2XZK013"",""XP_014670499.1"")"
cytosolic phospholipase A2-like isoform X2 [Acropora millepora],Acropora millepora,369,369,50%,8e-116,47.46,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185675.2?report=genbank&log$=prottop&blast_rank=14&RID=6J5T2XZK013"",""XP_029185675.2"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,370,559,80%,8e-114,47.46,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=15&RID=6J5T2XZK013"",""XP_029185674.2"")"
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,327,516,84%,7e-98,41.24,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=16&RID=6J5T2XZK013"",""XP_029185280.2"")"
PREDICTED: cytosolic phospholipase A2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,299,555,74%,8e-88,46.13,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670506.1?report=genbank&log$=prottop&blast_rank=17&RID=6J5T2XZK013"",""XP_014670506.1"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,199,288,77%,3e-51,31.83,772,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129582.1?report=genbank&log$=prottop&blast_rank=18&RID=6J5T2XZK013"",""XP_002129582.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,198,288,77%,8e-51,31.51,776,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026692097.1?report=genbank&log$=prottop&blast_rank=19&RID=6J5T2XZK013"",""XP_026692097.1"")"
Cytosolic phospholipase A2 zeta [Fusarium culmorum],Fusarium culmorum,106,106,34%,7e-21,27.83,821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD11214.1?report=genbank&log$=prottop&blast_rank=20&RID=6J5T2XZK013"",""PTD11214.1"")"
hypothetical protein AN6211.2 [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,101,101,34%,3e-19,26.28,837,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_663815.1?report=genbank&log$=prottop&blast_rank=21&RID=6J5T2XZK013"",""XP_663815.1"")"
cytosolic phospholipase A2 [Ciona intestinalis],Ciona intestinalis,85.1,85.1,22%,1e-14,29.05,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002125337.3?report=genbank&log$=prottop&blast_rank=22&RID=6J5T2XZK013"",""XP_002125337.3"")"
Lysophospholipase [Fusarium culmorum],Fusarium culmorum,80.5,80.5,36%,6e-13,23.94,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD07901.1?report=genbank&log$=prottop&blast_rank=23&RID=6J5T2XZK013"",""PTD07901.1"")"
hypothetical protein AN7792.2 [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,71.2,71.2,35%,5e-10,25.00,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_681061.1?report=genbank&log$=prottop&blast_rank=24&RID=6J5T2XZK013"",""XP_681061.1"")"
hypothetical protein HYE67_000232 [Fusarium culmorum],Fusarium culmorum,70.1,70.1,37%,1e-09,26.67,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPC58001.1?report=genbank&log$=prottop&blast_rank=25&RID=6J5T2XZK013"",""QPC58001.1"")"
Lysophospholipase 2 [Fusarium culmorum],Fusarium culmorum,69.7,69.7,37%,1e-09,26.67,553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD02205.1?report=genbank&log$=prottop&blast_rank=26&RID=6J5T2XZK013"",""PTD02205.1"")"
