Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: elongation factor 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,1453,1453,100%,0.0,80.65,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002736742.1?report=genbank&log$=prottop&blast_rank=1&RID=04XG4PPG016"",""XP_002736742.1"")"
Elongation factor 2 [Caenorhabditis elegans],Caenorhabditis elegans,1426,1426,100%,0.0,78.74,852,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001369996.1?report=genbank&log$=prottop&blast_rank=2&RID=04XG4PPG016"",""NP_001369996.1"")"
elongation factor [Caenorhabditis elegans],Caenorhabditis elegans,1419,1419,100%,0.0,78.51,852,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAD03339.1?report=genbank&log$=prottop&blast_rank=3&RID=04XG4PPG016"",""AAD03339.1"")"
elongation factor 2-like [Asterias rubens],Asterias rubens,1415,1415,100%,0.0,78.09,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033634028.1?report=genbank&log$=prottop&blast_rank=4&RID=04XG4PPG016"",""XP_033634028.1"")"
Elongation factor 2 [Caenorhabditis elegans],Caenorhabditis elegans,1404,1404,98%,0.0,78.67,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367294.1?report=genbank&log$=prottop&blast_rank=5&RID=04XG4PPG016"",""NP_001367294.1"")"
EEF2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1401,1401,100%,0.0,78.07,842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253904.1?report=genbank&log$=prottop&blast_rank=6&RID=04XG4PPG016"",""CAH1253904.1"")"
EEF2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1376,1376,100%,0.0,76.68,842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1253903.1?report=genbank&log$=prottop&blast_rank=7&RID=04XG4PPG016"",""CAH1253903.1"")"
elongation factor 2-like [Acropora millepora],Acropora millepora,1370,1370,100%,0.0,76.92,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194167.1?report=genbank&log$=prottop&blast_rank=8&RID=04XG4PPG016"",""XP_029194167.1"")"
elongation factor 2 [Salpingoeca rosetta],Salpingoeca rosetta,1368,1368,100%,0.0,76.22,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004988723.1?report=genbank&log$=prottop&blast_rank=9&RID=04XG4PPG016"",""XP_004988723.1"")"
translation elongation factor 2-like [Branchiostoma floridae],Branchiostoma floridae,1366,1366,100%,0.0,76.10,842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035668093.1?report=genbank&log$=prottop&blast_rank=10&RID=04XG4PPG016"",""XP_035668093.1"")"
PREDICTED: translation elongation factor 2-like [Hydra vulgaris],Hydra vulgaris,1360,1360,100%,0.0,75.26,843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002157788.1?report=genbank&log$=prottop&blast_rank=11&RID=04XG4PPG016"",""XP_002157788.1"")"
translation elongation factor 2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,1359,1359,100%,0.0,75.23,842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030833135.1?report=genbank&log$=prottop&blast_rank=12&RID=04XG4PPG016"",""XP_030833135.1"")"
uncharacterized protein MONBRDRAFT_11373 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,1340,1340,100%,0.0,73.78,841,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001749170.1?report=genbank&log$=prottop&blast_rank=13&RID=04XG4PPG016"",""XP_001749170.1"")"
PREDICTED: elongation factor 2-like [Priapulus caudatus],Priapulus caudatus,1320,1320,100%,0.0,75.14,825,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670549.1?report=genbank&log$=prottop&blast_rank=14&RID=04XG4PPG016"",""XP_014670549.1"")"
PREDICTED: translation elongation factor 2-like [Octopus bimaculoides],Octopus bimaculoides,1292,1292,100%,0.0,72.79,836,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014786297.1?report=genbank&log$=prottop&blast_rank=15&RID=04XG4PPG016"",""XP_014786297.1"")"
elongation factor 2-like [Ciona intestinalis],Ciona intestinalis,1287,1287,100%,0.0,72.99,841,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026690554.1?report=genbank&log$=prottop&blast_rank=16&RID=04XG4PPG016"",""XP_026690554.1"")"
