Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
voltage-dependent L-type calcium channel subunit alpha-1D isoform X1 [Ciona intestinalis],Ciona intestinalis,2117,2117,78%,0.0,62.40,2268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689962.1?report=genbank&log$=prottop&blast_rank=1&RID=04XK8JMB016"",""XP_026689962.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X5 [Ciona intestinalis],Ciona intestinalis,2109,2109,78%,0.0,62.71,2117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018667169.1?report=genbank&log$=prottop&blast_rank=2&RID=04XK8JMB016"",""XP_018667169.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X2 [Ciona intestinalis],Ciona intestinalis,2102,2102,78%,0.0,62.23,2266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689963.1?report=genbank&log$=prottop&blast_rank=3&RID=04XK8JMB016"",""XP_026689963.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D isoform X3 [Ciona intestinalis],Ciona intestinalis,2090,2090,78%,0.0,61.80,2259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689964.1?report=genbank&log$=prottop&blast_rank=4&RID=04XK8JMB016"",""XP_026689964.1"")"
PREDICTED: LOW QUALITY PROTEIN: muscle calcium channel subunit alpha-1-like [Octopus bimaculoides],Octopus bimaculoides,2031,2031,95%,0.0,53.30,2190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014774811.1?report=genbank&log$=prottop&blast_rank=5&RID=04XK8JMB016"",""XP_014774811.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1974,2031,83%,0.0,62.76,1959,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264648.1?report=genbank&log$=prottop&blast_rank=6&RID=04XK8JMB016"",""CAH1264648.1"")"
voltage-dependent L-type calcium channel subunit alpha-1D-like [Branchiostoma floridae],Branchiostoma floridae,1969,2025,83%,0.0,61.45,2477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035676519.1?report=genbank&log$=prottop&blast_rank=7&RID=04XK8JMB016"",""XP_035676519.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1969,2025,83%,0.0,62.30,2395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264644.1?report=genbank&log$=prottop&blast_rank=8&RID=04XK8JMB016"",""CAH1264644.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1969,2025,83%,0.0,62.30,2321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264651.1?report=genbank&log$=prottop&blast_rank=9&RID=04XK8JMB016"",""CAH1264651.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1968,2025,83%,0.0,61.92,1999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264647.1?report=genbank&log$=prottop&blast_rank=10&RID=04XK8JMB016"",""CAH1264647.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1966,2018,83%,0.0,62.36,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264650.1?report=genbank&log$=prottop&blast_rank=11&RID=04XK8JMB016"",""CAH1264650.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1960,2016,83%,0.0,61.69,2342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264649.1?report=genbank&log$=prottop&blast_rank=12&RID=04XK8JMB016"",""CAH1264649.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1945,2002,83%,0.0,61.97,2204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264642.1?report=genbank&log$=prottop&blast_rank=13&RID=04XK8JMB016"",""CAH1264642.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1944,2001,83%,0.0,61.82,2221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264643.1?report=genbank&log$=prottop&blast_rank=14&RID=04XK8JMB016"",""CAH1264643.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1943,2000,83%,0.0,61.97,2209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264655.1?report=genbank&log$=prottop&blast_rank=15&RID=04XK8JMB016"",""CAH1264655.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1942,1998,83%,0.0,61.82,2226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264654.1?report=genbank&log$=prottop&blast_rank=16&RID=04XK8JMB016"",""CAH1264654.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1941,1993,83%,0.0,62.01,2130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264657.1?report=genbank&log$=prottop&blast_rank=17&RID=04XK8JMB016"",""CAH1264657.1"")"
CACNA1C [Branchiostoma lanceolatum],Branchiostoma lanceolatum,1941,1998,83%,0.0,61.85,2130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1264652.1?report=genbank&log$=prottop&blast_rank=18&RID=04XK8JMB016"",""CAH1264652.1"")"
