Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
myosin light chain kinase 3-like isoform X1 [Ciona intestinalis],Ciona intestinalis,375,375,36%,1e-114,50.00,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009858067.2?report=genbank&log$=prottop&blast_rank=1&RID=0CJPCNFW01R"",""XP_009858067.2"")"
hypothetical protein OCBIM_22003654mg [Octopus bimaculoides],Octopus bimaculoides,354,354,34%,2e-112,52.40,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF70027.1?report=genbank&log$=prottop&blast_rank=2&RID=0CJPCNFW01R"",""KOF70027.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X4 [Octopus bimaculoides]",Octopus bimaculoides,354,354,34%,4e-112,52.40,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785562.1?report=genbank&log$=prottop&blast_rank=3&RID=0CJPCNFW01R"",""XP_014785562.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X3 [Octopus bimaculoides]",Octopus bimaculoides,352,352,34%,4e-111,50.62,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785561.1?report=genbank&log$=prottop&blast_rank=4&RID=0CJPCNFW01R"",""XP_014785561.1"")"
hypothetical protein OCBIM_22003654mg [Octopus bimaculoides],Octopus bimaculoides,343,343,34%,5e-108,48.53,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF70028.1?report=genbank&log$=prottop&blast_rank=5&RID=0CJPCNFW01R"",""KOF70028.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X2 [Octopus bimaculoides]",Octopus bimaculoides,344,344,34%,6e-108,48.53,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785560.1?report=genbank&log$=prottop&blast_rank=6&RID=0CJPCNFW01R"",""XP_014785560.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X1 [Octopus bimaculoides]",Octopus bimaculoides,342,342,30%,6e-107,55.88,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785559.1?report=genbank&log$=prottop&blast_rank=7&RID=0CJPCNFW01R"",""XP_014785559.1"")"
myosin light chain kinase-like protein [Saccoglossus kowalevskii],Saccoglossus kowalevskii,340,340,35%,2e-105,50.31,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161592.1?report=genbank&log$=prottop&blast_rank=8&RID=0CJPCNFW01R"",""NP_001161592.1"")"
"myosin light chain kinase, smooth muscle-like isoform X1 [Asterias rubens]",Asterias rubens,363,721,35%,5e-104,50.31,3506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628654.1?report=genbank&log$=prottop&blast_rank=9&RID=0CJPCNFW01R"",""XP_033628654.1"")"
"myosin light chain kinase, smooth muscle-like isoform X2 [Asterias rubens]",Asterias rubens,362,709,35%,8e-104,50.31,3235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628655.1?report=genbank&log$=prottop&blast_rank=10&RID=0CJPCNFW01R"",""XP_033628655.1"")"
myosin light chain kinase family member 4-like [Branchiostoma floridae],Branchiostoma floridae,333,333,37%,6e-103,43.54,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035674748.1?report=genbank&log$=prottop&blast_rank=11&RID=0CJPCNFW01R"",""XP_035674748.1"")"
titin homolog [Branchiostoma floridae],Branchiostoma floridae,358,358,35%,3e-102,51.53,2379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660911.1?report=genbank&log$=prottop&blast_rank=12&RID=0CJPCNFW01R"",""XP_035660911.1"")"
"myosin light chain kinase, smooth muscle isoform X3 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,357,699,33%,5e-102,53.02,3033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830853.1?report=genbank&log$=prottop&blast_rank=13&RID=0CJPCNFW01R"",""XP_030830853.1"")"
"PREDICTED: myosin light chain kinase 2, skeletal/cardiac muscle-like [Priapulus caudatus]",Priapulus caudatus,323,323,36%,1e-100,47.90,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671846.1?report=genbank&log$=prottop&blast_rank=14&RID=0CJPCNFW01R"",""XP_014671846.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like [Priapulus caudatus]",Priapulus caudatus,323,323,33%,1e-100,50.00,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014663585.1?report=genbank&log$=prottop&blast_rank=15&RID=0CJPCNFW01R"",""XP_014663585.1"")"
"myosin light chain kinase, smooth muscle-like [Asterias rubens]",Asterias rubens,325,325,35%,6e-100,49.53,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628774.1?report=genbank&log$=prottop&blast_rank=16&RID=0CJPCNFW01R"",""XP_033628774.1"")"
"myosin light chain kinase, smooth muscle [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,325,325,35%,6e-100,49.53,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003724502.1?report=genbank&log$=prottop&blast_rank=17&RID=0CJPCNFW01R"",""XP_003724502.1"")"
"myosin light chain kinase, smooth muscle isoform X4 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,348,348,31%,4e-99,53.52,2750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667919.2?report=genbank&log$=prottop&blast_rank=18&RID=0CJPCNFW01R"",""XP_011667919.2"")"
"myosin light chain kinase, smooth muscle isoform X5 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,348,348,31%,4e-99,53.52,2749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667920.2?report=genbank&log$=prottop&blast_rank=19&RID=0CJPCNFW01R"",""XP_011667920.2"")"
PREDICTED: myosin light chain kinase-like protein isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,323,323,34%,1e-98,50.00,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823003.1?report=genbank&log$=prottop&blast_rank=20&RID=0CJPCNFW01R"",""XP_006823003.1"")"
"myosin light chain kinase, smooth muscle isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,347,689,33%,1e-98,53.52,3053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830851.1?report=genbank&log$=prottop&blast_rank=21&RID=0CJPCNFW01R"",""XP_030830851.1"")"
"myosin light chain kinase, smooth muscle isoform X2 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,347,689,33%,1e-98,53.52,3052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830852.1?report=genbank&log$=prottop&blast_rank=22&RID=0CJPCNFW01R"",""XP_030830852.1"")"
"myosin light chain kinase, smooth muscle isoform X1 [Ciona intestinalis]",Ciona intestinalis,341,341,35%,1e-96,49.68,2623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668913.1?report=genbank&log$=prottop&blast_rank=23&RID=0CJPCNFW01R"",""XP_018668913.1"")"
"myosin light chain kinase, smooth muscle isoform X2 [Ciona intestinalis]",Ciona intestinalis,341,341,35%,1e-96,49.68,2349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122169.1?report=genbank&log$=prottop&blast_rank=24&RID=0CJPCNFW01R"",""XP_002122169.1"")"
"myosin light chain kinase, smooth muscle isoform X3 [Ciona intestinalis]",Ciona intestinalis,341,341,35%,2e-96,49.68,2329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668914.1?report=genbank&log$=prottop&blast_rank=25&RID=0CJPCNFW01R"",""XP_018668914.1"")"
MYLK [Branchiostoma lanceolatum],Branchiostoma lanceolatum,337,583,33%,5e-95,48.50,18876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249867.1?report=genbank&log$=prottop&blast_rank=26&RID=0CJPCNFW01R"",""CAH1249867.1"")"
"myosin light chain kinase, smooth muscle-like [Branchiostoma floridae]",Branchiostoma floridae,302,302,27%,1e-92,52.40,346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661607.1?report=genbank&log$=prottop&blast_rank=27&RID=0CJPCNFW01R"",""XP_035661607.1"")"
MYLK3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,303,303,36%,2e-91,37.99,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1256670.1?report=genbank&log$=prottop&blast_rank=28&RID=0CJPCNFW01R"",""CAH1256670.1"")"
MYLK3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,324,324,39%,7e-91,42.74,2485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249869.1?report=genbank&log$=prottop&blast_rank=29&RID=0CJPCNFW01R"",""CAH1249869.1"")"
