Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
MYLK [Branchiostoma lanceolatum],Branchiostoma lanceolatum,742,7564,93%,0.0,33.36,18876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249867.1?report=genbank&log$=prottop&blast_rank=1&RID=0CJBP3HD016"",""CAH1249867.1"")"
titin homolog [Branchiostoma floridae],Branchiostoma floridae,618,1909,86%,0.0,45.40,2379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660911.1?report=genbank&log$=prottop&blast_rank=2&RID=0CJBP3HD016"",""XP_035660911.1"")"
"myosin light chain kinase, smooth muscle-like isoform X1 [Asterias rubens]",Asterias rubens,616,3991,79%,5e-180,44.94,3506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628654.1?report=genbank&log$=prottop&blast_rank=3&RID=0CJBP3HD016"",""XP_033628654.1"")"
"myosin light chain kinase, smooth muscle-like isoform X2 [Asterias rubens]",Asterias rubens,586,3722,78%,4e-170,45.09,3235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628655.1?report=genbank&log$=prottop&blast_rank=4&RID=0CJBP3HD016"",""XP_033628655.1"")"
"myosin light chain kinase, smooth muscle isoform X3 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,572,3580,85%,3e-165,44.51,3033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830853.1?report=genbank&log$=prottop&blast_rank=5&RID=0CJBP3HD016"",""XP_030830853.1"")"
"myosin light chain kinase, smooth muscle isoform X4 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,561,3184,84%,4e-162,43.24,2750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667919.2?report=genbank&log$=prottop&blast_rank=6&RID=0CJBP3HD016"",""XP_011667919.2"")"
"myosin light chain kinase, smooth muscle isoform X5 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,561,3183,84%,4e-162,43.24,2749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667920.2?report=genbank&log$=prottop&blast_rank=7&RID=0CJBP3HD016"",""XP_011667920.2"")"
"myosin light chain kinase, smooth muscle isoform X2 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,560,3568,85%,2e-161,43.30,3052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830852.1?report=genbank&log$=prottop&blast_rank=8&RID=0CJBP3HD016"",""XP_030830852.1"")"
"myosin light chain kinase, smooth muscle isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,560,3568,85%,2e-161,43.24,3053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830851.1?report=genbank&log$=prottop&blast_rank=9&RID=0CJBP3HD016"",""XP_030830851.1"")"
PREDICTED: titin-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,508,1580,82%,1e-146,35.37,1870,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823011.1?report=genbank&log$=prottop&blast_rank=10&RID=0CJBP3HD016"",""XP_006823011.1"")"
