Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"myosin light chain 3, skeletal muscle isoform isoform X2 [Ciona intestinalis]",Ciona intestinalis,191,191,99%,6e-61,57.33,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004225552.1?report=genbank&log$=prottop&blast_rank=1&RID=0CK6Y8EU016"",""XP_004225552.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X3 [Ciona intestinalis]",Ciona intestinalis,188,188,99%,8e-60,56.00,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691471.1?report=genbank&log$=prottop&blast_rank=2&RID=0CK6Y8EU016"",""XP_026691471.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X1 [Ciona intestinalis]",Ciona intestinalis,188,188,98%,1e-59,55.70,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691469.1?report=genbank&log$=prottop&blast_rank=3&RID=0CK6Y8EU016"",""XP_026691469.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,186,186,84%,1e-58,67.69,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_175286220.1?report=genbank&log$=prottop&blast_rank=4&RID=0CK6Y8EU016"",""WP_175286220.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X5 [Ciona intestinalis]",Ciona intestinalis,183,183,99%,6e-58,57.33,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127672.2?report=genbank&log$=prottop&blast_rank=5&RID=0CK6Y8EU016"",""XP_002127672.2"")"
"myosin light chain 3, skeletal muscle isoform isoform X6 [Ciona intestinalis]",Ciona intestinalis,181,181,99%,9e-57,56.00,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004225555.1?report=genbank&log$=prottop&blast_rank=6&RID=0CK6Y8EU016"",""XP_004225555.1"")"
"myosin light chain 3, skeletal muscle isoform isoform X4 [Ciona intestinalis]",Ciona intestinalis,180,180,98%,2e-56,55.70,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009862438.1?report=genbank&log$=prottop&blast_rank=7&RID=0CK6Y8EU016"",""XP_009862438.1"")"
myosin light polypeptide 6-like isoform X3 [Branchiostoma floridae],Branchiostoma floridae,161,161,100%,3e-49,50.66,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657809.1?report=genbank&log$=prottop&blast_rank=8&RID=0CK6Y8EU016"",""XP_035657809.1"")"
myosin-2 essential light chain-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,160,160,99%,8e-49,49.67,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657807.1?report=genbank&log$=prottop&blast_rank=9&RID=0CK6Y8EU016"",""XP_035657807.1"")"
myosin-2 essential light chain-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,160,160,100%,1e-48,50.00,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035657808.1?report=genbank&log$=prottop&blast_rank=10&RID=0CK6Y8EU016"",""XP_035657808.1"")"
myosin-2 essential light chain [Salpingoeca rosetta],Salpingoeca rosetta,150,150,97%,5e-45,50.68,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004989216.1?report=genbank&log$=prottop&blast_rank=11&RID=0CK6Y8EU016"",""XP_004989216.1"")"
PREDICTED: myosin-2 essential light chain-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,149,149,98%,1e-44,48.65,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002738813.1?report=genbank&log$=prottop&blast_rank=12&RID=0CK6Y8EU016"",""XP_002738813.1"")"
myosin-2 essential light chain-like isoform X1 [Acropora millepora],Acropora millepora,149,149,99%,2e-44,49.67,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029201330.1?report=genbank&log$=prottop&blast_rank=13&RID=0CK6Y8EU016"",""XP_029201330.1"")"
uncharacterized protein MONBRDRAFT_39222 [Monosiga brevicollis MX1],Monosiga brevicollis MX1,149,149,97%,2e-44,51.01,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001750619.1?report=genbank&log$=prottop&blast_rank=14&RID=0CK6Y8EU016"",""XP_001750619.1"")"
myosin-2 essential light chain-like [Asterias rubens],Asterias rubens,148,148,97%,4e-44,51.35,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625050.1?report=genbank&log$=prottop&blast_rank=15&RID=0CK6Y8EU016"",""XP_033625050.1"")"
PREDICTED: myosin-2 essential light chain-like isoform X2 [Amphimedon queenslandica],Amphimedon queenslandica,146,146,96%,3e-43,50.00,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003390483.1?report=genbank&log$=prottop&blast_rank=16&RID=0CK6Y8EU016"",""XP_003390483.1"")"
PREDICTED: myosin-2 essential light chain-like isoform X1 [Amphimedon queenslandica],Amphimedon queenslandica,146,146,96%,4e-43,50.00,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003390482.1?report=genbank&log$=prottop&blast_rank=17&RID=0CK6Y8EU016"",""XP_003390482.1"")"
PREDICTED: LOW QUALITY PROTEIN: myosin-2 essential light chain-like [Priapulus caudatus],Priapulus caudatus,145,145,99%,1e-42,50.00,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014675534.1?report=genbank&log$=prottop&blast_rank=18&RID=0CK6Y8EU016"",""XP_014675534.1"")"
"myosin light chain 3, skeletal muscle isoform-like [Asterias rubens]",Asterias rubens,144,144,98%,3e-42,45.95,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033625188.1?report=genbank&log$=prottop&blast_rank=19&RID=0CK6Y8EU016"",""XP_033625188.1"")"
