ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000169418	4881	NPR1	NPR1	108960	P16066	DB00325:DB00727:DB00883:DB01612:DB01613:DB04899:DB05034
ENSG00000073756	5743	PTGS2	PTGS2	600262	P35354	DB00154:DB00159:DB00210:DB00233:DB00244:DB00316:DB00328:DB00461:DB00465:DB00469:DB00480:DB00482:DB00500:DB00533:DB00554:DB00573:DB00580:DB00586:DB00605:DB00712:DB00749:DB00784:DB00788:DB00795:DB00812:DB00814:DB00821:DB00861:DB00870:DB00936:DB00939:DB00945:DB00963:DB00991:DB01009:DB01014:DB01041:DB01050:DB01283:DB01397:DB01399:DB01401:DB01404:DB01419:DB01435:DB01600:DB01628:DB02266:DB02709:DB03477:DB03866:DB04552:DB04725:DB04743:DB05095:DB06725:DB06736:DB06802:DB08439:DB08910:DB09212:DB09213:DB09214:DB09215:DB09216:DB09217:DB09285:DB09288:DB09295:DB11071:DB11079:DB11201:DB11323:DB11327:DB13167:DB13346:DB13501:DB13783:DB13961
ENSG00000198626	6262	RYR2	RYR2	180902	Q92736	DB09085
ENSG00000148660	818	CAMK2G	CAMK2G	602123	Q13555	DB06616:DB08699:DB12010
ENSG00000110092	595	CCND1	CCND1	168461	P24385	DB00945:DB01169:DB11718
ENSG00000151067	775	CACNA1C	CACNA1C	114205	Q13936	DB00270:DB00308:DB00343:DB00381:DB00393:DB00401:DB00568:DB00622:DB00653:DB00661:DB00898:DB01023:DB01054:DB01115:DB01373:DB01388:DB04855:DB04920:DB06712:DB06751:DB09227:DB09229:DB09235:DB09237:DB11633:DB12278
ENSG00000123104	3709	ITPR2	ITPR2	600144	Q14571	DB00201
ENSG00000169032	5604	MAP2K1	MAP2K1	176872	Q02750	DB02152:DB03115:DB05239:DB06616:DB06892:DB07046:DB07101:DB08130:DB08208:DB08911
ENSG00000137764	5607	MAP2K5	MAP2K5	602520	Q13163	DB12010
ENSG00000166501	5579	PRKCB	PRKCB	176970	P05771	DB00163:DB01738:DB06486:DB08846:DB08862:DB14001:DB14002
ENSG00000067191	782	CACNB1	CACNB1	114207	Q02641	DB00308:DB00381:DB00393:DB00653:DB00661:DB00898:DB01388:DB04855:DB09230
ENSG00000154229	5578	PRKCA	PRKCA	176960	P17252	DB00144:DB00163:DB05013:DB06451:DB06595:DB06641:DB08846:DB14001:DB14002
ENSG00000067900	6093	ROCK1	ROCK1	601702	Q13464	DB04707:DB07876:DB08162:DB08756:DB13165:DB13931
ENSG00000126934	5605	MAP2K2	MAP2K2	601263	P36507	DB06616:DB08911:DB11967:DB12010
ENSG00000134318	9475	ROCK2	ROCK2	604002	O75116	DB08162:DB08756:DB12010:DB13165:DB13931
ENSG00000182389	785	CACNB4	CACNB4	601949	O00305	DB00393:DB00661:DB01388:DB04855
ENSG00000101333	5332	PLCB4	PLCB4	600810	Q15147	NA
ENSG00000197122	6714	SRC	SRC	190090	P12931	DB01254:DB01678:DB01866:DB01893:DB01908:DB01947:DB01962:DB02175:DB02336:DB02432:DB02762:DB02908:DB03023:DB03078:DB03104:DB03114:DB03217:DB03268:DB03298:DB03306:DB03525:DB03591:DB03628:DB03712:DB03828:DB03902:DB04080:DB04272:DB04495:DB04739:DB04751:DB05184:DB06137:DB06616:DB06882:DB06883:DB07335:DB07662:DB07966:DB08052:DB08053:DB08054:DB08192:DB08462:DB08564:DB08901:DB09079:DB12010
ENSG00000157542	3763	KCNJ6	KCNJ6	600877	P48051	DB00898:DB01159:DB11633
ENSG00000150995	3708	ITPR1	ITPR1	147265	Q14643	DB03401:DB09462
ENSG00000157388	776	CACNA1D	CACNA1D	114206	Q01668	DB00270:DB00393:DB00401:DB00568:DB00622:DB00661:DB00898:DB01023:DB01054:DB01115:DB01388:DB04855:DB04920:DB06712:DB09229
ENSG00000173175	111	ADCY5	ADCY5	600293	O95622	DB02587:DB06843:DB09121
ENSG00000145349	817	CAMK2D	CAMK2D	607708	Q13557	DB07853:DB08039:DB12010
ENSG00000070808	815	CAMK2A	CAMK2A	114078	Q9UQM7	DB04119:DB04447:DB07766:DB12010
ENSG00000106617	51422	PRKAG2	PRKAG2	602743	Q9UGJ0	DB00945:DB12010
